[2013-04-27 00:46:13] millenium, joining. (#selenium)
[2013-04-27 01:23:29] Turzai, joining. (#selenium)
[2013-04-27 01:23:43] Wessix, joining. (#selenium)
[2013-04-27 01:28:12] zeljkof, joining. (#selenium)
[2013-04-27 01:35:28] jacksoncage, quitting. ()
[2013-04-27 01:39:17] jacksoncage, joining. (#selenium)
[2013-04-27 01:46:35] zeljkof, quitting. (Quit: zeljkof)
[2013-04-27 01:58:38] jibay, joining. (#selenium)
[2013-04-27 02:09:52] SamuraiJack, quitting. (Ping timeout: 256 seconds)
[2013-04-27 02:49:04] barancev|2, joining. (#selenium)
[2013-04-27 02:49:04] barancev, quitting. (Read error: Connection reset by peer)
[2013-04-27 02:58:23] Selenium-Git, joining. (#selenium)
[2013-04-27 02:58:23] Selenium-Git: 01[13selenium01] 15none created 06jruby-update (+5 new commits): 02http://git.io/y-lNiQ
[2013-04-27 02:58:24] Selenium-Git: 13selenium/06jruby-update 142c7993f 15Jari Bakken: First step towards updating JRuby....
[2013-04-27 02:58:24] Selenium-Git: 13selenium/06jruby-update 14d0aeeb9 15Jari Bakken: Bump JRuby to 1.7.2....
[2013-04-27 02:58:24] Selenium-Git: 13selenium/06jruby-update 146c7a745 15Jari Bakken: Fixing the Ruby build.
[2013-04-27 02:58:24] Selenium-Git, leaving. (#selenium)
[2013-04-27 02:59:10] Selenium-Git, joining. (#selenium)
[2013-04-27 02:59:11] Selenium-Git: 01[13selenium01] 15selenium-ci 04deleted 06jruby-update at 14ecb6aa3: 02https://github.com/SeleniumHQ/selenium/commit/ecb6aa3
[2013-04-27 02:59:11] Selenium-Git, leaving. (#selenium)
[2013-04-27 02:59:12] selbot2: 03jarib about 1 month ago - Give some immediate feedback that the build has started. | https://code.google.com/p/selenium/source/detail?r=ecb6aa3 | http://dashboard.ci.seleniumhq.org/#/revision/ecb6aa3010a5593b4ded4944c2d5fa6dbc7a92ce
[2013-04-27 03:01:12] DrJenkins, joining. (#selenium)
[2013-04-27 03:16:35] zeljkof, joining. (#selenium)
[2013-04-27 03:16:45] rbalent, joining. (#selenium)
[2013-04-27 03:16:45] rbalent, quitting. (Changing host)
[2013-04-27 03:16:45] rbalent, joining. (#selenium)
[2013-04-27 03:20:10] testingb0t1, joining. (#selenium)
[2013-04-27 03:20:37] testingb0t, quitting. (Read error: Connection reset by peer)
[2013-04-27 03:39:11] jacksoncage, quitting. ()
[2013-04-27 03:40:45] jacksoncage, joining. (#selenium)
[2013-04-27 03:46:09] DrJenkins, quitting. (Remote host closed the connection)
[2013-04-27 03:48:47] jacksoncage, quitting. (Quit: Computer has gone to sleep.)
[2013-04-27 03:57:11] DrJenkins, joining. (#selenium)
[2013-04-27 04:12:52] zeljkof, quitting. (Quit: zeljkof)
[2013-04-27 04:15:33] zeljkof, joining. (#selenium)
[2013-04-27 04:20:30] jacksoncage, joining. (#selenium)
[2013-04-27 04:21:27] DrJenkins, quitting. (Remote host closed the connection)
[2013-04-27 04:50:22] knorrium, quitting. (Quit: knorrium)
[2013-04-27 04:56:24] ryanpetrello, joining. (#selenium)
[2013-04-27 04:57:02] ryanpetrello, quitting. (Remote host closed the connection)
[2013-04-27 04:58:05] melter, quitting. (Read error: Operation timed out)
[2013-04-27 04:58:29] melter, joining. (#selenium)
[2013-04-27 05:00:08] p0deje, joining. (#selenium)
[2013-04-27 05:06:02] jacksoncage, quitting. ()
[2013-04-27 05:16:00] zeljkof, quitting. (Quit: zeljkof)
[2013-04-27 05:26:23] vila, quitting. (Quit: Leaving)
[2013-04-27 05:44:45] millenium, quitting. (Read error: Connection reset by peer)
[2013-04-27 05:46:18] zeljkof, joining. (#selenium)
[2013-04-27 05:50:00] llaskin, joining. (#selenium)
[2013-04-27 05:52:20] farlan, joining. (#selenium)
[2013-04-27 06:03:29] testingb0t1, quitting. (Quit: Leaving.)
[2013-04-27 06:12:27] asavchuk, joining. (#selenium)
[2013-04-27 06:13:40] girija, joining. (#selenium)
[2013-04-27 06:13:43] llaskin, quitting. (Quit: Leaving.)
[2013-04-27 06:17:40] phishy, joining. (#selenium)
[2013-04-27 06:17:43] phishy, quitting. (Max SendQ exceeded)
[2013-04-27 06:18:20] phishy, joining. (#selenium)
[2013-04-27 06:20:03] Ravindra, joining. (#selenium)
[2013-04-27 06:20:05] farlan, quitting. (Quit: Leaving.)
[2013-04-27 06:23:50] mreedell-work, joining. (#selenium)
[2013-04-27 06:23:54] mreedell-work, quitting. (Client Quit)
[2013-04-27 06:39:18] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-04-27 06:42:23] llaskin, joining. (#selenium)
[2013-04-27 06:46:43] Ravindra, quitting. (Ping timeout: 245 seconds)
[2013-04-27 06:54:18] mreedell-work, joining. (#selenium)
[2013-04-27 07:06:48] nirvdrum, joining. (#selenium)
[2013-04-27 07:21:49] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-04-27 07:32:13] o3u, joining. (#selenium)
[2013-04-27 07:51:21] jacksoncage, joining. (#selenium)
[2013-04-27 07:54:01] DrJenkins, joining. (#selenium)
[2013-04-27 07:58:11] girija, quitting. (Ping timeout: 256 seconds)
[2013-04-27 08:10:25] farlan, joining. (#selenium)
[2013-04-27 08:13:51] DrJenkins, quitting. (Remote host closed the connection)
[2013-04-27 08:15:39] farlan, quitting. (Quit: Leaving.)
[2013-04-27 08:25:45] intchanter, quitting. (Quit: WeeChat 0.3.9.2)
[2013-04-27 08:31:13] o3u, quitting. (Ping timeout: 240 seconds)
[2013-04-27 08:35:58] girija, joining. (#selenium)
[2013-04-27 08:45:40] Wessix, joining. (#selenium)
[2013-04-27 08:56:50] o3u, joining. (#selenium)
[2013-04-27 09:25:34] DrJenkins, joining. (#selenium)
[2013-04-27 09:28:56] ryanpetrello, joining. (#selenium)
[2013-04-27 09:37:06] p0deje, quitting. (Quit: p0deje)
[2013-04-27 09:50:24] krosenvold__, quitting. (Quit: Connection closed for inactivity)
[2013-04-27 09:51:15] jacksoncage, quitting. ()
[2013-04-27 09:54:32] ryanpetrello, quitting. (Remote host closed the connection)
[2013-04-27 10:12:33] chriskak, quitting. (Ping timeout: 252 seconds)
[2013-04-27 10:25:46] Keavon, joining. (#selenium)
[2013-04-27 10:28:24] zeljkof, quitting. (Quit: zeljkof)
[2013-04-27 10:29:45] p0deje, joining. (#selenium)
[2013-04-27 10:33:19] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-04-27 10:38:27] p0deje, quitting. (Quit: p0deje)
[2013-04-27 10:38:44] admc, joining. (#selenium)
[2013-04-27 10:41:46] tinygeo, joining. (#selenium)
[2013-04-27 10:45:03] admc, quitting. (Quit: Leaving.)
[2013-04-27 10:46:38] Archdude, quitting. (Ping timeout: 246 seconds)
[2013-04-27 10:46:53] admc, joining. (#selenium)
[2013-04-27 10:49:06] Archdude, joining. (#selenium)
[2013-04-27 10:53:01] admc, quitting. (Quit: Leaving.)
[2013-04-27 10:58:52] fatguylaughing, joining. (#selenium)
[2013-04-27 11:01:04] Archdude_, joining. (#selenium)
[2013-04-27 11:01:08] fatguylaughing, quitting. (Client Quit)
[2013-04-27 11:02:18] Archdude, quitting. (Ping timeout: 276 seconds)
[2013-04-27 11:02:19] Archdude_, changing nick to Archdude.
[2013-04-27 11:10:02] ShawnM, joining. (#selenium)
[2013-04-27 11:14:28] ShawnM, quitting. (Remote host closed the connection)
[2013-04-27 11:15:58] Keavon, quitting. (Remote host closed the connection)
[2013-04-27 11:21:27] SamuraiJack, joining. (#selenium)
[2013-04-27 11:23:23] Archdude, quitting. (Ping timeout: 246 seconds)
[2013-04-27 11:30:26] admc, joining. (#selenium)
[2013-04-27 11:31:16] Mkop1, joining. (#selenium)
[2013-04-27 11:31:56] Mkop, quitting. (Remote host closed the connection)
[2013-04-27 11:37:44] Archdude, joining. (#selenium)
[2013-04-27 11:38:42] phishy, joining. (#selenium)
[2013-04-27 11:39:38] Archdude_, joining. (#selenium)
[2013-04-27 11:42:08] Archdude, quitting. (Ping timeout: 245 seconds)
[2013-04-27 11:42:52] Archdude_, changing nick to Archdude.
[2013-04-27 11:44:57] ShawnM, joining. (#selenium)
[2013-04-27 11:45:29] Keavon, joining. (#selenium)
[2013-04-27 11:56:30] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-04-27 12:04:53] ShawnM, joining. (#selenium)
[2013-04-27 12:06:09] ryanpetrello, joining. (#selenium)
[2013-04-27 12:10:54] ShawnM, quitting. (Remote host closed the connection)
[2013-04-27 12:27:43] Keavon, quitting. (Remote host closed the connection)
[2013-04-27 12:34:36] girija, quitting. (Ping timeout: 245 seconds)
[2013-04-27 12:39:40] Archdude_, joining. (#selenium)
[2013-04-27 12:42:09] Archdude, quitting. (Ping timeout: 252 seconds)
[2013-04-27 12:42:09] Archdude_, changing nick to Archdude.
[2013-04-27 12:44:46] SamuraiJack, quitting. (Remote host closed the connection)
[2013-04-27 12:50:24] mreedell-work, joining. (#selenium)
[2013-04-27 12:54:26] ryanpetrello, quitting. (Remote host closed the connection)
[2013-04-27 12:54:58] ryanpetrello, joining. (#selenium)
[2013-04-27 12:59:18] ryanpetrello, quitting. (Ping timeout: 245 seconds)
[2013-04-27 13:05:30] Wessix, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2013-04-27 13:11:47] ryanpetrello, joining. (#selenium)
[2013-04-27 13:14:37] ryanpetrello, quitting. (Remote host closed the connection)
[2013-04-27 13:23:26] amitev, quitting. (Quit: Although nobody can come back and make a new start, anyone can start now and make a new end)
[2013-04-27 13:24:28] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-04-27 13:32:11] nirvdrum, quitting. (Ping timeout: 258 seconds)
