[2013-05-05 00:05:56] admc1, joining. (#selenium)
[2013-05-05 00:07:07] Stephen, quitting. (Ping timeout: 264 seconds)
[2013-05-05 00:13:43] kallisti, quitting. (Quit: Lost terminal)
[2013-05-05 00:21:59] robpark, joining. (#selenium)
[2013-05-05 00:30:08] robpark, quitting. (Ping timeout: 245 seconds)
[2013-05-05 00:51:26] DrJenkins, joining. (#selenium)
[2013-05-05 00:55:40] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-05-05 00:59:17] rananda_, quitting. (Quit: Leaving)
[2013-05-05 01:24:34] admc1, quitting. (Quit: Leaving.)
[2013-05-05 01:24:44] Stephen, joining. (#selenium)
[2013-05-05 01:36:36] p0deje, quitting. (Quit: p0deje)
[2013-05-05 01:51:56] DrJenkins, joining. (#selenium)
[2013-05-05 01:54:56] admc1, joining. (#selenium)
[2013-05-05 01:56:18] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-05-05 01:57:26] DrJenkins, joining. (#selenium)
[2013-05-05 01:58:08] DrJenkins, quitting. (Remote host closed the connection)
[2013-05-05 02:04:43] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-05 02:27:11] robpark, joining. (#selenium)
[2013-05-05 02:30:36] admc1, joining. (#selenium)
[2013-05-05 02:39:36] robpark, quitting. (Ping timeout: 248 seconds)
[2013-05-05 02:47:19] admc1, quitting. (Ping timeout: 268 seconds)
[2013-05-05 02:47:21] bperry, quitting. (Ping timeout: 260 seconds)
[2013-05-05 02:47:21] bperry_, joining. (#selenium)
[2013-05-05 03:10:31] xirkus_, joining. (#selenium)
[2013-05-05 03:14:17] selbot2_, joining. (#selenium)
[2013-05-05 03:16:23] Eleccy_, joining. (#selenium)
[2013-05-05 03:17:28] xirkus, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] Hz0, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] gates_, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] selbot2, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] grandy, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] retornam, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:17:28] Hz0, joining. (#selenium)
[2013-05-05 03:17:28] Eleccy, quitting. (Ping timeout: 248 seconds)
[2013-05-05 03:18:24] retornam, joining. (#selenium)
[2013-05-05 03:21:25] djinni, quitting. (Ping timeout: 255 seconds)
[2013-05-05 03:22:24] Bracki, quitting. (Ping timeout: 260 seconds)
[2013-05-05 03:27:03] Stephen, quitting. (*.net *.split)
[2013-05-05 03:27:03] ebi, quitting. (*.net *.split)
[2013-05-05 03:27:04] ThePeach, quitting. (*.net *.split)
[2013-05-05 03:27:04] vila, quitting. (*.net *.split)
[2013-05-05 03:27:04] markalanevans, quitting. (*.net *.split)
[2013-05-05 03:27:04] JackDandy, quitting. (*.net *.split)
[2013-05-05 03:27:04] heath, quitting. (*.net *.split)
[2013-05-05 03:27:04] riotz, quitting. (*.net *.split)
[2013-05-05 03:27:04] Parabola, quitting. (*.net *.split)
[2013-05-05 03:27:04] imphasing, quitting. (*.net *.split)
[2013-05-05 03:27:05] trcjr, quitting. (*.net *.split)
[2013-05-05 03:27:05] jyrkip, quitting. (*.net *.split)
[2013-05-05 03:27:05] mika, quitting. (*.net *.split)
[2013-05-05 03:27:05] Mezmor, quitting. (*.net *.split)
[2013-05-05 03:27:05] diminoten, quitting. (*.net *.split)
[2013-05-05 03:27:05] eanxgeek|log, quitting. (*.net *.split)
[2013-05-05 03:27:05] christoe, quitting. (*.net *.split)
[2013-05-05 03:27:05] djinni_, joining. (#selenium)
[2013-05-05 03:27:06] Bracki_, joining. (#selenium)
[2013-05-05 03:27:47] robpark, joining. (#selenium)
[2013-05-05 03:28:06] Stephen, joining. (#selenium)
[2013-05-05 03:28:06] ebi, joining. (#selenium)
[2013-05-05 03:28:06] ThePeach, joining. (#selenium)
[2013-05-05 03:28:06] Parabola, joining. (#selenium)
[2013-05-05 03:28:06] vila, joining. (#selenium)
[2013-05-05 03:28:06] markalanevans, joining. (#selenium)
[2013-05-05 03:28:06] heath, joining. (#selenium)
[2013-05-05 03:28:06] JackDandy, joining. (#selenium)
[2013-05-05 03:28:06] riotz, joining. (#selenium)
[2013-05-05 03:28:06] Mezmor, joining. (#selenium)
[2013-05-05 03:28:06] mika, joining. (#selenium)
[2013-05-05 03:28:06] diminoten, joining. (#selenium)
[2013-05-05 03:28:06] imphasing, joining. (#selenium)
[2013-05-05 03:28:06] eanxgeek|log, joining. (#selenium)
[2013-05-05 03:28:06] trcjr, joining. (#selenium)
[2013-05-05 03:28:06] jyrkip, joining. (#selenium)
[2013-05-05 03:28:06] christoe, joining. (#selenium)
[2013-05-05 03:33:17] admc1, joining. (#selenium)
[2013-05-05 03:33:18] robpark, quitting. (Ping timeout: 264 seconds)
[2013-05-05 03:34:21] Stephen, quitting. (*.net *.split)
[2013-05-05 03:34:21] ebi, quitting. (*.net *.split)
[2013-05-05 03:34:21] ThePeach, quitting. (*.net *.split)
[2013-05-05 03:34:21] vila, quitting. (*.net *.split)
[2013-05-05 03:34:21] markalanevans, quitting. (*.net *.split)
[2013-05-05 03:34:21] JackDandy, quitting. (*.net *.split)
[2013-05-05 03:34:22] heath, quitting. (*.net *.split)
[2013-05-05 03:34:22] riotz, quitting. (*.net *.split)
[2013-05-05 03:34:22] Parabola, quitting. (*.net *.split)
[2013-05-05 03:34:22] imphasing, quitting. (*.net *.split)
[2013-05-05 03:34:22] trcjr, quitting. (*.net *.split)
[2013-05-05 03:34:22] jyrkip, quitting. (*.net *.split)
[2013-05-05 03:34:22] mika, quitting. (*.net *.split)
[2013-05-05 03:34:22] Mezmor, quitting. (*.net *.split)
[2013-05-05 03:34:22] diminoten, quitting. (*.net *.split)
[2013-05-05 03:34:23] eanxgeek|log, quitting. (*.net *.split)
[2013-05-05 03:34:23] christoe, quitting. (*.net *.split)
[2013-05-05 03:34:23] retornam, quitting. (*.net *.split)
[2013-05-05 03:34:23] dregin, quitting. (*.net *.split)
[2013-05-05 03:34:23] admc1, quitting. (*.net *.split)
[2013-05-05 03:34:23] selbot2_, quitting. (*.net *.split)
[2013-05-05 03:34:23] sburjan, quitting. (*.net *.split)
[2013-05-05 03:34:23] capri, quitting. (*.net *.split)
[2013-05-05 03:34:24] seljenkinsbot, quitting. (*.net *.split)
[2013-05-05 03:34:24] iblue, quitting. (*.net *.split)
[2013-05-05 03:34:24] dhpe, quitting. (*.net *.split)
[2013-05-05 03:34:24] KaibutsuX, quitting. (*.net *.split)
[2013-05-05 03:34:24] sahazel, quitting. (*.net *.split)
[2013-05-05 03:34:24] hugs_, quitting. (*.net *.split)
[2013-05-05 03:34:24] txwikinger, quitting. (*.net *.split)
[2013-05-05 03:34:25] admc, quitting. (*.net *.split)
[2013-05-05 03:34:25] floppyears, quitting. (*.net *.split)
[2013-05-05 03:34:25] munro, quitting. (*.net *.split)
[2013-05-05 03:34:25] Dude-X_, quitting. (*.net *.split)
