[2013-05-18 00:08:57] plightbo, joining. (#selenium)
[2013-05-18 00:13:23] plightbo, quitting. (Ping timeout: 260 seconds)
[2013-05-18 00:19:15] jacksoncage, joining. (#selenium)
[2013-05-18 00:19:23] admc1, joining. (#selenium)
[2013-05-18 00:21:19] yyoshi, joining. (#selenium)
[2013-05-18 00:23:24] admc1, quitting. (Ping timeout: 245 seconds)
[2013-05-18 00:26:36] llaskin, quitting. (Read error: Connection reset by peer)
[2013-05-18 00:38:13] Hz0, quitting. (Ping timeout: 248 seconds)
[2013-05-18 00:50:04] admc1, joining. (#selenium)
[2013-05-18 00:54:14] admc1, quitting. (Ping timeout: 245 seconds)
[2013-05-18 00:57:56] rbalent, joining. (#selenium)
[2013-05-18 01:02:59] tobie, joining. (#selenium)
[2013-05-18 01:16:05] tobie, quitting. (Quit: tobie)
[2013-05-18 01:17:29] stackedsax, quitting. (Quit: Leaving.)
[2013-05-18 01:20:59] admc1, joining. (#selenium)
[2013-05-18 01:25:43] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 01:30:04] Turzai, joining. (#selenium)
[2013-05-18 01:30:10] tinygeo1, quitting. (Quit: Leaving.)
[2013-05-18 01:51:46] admc1, joining. (#selenium)
[2013-05-18 01:52:49] asavchuk, quitting. (Ping timeout: 248 seconds)
[2013-05-18 01:56:31] admc1, quitting. (Ping timeout: 260 seconds)
[2013-05-18 01:56:35] yyoshi, quitting. (Ping timeout: 250 seconds)
[2013-05-18 02:06:38] Hz0, joining. (#selenium)
[2013-05-18 02:14:00] freynaud_, joining. (#selenium)
[2013-05-18 02:14:34] freynaud, quitting. (Ping timeout: 276 seconds)
[2013-05-18 02:14:34] freynaud_, changing nick to freynaud.
[2013-05-18 02:19:08] jacksoncage, quitting. ()
[2013-05-18 02:22:38] admc1, joining. (#selenium)
[2013-05-18 02:27:12] admc1, quitting. (Ping timeout: 252 seconds)
[2013-05-18 02:53:24] admc1, joining. (#selenium)
[2013-05-18 02:57:41] admc1, quitting. (Ping timeout: 240 seconds)
[2013-05-18 03:18:01] Ardesco_Home, joining. (#selenium)
[2013-05-18 03:22:09] girija, quitting. (Ping timeout: 245 seconds)
[2013-05-18 03:23:48] admc1, joining. (#selenium)
[2013-05-18 03:25:28] jibay, joining. (#selenium)
[2013-05-18 03:28:43] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 03:35:27] millenium, quitting. (Quit: ~ Trillian - www.trillian.im ~)
[2013-05-18 03:54:18] admc1, joining. (#selenium)
[2013-05-18 03:57:25] matheusmcs, joining. (#selenium)
[2013-05-18 03:58:07] matheusmcs, quitting. (Client Quit)
[2013-05-18 03:59:19] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 04:03:05] jost, joining. (#selenium)
[2013-05-18 04:09:32] plightbo, joining. (#selenium)
