[2013-05-19 00:22:38] zuppy, quitting. (Quit: Leaving)
[2013-05-19 00:34:03] o3u, quitting. (Remote host closed the connection)
[2013-05-19 00:38:14] alkemist, joining. (#selenium)
[2013-05-19 00:43:19] tinygeo, quitting. (Quit: Leaving.)
[2013-05-19 01:10:02] Turzai, joining. (#selenium)
[2013-05-19 01:39:51] FullTiltProspect, quitting. (Ping timeout: 260 seconds)
[2013-05-19 01:56:35] rbalent, joining. (#selenium)
[2013-05-19 01:56:35] rbalent, quitting. (Changing host)
[2013-05-19 01:56:35] rbalent, joining. (#selenium)
[2013-05-19 01:56:55] SamuraiJack, quitting. (Ping timeout: 264 seconds)
[2013-05-19 02:08:30] Wessix, joining. (#selenium)
[2013-05-19 02:11:36] admc1, quitting. (Quit: Leaving.)
[2013-05-19 02:33:45] Turzai, quitting. (Ping timeout: 240 seconds)
[2013-05-19 03:03:04] zuppy, joining. (#selenium)
[2013-05-19 04:15:19] Swadq, joining. (#selenium)
[2013-05-19 04:32:48] zuppy, quitting. (Quit: Leaving)
[2013-05-19 04:33:25] rbalent, quitting. (Ping timeout: 248 seconds)
[2013-05-19 04:50:54] vila, joining. (#selenium)
[2013-05-19 05:29:04] barancev|2, joining. (#selenium)
[2013-05-19 05:29:04] barancev, quitting. (Read error: Connection reset by peer)
[2013-05-19 06:01:25] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-05-19 06:02:21] milligan, quitting. (Ping timeout: 240 seconds)
[2013-05-19 06:25:17] milligan, joining. (#selenium)
[2013-05-19 06:26:14] milligan, quitting. (Max SendQ exceeded)
[2013-05-19 06:27:36] milligan, joining. (#selenium)
[2013-05-19 06:33:17] alkemist, quitting. (Remote host closed the connection)
[2013-05-19 06:33:21] milligan, quitting. (Ping timeout: 240 seconds)
[2013-05-19 06:49:01] Revery, joining. (#selenium)
[2013-05-19 06:52:35] Revery, quitting. (Client Quit)
[2013-05-19 07:03:26] Wessix, joining. (#selenium)
[2013-05-19 07:21:51] milligan, joining. (#selenium)
[2013-05-19 07:35:21] milligan, quitting. (Ping timeout: 240 seconds)
[2013-05-19 07:56:33] SamuraiJack, joining. (#selenium)
[2013-05-19 08:10:35] omaciel, joining. (#selenium)
[2013-05-19 08:12:41] Revery, joining. (#selenium)
[2013-05-19 08:14:01] Revery, leaving. (#selenium)
[2013-05-19 08:34:01] Swadq, quitting. (Quit: Bai everyone)
[2013-05-19 09:07:09] o3u, joining. (#selenium)
[2013-05-19 09:13:57] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-05-19 09:30:36] milligan, joining. (#selenium)
[2013-05-19 09:35:21] ShawnM, joining. (#selenium)
[2013-05-19 09:45:27] SamuraiJack_, joining. (#selenium)
[2013-05-19 09:45:36] SamuraiJack, quitting. (Ping timeout: 252 seconds)
[2013-05-19 10:48:09] Wessix, joining. (#selenium)
[2013-05-19 11:10:45] Baygon, joining. (#selenium)
[2013-05-19 11:11:43] Baygon: Hello! When I test isElementPresent, if the element is not present, it takes around 30s to go to the next step. Is there any way to speed up the testing of it ?
[2013-05-19 11:11:44] ShawnM, quitting. (Remote host closed the connection)
[2013-05-19 11:14:09] plightbo, joining. (#selenium)
[2013-05-19 11:17:13] Baygon: no one ?
[2013-05-19 11:18:44] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 11:20:07] Baygon, quitting. (Read error: Connection reset by peer)
[2013-05-19 11:20:57] Baygon, joining. (#selenium)
[2013-05-19 11:36:19] ShawnM, joining. (#selenium)
[2013-05-19 11:38:06] SamuraiJack__, joining. (#selenium)
[2013-05-19 11:38:57] SamuraiJack_, quitting. (Ping timeout: 248 seconds)
[2013-05-19 11:39:46] Wessix2, joining. (#selenium)
[2013-05-19 11:41:47] Turzai, joining. (#selenium)
[2013-05-19 11:42:45] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-05-19 11:51:04] Selenium-Git, joining. (#selenium)
[2013-05-19 11:51:04] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 3 new commits to 06master: 02http://git.io/RlboQA
[2013-05-19 11:51:04] Selenium-Git: 13selenium/06master 14762c7f0 15Alexei Barantsev: Making new (>=9) IE versions triggerMouseEvent like other browsers. Fixes...
[2013-05-19 11:51:04] Selenium-Git: 13selenium/06master 1477228ca 15Alexei Barantsev: Deleting a couple of tests that duplicate similar tests in ClearTest class
