[2013-06-01 00:02:56] zeljkof, joining. (#selenium)
[2013-06-01 00:07:18] zeljkof, quitting. (Client Quit)
[2013-06-01 00:20:33] p0deje, joining. (#selenium)
[2013-06-01 00:29:36] rananda, quitting. (Quit: Leaving)
[2013-06-01 01:12:12] zeljkof, joining. (#selenium)
[2013-06-01 01:13:15] admc, joining. (#selenium)
[2013-06-01 01:15:30] zeljkof, quitting. (Client Quit)
[2013-06-01 01:29:02] p0deje, quitting. (Quit: p0deje)
[2013-06-01 01:41:00] ej, quitting. (Remote host closed the connection)
[2013-06-01 01:46:11] Gx4, joining. (#selenium)
[2013-06-01 01:53:55] ej, joining. (#selenium)
[2013-06-01 02:01:42] ej, quitting. (Remote host closed the connection)
[2013-06-01 02:06:51] ShawnM, quitting. (Remote host closed the connection)
[2013-06-01 02:29:15] zeljkof, joining. (#selenium)
[2013-06-01 02:43:41] milligan, quitting. (Ping timeout: 240 seconds)
[2013-06-01 02:51:46] jacksoncage, joining. (#selenium)
[2013-06-01 03:02:10] ej, joining. (#selenium)
[2013-06-01 03:04:11] Gx4, quitting. (Ping timeout: 260 seconds)
[2013-06-01 03:06:23] ej, quitting. (Ping timeout: 245 seconds)
[2013-06-01 03:11:25] zeljkof, quitting. (Quit: zeljkof)
[2013-06-01 03:12:20] ej, joining. (#selenium)
[2013-06-01 03:16:48] ej, quitting. (Ping timeout: 245 seconds)
[2013-06-01 03:17:22] ShawnM, joining. (#selenium)
[2013-06-01 03:21:53] ShawnM, quitting. (Ping timeout: 248 seconds)
[2013-06-01 03:28:28] admc, quitting. (Quit: Leaving.)
[2013-06-01 03:49:16] mreedell-work, joining. (#selenium)
[2013-06-01 03:54:02] mreedell-work, quitting. (Ping timeout: 256 seconds)
[2013-06-01 04:03:58] tinygeo, quitting. (Quit: Leaving.)
[2013-06-01 04:11:07] jacksoncage, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 04:28:02] jacksoncage, joining. (#selenium)
[2013-06-01 04:32:47] Gx4, joining. (#selenium)
[2013-06-01 04:43:33] p0deje, joining. (#selenium)
[2013-06-01 04:56:43] melter, joining. (#selenium)
[2013-06-01 05:01:52] ej, joining. (#selenium)
[2013-06-01 05:12:11] p0deje, quitting. (Quit: p0deje)
[2013-06-01 05:40:56] barancev|2, joining. (#selenium)
[2013-06-01 05:40:56] barancev, quitting. (Read error: Connection reset by peer)
[2013-06-01 05:49:37] ej, quitting. (Remote host closed the connection)
[2013-06-01 06:11:24] ryanpetrello, joining. (#selenium)
[2013-06-01 06:20:14] ej, joining. (#selenium)
[2013-06-01 06:24:43] ej, quitting. (Ping timeout: 245 seconds)
[2013-06-01 06:27:55] jacksoncage, quitting. ()
[2013-06-01 06:30:55] nirvdrum, joining. (#selenium)
[2013-06-01 06:32:31] jost, joining. (#selenium)
[2013-06-01 06:35:20] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 06:54:04] ryanpetrello, joining. (#selenium)
[2013-06-01 06:56:18] Revery, joining. (#selenium)
[2013-06-01 06:56:20] Revery, leaving. (#selenium)
[2013-06-01 06:57:12] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 07:04:04] ryanpetrello, joining. (#selenium)
[2013-06-01 07:09:52] Turzai, joining. (#selenium)
[2013-06-01 07:14:24] ej, joining. (#selenium)
[2013-06-01 07:14:41] admc, joining. (#selenium)
[2013-06-01 07:15:11] nirvdrum, quitting. (Ping timeout: 256 seconds)
[2013-06-01 07:18:53] ej, quitting. (Ping timeout: 245 seconds)
[2013-06-01 07:23:10] ej, joining. (#selenium)
[2013-06-01 07:26:47] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 07:44:06] jost, quitting. (Remote host closed the connection)
[2013-06-01 07:45:53] vila, quitting. (Ping timeout: 248 seconds)
[2013-06-01 07:48:23] vila, joining. (#selenium)
[2013-06-01 07:58:40] dimacus, joining. (#selenium)
[2013-06-01 08:01:09] phishy, joining. (#selenium)
[2013-06-01 08:12:30] smccarthy, joining. (#selenium)
[2013-06-01 08:12:54] dimacus, quitting. (Quit: Leaving.)
[2013-06-01 08:16:15] dimacus, joining. (#selenium)
[2013-06-01 08:30:15] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 08:34:13] tinygeo, joining. (#selenium)
[2013-06-01 08:34:37] admc, quitting. (Quit: Leaving.)
[2013-06-01 08:39:15] riv_, joining. (#selenium)
[2013-06-01 08:48:31] p_l: any suggestion on implementing check for something that is updated (in a text field) with ajax, using selenium-java?
[2013-06-01 08:53:07] phishy, joining. (#selenium)
[2013-06-01 09:00:46] nirvdrum, joining. (#selenium)
[2013-06-01 09:03:26] simonstewart, joining. (#selenium)
[2013-06-01 09:03:41] simonstewart, quitting. (Client Quit)
[2013-06-01 09:06:42] andreastt: p_l: Expected conditions.
[2013-06-01 09:07:04] andreastt: This class provides a set of convenience methods: http://selenium.googlecode.com/git/docs/api/java/org/openqa/selenium/support/ui/ExpectedConditions.html
[2013-06-01 09:09:20] p_l: andreastt: yeah, that's what I'm looking at, however, I'm looking at practical use of them
[2013-06-01 09:09:27] p_l: (I use them elsewhere already)
[2013-06-01 09:09:52] p_l: I have a text field, which upon writing to fires an Ajax event that will fill in another text field
[2013-06-01 09:22:48] ej, quitting. (Remote host closed the connection)
[2013-06-01 09:26:28] dimacus, quitting. (Quit: Leaving.)
[2013-06-01 09:27:10] Oscar, joining. (#selenium)
[2013-06-01 09:27:39] Oscar, changing nick to Oscar_Rieken.
[2013-06-01 09:40:42] riv_, quitting. (Remote host closed the connection)
[2013-06-01 09:41:19] Gx4, quitting. (Ping timeout: 264 seconds)
[2013-06-01 09:46:01] dimacus, joining. (#selenium)
[2013-06-01 09:46:36] riv_, joining. (#selenium)
[2013-06-01 09:46:51] Gx4, joining. (#selenium)
[2013-06-01 09:47:41] Oscar_Rieken, quitting. (Read error: Connection reset by peer)
[2013-06-01 09:47:53] Oscar, joining. (#selenium)
[2013-06-01 09:47:57] foundatron, joining. (#selenium)
[2013-06-01 09:48:28] fatguylaughing, joining. (#selenium)
[2013-06-01 09:49:11] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 09:50:36] fatguylaughing, quitting. (Client Quit)
[2013-06-01 09:53:25] ej, joining. (#selenium)
[2013-06-01 09:57:49] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 10:02:55] FullTiltProspect, joining. (#selenium)
[2013-06-01 10:14:09] ShawnM, joining. (#selenium)
[2013-06-01 10:15:46] ShawnM, quitting. (Remote host closed the connection)
[2013-06-01 10:25:11] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 10:32:13] foundatron, joining. (#selenium)
[2013-06-01 10:46:44] riv_, quitting. (Remote host closed the connection)
[2013-06-01 10:47:38] ej, joining. (#selenium)
[2013-06-01 10:48:31] dimacus, quitting. (Quit: Leaving.)
[2013-06-01 10:49:00] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 10:50:22] foundatron, joining. (#selenium)
[2013-06-01 10:51:48] ej, quitting. (Ping timeout: 245 seconds)
[2013-06-01 11:02:31] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 11:03:37] foundatron, joining. (#selenium)
[2013-06-01 11:09:28] zac_sel, joining. (#selenium)
[2013-06-01 11:18:11] ej, joining. (#selenium)
[2013-06-01 11:22:49] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 11:25:12] riv_, joining. (#selenium)
[2013-06-01 11:25:32] hugs__, quitting. (K-Lined)
[2013-06-01 11:25:32] sahazel, quitting. (K-Lined)
[2013-06-01 11:25:32] ebi, quitting. (K-Lined)
[2013-06-01 11:25:35] garndt, quitting. (K-Lined)
[2013-06-01 11:25:35] krosenvold____, quitting. (K-Lined)
[2013-06-01 11:25:37] Parabola, quitting. (K-Lined)
[2013-06-01 11:25:37] nicegraham, quitting. (K-Lined)
[2013-06-01 11:25:38] gates, quitting. (K-Lined)
[2013-06-01 11:26:23] ShawnM, joining. (#selenium)
[2013-06-01 11:30:23] ryanpetrello, joining. (#selenium)
[2013-06-01 11:31:00] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-06-01 11:31:57] nicegraham, joining. (#selenium)
[2013-06-01 11:32:22] krosenvold____, joining. (#selenium)
[2013-06-01 11:32:41] Parabola, joining. (#selenium)
[2013-06-01 11:33:08] ebi, joining. (#selenium)
[2013-06-01 11:33:34] sahazel, joining. (#selenium)
[2013-06-01 11:34:42] hugs__, joining. (#selenium)
[2013-06-01 11:34:49] garndt, joining. (#selenium)
[2013-06-01 11:59:24] zeljkof, joining. (#selenium)
[2013-06-01 12:09:21] Oscar, quitting. (Ping timeout: 240 seconds)
[2013-06-01 12:10:39] txwikinger2, changing nick to txwikinger.
[2013-06-01 12:11:56] Oscar, joining. (#selenium)
[2013-06-01 12:12:24] ej, joining. (#selenium)
[2013-06-01 12:17:12] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 12:17:13] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 12:20:05] Oscar1, joining. (#selenium)
[2013-06-01 12:22:22] foundatron, joining. (#selenium)
[2013-06-01 12:23:28] Oscar, quitting. (Ping timeout: 256 seconds)
[2013-06-01 12:27:27] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 12:39:35] admc, joining. (#selenium)
[2013-06-01 12:40:38] foundatron, joining. (#selenium)
[2013-06-01 12:41:56] Dude-X, joining. (#selenium)
[2013-06-01 12:42:58] ej, joining. (#selenium)
[2013-06-01 12:45:06] Oscar1, quitting. (Quit: Leaving.)
[2013-06-01 12:45:39] foundatron, quitting. (Ping timeout: 260 seconds)
[2013-06-01 12:47:49] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 12:47:55] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 12:50:38] foundatron, joining. (#selenium)
[2013-06-01 12:56:26] Dude-X, quitting. (Quit: Dude-X)
[2013-06-01 12:58:02] ryanpetrello, joining. (#selenium)
[2013-06-01 12:59:20] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 13:27:32] Dude-X, joining. (#selenium)
