[2013-06-02 00:01:17] p0deje, quitting. (Quit: p0deje)
[2013-06-02 00:03:48] ShawnM, quitting. (Remote host closed the connection)
[2013-06-02 00:08:00] ej, joining. (#selenium)
[2013-06-02 00:08:48] admc, quitting. (Quit: Leaving.)
[2013-06-02 01:09:24] p0deje, joining. (#selenium)
[2013-06-02 01:17:20] p0deje, quitting. (Quit: p0deje)
[2013-06-02 01:22:24] p0deje, joining. (#selenium)
[2013-06-02 01:39:25] p0deje, quitting. (Quit: p0deje)
[2013-06-02 01:42:11] p0deje, joining. (#selenium)
[2013-06-02 01:50:49] Gx4, joining. (#selenium)
[2013-06-02 02:13:54] p0deje, quitting. (Quit: p0deje)
[2013-06-02 02:14:31] alkemist, joining. (#selenium)
[2013-06-02 02:20:07] p0deje, joining. (#selenium)
[2013-06-02 02:42:36] p0deje, quitting. (Quit: p0deje)
[2013-06-02 02:43:35] p0deje, joining. (#selenium)
[2013-06-02 03:04:47] asavchuk, joining. (#selenium)
[2013-06-02 03:05:39] jacksoncage, joining. (#selenium)
[2013-06-02 03:12:52] p0deje, quitting. (Quit: p0deje)
[2013-06-02 03:13:51] p0deje, joining. (#selenium)
[2013-06-02 03:23:10] p0deje, quitting. (Quit: p0deje)
[2013-06-02 03:25:51] p0deje, joining. (#selenium)
[2013-06-02 03:34:15] p0deje, quitting. (Quit: p0deje)
[2013-06-02 03:35:37] p0deje, joining. (#selenium)
[2013-06-02 03:45:49] jacksoncage, quitting. (Ping timeout: 246 seconds)
[2013-06-02 03:48:49] Turzai, quitting. (Ping timeout: 256 seconds)
[2013-06-02 03:48:51] p0deje, quitting. (Quit: p0deje)
[2013-06-02 03:49:29] p0deje, joining. (#selenium)
[2013-06-02 04:00:26] jacksoncage, joining. (#selenium)
[2013-06-02 04:01:19] Turzai, joining. (#selenium)
[2013-06-02 04:04:40] p0deje, quitting. (Quit: p0deje)
[2013-06-02 04:13:27] alkemist, quitting. (Remote host closed the connection)
[2013-06-02 04:33:58] pa: hey guys, is marionette now supported in selenium?
[2013-06-02 04:36:54] p0deje, joining. (#selenium)
[2013-06-02 04:45:31] p0deje, quitting. (Ping timeout: 264 seconds)
[2013-06-02 04:53:05] ej, quitting. (Remote host closed the connection)
[2013-06-02 04:54:41] alkemist, joining. (#selenium)
[2013-06-02 05:03:00] phishy, joining. (#selenium)
[2013-06-02 05:11:56] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 05:11:59] alkemist, quitting. (Remote host closed the connection)
[2013-06-02 05:12:35] alkemist, joining. (#selenium)
[2013-06-02 05:16:33] p0deje, joining. (#selenium)
[2013-06-02 05:19:19] alkemist, quitting. (Ping timeout: 276 seconds)
[2013-06-02 05:31:49] alkemist, joining. (#selenium)
[2013-06-02 05:32:14] jost, joining. (#selenium)
[2013-06-02 05:44:28] barancev|2, quitting. (Ping timeout: 246 seconds)
[2013-06-02 06:00:19] jacksoncage, quitting. ()
[2013-06-02 06:05:01] riv_, joining. (#selenium)
[2013-06-02 06:09:07] Dude-X, joining. (#selenium)
[2013-06-02 06:19:43] Dude-X__, joining. (#selenium)
[2013-06-02 06:20:37] Dude-X, quitting. (Ping timeout: 248 seconds)
[2013-06-02 06:20:37] Dude-X__, changing nick to Dude-X.
[2013-06-02 06:25:05] Dude-X_, quitting. (Ping timeout: 245 seconds)
[2013-06-02 06:25:25] Dude-X, quitting. (Ping timeout: 248 seconds)
[2013-06-02 06:25:36] p0deje, quitting. (Quit: p0deje)
[2013-06-02 06:25:50] Dude-X_, joining. (#selenium)
[2013-06-02 06:26:13] p0deje, joining. (#selenium)
[2013-06-02 06:27:05] Dude-X, joining. (#selenium)
[2013-06-02 06:31:16] phishy, joining. (#selenium)
[2013-06-02 06:31:19] phishy, quitting. (Max SendQ exceeded)
[2013-06-02 06:31:56] phishy, joining. (#selenium)
[2013-06-02 06:34:36] p0deje, quitting. (Quit: p0deje)
[2013-06-02 06:46:20] admc, joining. (#selenium)
[2013-06-02 06:47:58] Dude-X_, quitting. (Ping timeout: 256 seconds)
[2013-06-02 06:51:03] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 06:55:02] riv_, quitting. (Remote host closed the connection)
[2013-06-02 06:55:11] phishy, joining. (#selenium)
[2013-06-02 06:55:38] Dude-X_, joining. (#selenium)
[2013-06-02 06:57:01] Dude-X, quitting. (Ping timeout: 256 seconds)
[2013-06-02 06:57:02] Dude-X_, changing nick to Dude-X.
[2013-06-02 06:57:39] DarkRift, joining. (#selenium)
[2013-06-02 06:57:39] DarkRift, quitting. (Changing host)
[2013-06-02 06:57:39] DarkRift, joining. (#selenium)
[2013-06-02 07:09:35] riv_, joining. (#selenium)
[2013-06-02 07:10:15] Dude-X_, joining. (#selenium)
[2013-06-02 07:20:37] Dude-X_: pa not yet but when firefox 23 comes out maybe then
[2013-06-02 07:25:53] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 07:37:53] admc, quitting. (Ping timeout: 246 seconds)
[2013-06-02 07:44:57] nirvdrum, joining. (#selenium)
[2013-06-02 07:55:31] smccarthy, joining. (#selenium)
[2013-06-02 08:04:21] elopio, quitting. (Ping timeout: 240 seconds)
[2013-06-02 08:23:51] p0deje, joining. (#selenium)
[2013-06-02 08:25:38] elopio, joining. (#selenium)
[2013-06-02 08:28:25] p0deje, quitting. (Ping timeout: 245 seconds)
[2013-06-02 08:35:40] admc, joining. (#selenium)
[2013-06-02 08:38:20] pa: oh okay, thanks :)
[2013-06-02 08:38:27] pa: so i guess tabs will be useable then?
[2013-06-02 08:39:44] Dude-X: beats me.
[2013-06-02 08:42:02] ryanpetrello, joining. (#selenium)
[2013-06-02 08:43:43] elopio, quitting. (Ping timeout: 264 seconds)
[2013-06-02 08:48:11] elopio, joining. (#selenium)
[2013-06-02 08:50:30] tinygeo, joining. (#selenium)
[2013-06-02 08:53:25] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 08:56:20] elopio, quitting. (Ping timeout: 245 seconds)
