[2013-06-08 00:13:37] tobie, joining. (#selenium)
[2013-06-08 00:26:00] ShawnM, quitting. (Remote host closed the connection)
[2013-06-08 00:53:04] admc, quitting. (Quit: Leaving.)
[2013-06-08 01:40:13] tobie, quitting. (Quit: tobie)
[2013-06-08 01:50:56] stackedsax1, joining. (#selenium)
[2013-06-08 02:23:38] stackedsax1, quitting. (Quit: Leaving.)
[2013-06-08 02:27:08] ShawnM, joining. (#selenium)
[2013-06-08 02:33:42] p0deje, joining. (#selenium)
[2013-06-08 02:34:20] ShawnM, quitting. (Ping timeout: 260 seconds)
[2013-06-08 02:53:12] testingb0t1, joining. (#selenium)
[2013-06-08 02:53:12] testingb0t, quitting. (Read error: Connection reset by peer)
[2013-06-08 03:01:11] ShawnM, joining. (#selenium)
[2013-06-08 03:09:48] ShawnM, quitting. (Ping timeout: 260 seconds)
[2013-06-08 03:36:26] ShawnM, joining. (#selenium)
[2013-06-08 03:39:00] jacksoncage, joining. (#selenium)
[2013-06-08 03:39:53] jacksonc_, joining. (#selenium)
[2013-06-08 03:43:55] jacksoncage, quitting. (Ping timeout: 264 seconds)
[2013-06-08 03:43:55] jacksonc_, changing nick to jacksoncage.
[2013-06-08 03:45:47] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-06-08 04:04:06] jacksoncage, quitting. (Ping timeout: 256 seconds)
[2013-06-08 04:06:03] jacksoncage, joining. (#selenium)
[2013-06-08 04:06:35] jacksoncage, quitting. (Client Quit)
[2013-06-08 04:12:27] ShawnM, joining. (#selenium)
[2013-06-08 04:21:43] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-06-08 04:23:27] Revery, joining. (#selenium)
[2013-06-08 04:23:29] Revery, leaving. (#selenium)
[2013-06-08 04:23:47] jimpurbrick, joining. (#selenium)
[2013-06-08 04:43:03] jimpurbrick, quitting. (Quit: Leaving.)
[2013-06-08 04:48:38] ShawnM, joining. (#selenium)
[2013-06-08 04:58:19] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-06-08 05:11:11] dimacus, joining. (#selenium)
[2013-06-08 05:15:43] dimacus, quitting. (Ping timeout: 264 seconds)
[2013-06-08 05:24:55] ShawnM, joining. (#selenium)
[2013-06-08 05:26:02] megido, quitting. (Ping timeout: 246 seconds)
[2013-06-08 05:34:12] ShawnM, quitting. (Ping timeout: 256 seconds)
[2013-06-08 06:01:24] ShawnM, joining. (#selenium)
[2013-06-08 06:10:55] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-06-08 06:37:47] ShawnM, joining. (#selenium)
[2013-06-08 06:38:01] nirvdrum, joining. (#selenium)
[2013-06-08 06:39:44] Turzai, quitting. (Ping timeout: 276 seconds)
[2013-06-08 06:43:18] ryanpetrello, joining. (#selenium)
[2013-06-08 06:43:44] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 06:47:32] ShawnM, quitting. (Ping timeout: 276 seconds)
[2013-06-08 06:55:51] ashemedai, quitting. (Ping timeout: 252 seconds)
[2013-06-08 07:06:34] fatguylaughing, joining. (#selenium)
[2013-06-08 07:07:11] p0deje, quitting. (Quit: p0deje)
