[2013-06-09 00:07:52] kurtsbees, quitting. (Read error: Connection reset by peer)
[2013-06-09 00:08:37] kedar, joining. (#selenium)
[2013-06-09 00:08:49] kedar: whatsup guys
[2013-06-09 00:08:54] kurtsbees, joining. (#selenium)
[2013-06-09 00:09:28] kedar, quitting. (Client Quit)
[2013-06-09 00:16:10] admc, joining. (#selenium)
[2013-06-09 00:25:02] admc, quitting. (Ping timeout: 240 seconds)
[2013-06-09 00:32:27] karan86, quitting. (Quit: Page closed)
[2013-06-09 00:36:04] riotz_, joining. (#selenium)
[2013-06-09 00:37:24] imphasing, quitting. (Ping timeout: 256 seconds)
[2013-06-09 00:38:04] garndt_, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:04] riotz, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:04] intchanter-work, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:06] jualam, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:06] floppyears, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:09] eanxgeek, quitting. (Ping timeout: 276 seconds)
[2013-06-09 00:38:12] riotz_, changing nick to riotz.
[2013-06-09 00:38:15] eanxgeek_, joining. (#selenium)
[2013-06-09 00:38:27] eanxgeek_, changing nick to eanxgeek.
[2013-06-09 00:38:52] imphasing, joining. (#selenium)
[2013-06-09 00:39:17] intchanter-work, joining. (#selenium)
[2013-06-09 00:40:50] floppyears, joining. (#selenium)
[2013-06-09 00:40:50] floppyears, joining. (#selenium)
[2013-06-09 00:40:50] floppyears, quitting. (Changing host)
[2013-06-09 00:43:26] jualam, joining. (#selenium)
[2013-06-09 01:03:44] o3u, joining. (#selenium)
[2013-06-09 01:16:23] admc, joining. (#selenium)
[2013-06-09 01:20:56] admc, quitting. (Ping timeout: 264 seconds)
[2013-06-09 01:29:35] freynaud, joining. (#selenium)
[2013-06-09 01:39:41] jacksoncage, joining. (#selenium)
[2013-06-09 01:40:04] jacksoncage, quitting. (Client Quit)
[2013-06-09 02:02:29] jibay, joining. (#selenium)
[2013-06-09 02:14:24] ShawnM, quitting. (Remote host closed the connection)
[2013-06-09 02:14:59] ShawnM, joining. (#selenium)
[2013-06-09 02:16:52] admc, joining. (#selenium)
[2013-06-09 02:20:06] ShawnM, quitting. (Ping timeout: 246 seconds)
[2013-06-09 02:21:06] admc, quitting. (Ping timeout: 248 seconds)
[2013-06-09 02:29:24] garndt_, joining. (#selenium)
[2013-06-09 02:49:47] ej, quitting. (Remote host closed the connection)
[2013-06-09 03:17:28] admc, joining. (#selenium)
[2013-06-09 03:20:23] ej, joining. (#selenium)
[2013-06-09 03:26:13] admc, quitting. (Ping timeout: 252 seconds)
[2013-06-09 03:28:36] ej, quitting. (Ping timeout: 255 seconds)
[2013-06-09 03:45:34] freynaud, quitting. (Quit: freynaud)
