[2013-06-23 00:00:36] riotz, joining. (#selenium)
[2013-06-23 00:00:46] plightbo_work, joining. (#selenium)
[2013-06-23 00:02:49] ShawnM, joining. (#selenium)
[2013-06-23 00:04:28] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 00:05:17] plightbo_work, quitting. (Ping timeout: 255 seconds)
[2013-06-23 00:06:38] ShawnM, joining. (#selenium)
[2013-06-23 00:08:42] brettporter, quitting. (Quit: brettporter)
[2013-06-23 00:13:27] davidlai, joining. (#selenium)
[2013-06-23 00:13:50] davidlai, quitting. (Client Quit)
[2013-06-23 00:27:26] tobie, joining. (#selenium)
[2013-06-23 00:52:25] andreastt: :cla
[2013-06-23 00:52:26] selbot2: http://goo.gl/qC50R
[2013-06-23 00:59:07] riotz, quitting. (Remote host closed the connection)
[2013-06-23 01:00:37] riotz, joining. (#selenium)
[2013-06-23 01:01:27] plightbo_work, joining. (#selenium)
[2013-06-23 01:06:22] plightbo_work, quitting. (Ping timeout: 268 seconds)
[2013-06-23 01:07:50] kedoodek, quitting. (Ping timeout: 255 seconds)
[2013-06-23 01:12:34] kedoodek, joining. (#selenium)
[2013-06-23 01:23:08] tobie, quitting. (Quit: tobie)
[2013-06-23 01:25:54] kedoodek, quitting. (Ping timeout: 246 seconds)
[2013-06-23 01:26:50] gittish, joining. (#selenium)
[2013-06-23 01:35:34] kedoodek, joining. (#selenium)
[2013-06-23 01:59:07] riotz, quitting. (Remote host closed the connection)
[2013-06-23 01:59:07] barancev, quitting. (Read error: Connection reset by peer)
[2013-06-23 01:59:16] barancev, joining. (#selenium)
[2013-06-23 02:00:37] riotz, joining. (#selenium)
[2013-06-23 02:01:56] plightbo_work, joining. (#selenium)
[2013-06-23 02:05:47] gittish, quitting. (Quit: gittish)
[2013-06-23 02:06:14] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-06-23 02:10:55] tobie, joining. (#selenium)
[2013-06-23 02:27:06] tobie, quitting. (Quit: tobie)
[2013-06-23 02:36:16] kedoodek, quitting. (Ping timeout: 256 seconds)
[2013-06-23 02:37:01] jibay, joining. (#selenium)
[2013-06-23 02:40:42] kedoodek, joining. (#selenium)
[2013-06-23 02:58:55] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 02:59:07] riotz, quitting. (Remote host closed the connection)
[2013-06-23 03:00:37] riotz, joining. (#selenium)
[2013-06-23 03:02:02] Turzai, joining. (#selenium)
[2013-06-23 03:02:29] plightbo_work, joining. (#selenium)
[2013-06-23 03:10:19] Eleccy, quitting. (Ping timeout: 268 seconds)
[2013-06-23 03:10:41] plightbo_work, quitting. (Ping timeout: 255 seconds)
[2013-06-23 03:39:56] Turzai, quitting. (Ping timeout: 246 seconds)
[2013-06-23 03:59:07] riotz, quitting. (Remote host closed the connection)
[2013-06-23 04:00:36] riotz, joining. (#selenium)
[2013-06-23 04:03:33] richdownie, joining. (#selenium)
[2013-06-23 04:07:45] plightbo_work, joining. (#selenium)
[2013-06-23 04:08:34] plightb__, joining. (#selenium)
[2013-06-23 04:08:34] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:09:14] plightbo_work, joining. (#selenium)
[2013-06-23 04:09:14] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:09:51] ShawnM, joining. (#selenium)
[2013-06-23 04:09:51] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:10:03] plightbo_work, joining. (#selenium)
[2013-06-23 04:10:30] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:10:43] plightbo_work, joining. (#selenium)
[2013-06-23 04:11:11] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:11:23] plightbo_work, joining. (#selenium)
[2013-06-23 04:12:03] plightb__, joining. (#selenium)
[2013-06-23 04:12:03] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:12:43] plightbo_work, joining. (#selenium)
[2013-06-23 04:12:43] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:13:15] plightb__, joining. (#selenium)
[2013-06-23 04:13:15] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 04:13:54] plightbo_work, joining. (#selenium)
