[2013-06-29 00:05:16] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 00:11:44] tobie, joining. (#selenium)
[2013-06-29 00:16:02] tobie_, joining. (#selenium)
[2013-06-29 00:16:26] SamuraiJack_, joining. (#selenium)
[2013-06-29 00:18:31] tobie, quitting. (Ping timeout: 276 seconds)
[2013-06-29 00:18:33] omaciel, quitting. (Ping timeout: 276 seconds)
[2013-06-29 00:18:33] SamuraiJack, quitting. (Ping timeout: 276 seconds)
[2013-06-29 00:18:34] ebi, quitting. (Ping timeout: 276 seconds)
[2013-06-29 00:18:35] omaciel, joining. (#selenium)
[2013-06-29 00:18:35] tobie_, changing nick to tobie.
[2013-06-29 00:18:35] omaciel, quitting. (Changing host)
[2013-06-29 00:18:35] omaciel, joining. (#selenium)
[2013-06-29 00:22:41] tobie, quitting. (Quit: tobie)
[2013-06-29 00:32:39] Turzai, quitting. (Ping timeout: 260 seconds)
[2013-06-29 01:15:54] ShawnM, joining. (#selenium)
[2013-06-29 01:17:27] davidlai, quitting. (Quit: Leaving.)
[2013-06-29 01:20:04] ShawnM, quitting. (Ping timeout: 246 seconds)
[2013-06-29 01:27:01] ej, quitting. (Read error: Connection reset by peer)
[2013-06-29 01:27:02] ej_, joining. (#selenium)
[2013-06-29 01:28:56] admc, joining. (#selenium)
[2013-06-29 01:49:21] admc, quitting. (Quit: Leaving.)
[2013-06-29 02:12:45] ebi, joining. (#selenium)
[2013-06-29 02:24:09] tobie, joining. (#selenium)
[2013-06-29 03:04:14] richdownie, joining. (#selenium)
[2013-06-29 03:06:14] tobie, quitting. (Quit: tobie)
[2013-06-29 03:18:54] richdownie, quitting. (Quit: richdownie)
[2013-06-29 03:48:08] p0deje, joining. (#selenium)
[2013-06-29 04:03:25] p0deje, quitting. (Quit: p0deje)
[2013-06-29 04:04:24] richdownie, joining. (#selenium)
[2013-06-29 04:05:11] p0deje, joining. (#selenium)
[2013-06-29 04:11:47] p0deje, quitting. (Quit: p0deje)
[2013-06-29 04:16:28] p0deje, joining. (#selenium)
[2013-06-29 04:20:20] richdownie, quitting. (Quit: richdownie)
[2013-06-29 04:33:50] selenaphillips, joining. (#selenium)
[2013-06-29 04:35:23] selenaphillips1, joining. (#selenium)
[2013-06-29 04:38:39] selenaphillips, quitting. (Ping timeout: 268 seconds)
[2013-06-29 04:45:18] ryanpetrello, joining. (#selenium)
[2013-06-29 04:51:24] Eleccy, joining. (#selenium)
[2013-06-29 04:56:06] tobie, joining. (#selenium)
[2013-06-29 04:57:04] richdownie, joining. (#selenium)
[2013-06-29 05:06:27] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-29 05:10:26] ej_, quitting. (Remote host closed the connection)
[2013-06-29 05:11:01] ej, joining. (#selenium)
[2013-06-29 05:12:03] p0deje, quitting. (Quit: p0deje)
[2013-06-29 05:15:02] phishy, joining. (#selenium)
[2013-06-29 05:15:04] phishy, quitting. (Max SendQ exceeded)
[2013-06-29 05:15:42] phishy, joining. (#selenium)
[2013-06-29 05:15:45] phishy, quitting. (Max SendQ exceeded)
[2013-06-29 05:15:47] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-29 05:16:24] phishy, joining. (#selenium)
[2013-06-29 05:19:11] tobie, quitting. (Ping timeout: 256 seconds)
[2013-06-29 05:19:48] p0deje, joining. (#selenium)
[2013-06-29 05:27:54] SamuraiJack_, quitting. (Ping timeout: 246 seconds)
[2013-06-29 05:35:56] ej, joining. (#selenium)
[2013-06-29 05:36:39] richdownie, quitting. (Quit: richdownie)
[2013-06-29 05:36:45] p0deje, quitting. (Quit: p0deje)
[2013-06-29 05:38:18] p0deje, joining. (#selenium)
[2013-06-29 05:38:33] vila, quitting. (Ping timeout: 248 seconds)
[2013-06-29 05:39:44] vila, joining. (#selenium)
[2013-06-29 05:54:44] p0deje, quitting. (Quit: p0deje)
[2013-06-29 06:05:13] p0deje, joining. (#selenium)
[2013-06-29 06:13:06] p0deje, quitting. (Quit: p0deje)
[2013-06-29 06:13:18] dimacus, joining. (#selenium)
[2013-06-29 06:16:25] eanxgeek|log, quitting. (Ping timeout: 256 seconds)
[2013-06-29 06:17:03] omaciel, quitting. (Ping timeout: 276 seconds)
[2013-06-29 06:17:59] omaciel, joining. (#selenium)
[2013-06-29 06:22:20] eanxgeek|log, joining. (#selenium)
[2013-06-29 06:22:32] eanxgeek|log, changing nick to lytrogeek.
[2013-06-29 06:27:42] p0deje, joining. (#selenium)
[2013-06-29 06:36:19] dimacus, quitting. (Quit: Leaving.)
[2013-06-29 06:36:39] lytrogeek, quitting. (Ping timeout: 264 seconds)
[2013-06-29 06:38:37] dimacus, joining. (#selenium)
[2013-06-29 06:38:52] eanxgeek|log, joining. (#selenium)
[2013-06-29 06:39:00] eanxgeek|log, changing nick to lytrogeek.
[2013-06-29 06:45:13] Archdude_, joining. (#selenium)
[2013-06-29 06:48:47] Archdude, quitting. (Ping timeout: 260 seconds)
[2013-06-29 06:48:47] Archdude_, changing nick to Archdude.
[2013-06-29 06:57:33] dimacus, quitting. (Quit: Leaving.)
[2013-06-29 07:28:30] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-29 07:30:37] selenaphillips1, quitting. (Quit: Leaving.)
[2013-06-29 07:35:31] phishy, joining. (#selenium)
[2013-06-29 07:46:08] p0deje, quitting. (Quit: p0deje)
[2013-06-29 07:55:02] ShawnM, joining. (#selenium)
[2013-06-29 07:56:27] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 07:58:55] ShawnM, joining. (#selenium)
[2013-06-29 08:05:34] peshom, joining. (#selenium)
[2013-06-29 08:06:12] peshom: Good day, everyone!
[2013-06-29 08:08:23] nirvdrum, joining. (#selenium)
[2013-06-29 08:14:58] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-29 08:22:21] o3u, quitting. (Read error: Connection reset by peer)
[2013-06-29 08:22:44] o3u, joining. (#selenium)
[2013-06-29 08:25:27] phishy, joining. (#selenium)
[2013-06-29 08:38:55] jimpurbrick, joining. (#selenium)
[2013-06-29 08:53:04] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 08:56:29] rickdarcy, joining. (#selenium)
[2013-06-29 09:05:27] codepython777, quitting. (Quit: Leaving.)
[2013-06-29 09:22:43] smccarthy, joining. (#selenium)
[2013-06-29 09:26:03] codepython777, joining. (#selenium)
[2013-06-29 09:26:32] peshom: Can anyone recommend a portable IDE for Python?
[2013-06-29 09:26:51] peshom: Does such a thing even exist?
[2013-06-29 09:37:12] codepython777, quitting. (Quit: Leaving.)
[2013-06-29 09:40:32] davidlai, joining. (#selenium)
[2013-06-29 10:03:41] ShawnM, joining. (#selenium)
[2013-06-29 10:08:01] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-06-29 10:13:26] davidlai, quitting. (Quit: Leaving.)
[2013-06-29 10:14:00] davidlai, joining. (#selenium)
[2013-06-29 10:15:03] gates_, quitting. (Ping timeout: 264 seconds)
[2013-06-29 10:23:08] DanielSi, joining. (#selenium)
[2013-06-29 10:36:00] jleyba_, joining. (#selenium)
[2013-06-29 10:36:10] jleyba_, quitting. (Client Quit)
[2013-06-29 10:36:27] jleyba_, joining. (#selenium)
[2013-06-29 10:37:02] jleyba_: :ci
[2013-06-29 10:37:03] selbot2_: Jenkins: http://ci.seleniumhq.org:8080/ | Dashboard: http://dashboard.ci.seleniumhq.org/
[2013-06-29 10:44:41] noahsussman, joining. (#selenium)
[2013-06-29 10:48:03] o3u, quitting. (Ping timeout: 264 seconds)
[2013-06-29 10:48:33] o3u, joining. (#selenium)
[2013-06-29 10:50:04] jleyba_, quitting. (Quit: jleyba_)
[2013-06-29 10:53:07] jleyba_, joining. (#selenium)
[2013-06-29 11:05:10] DanielSi, quitting. (Quit: Leaving...)
[2013-06-29 11:12:49] noahsussman, quitting. (Remote host closed the connection)
[2013-06-29 11:19:19] DanielSi, joining. (#selenium)
[2013-06-29 11:22:18] brettporter, quitting. (Quit: brettporter)
[2013-06-29 11:28:03] melter, quitting. (Read error: Connection reset by peer)
[2013-06-29 11:28:25] jleyba_, quitting. (Quit: jleyba_)
[2013-06-29 11:39:16] ShawnM, joining. (#selenium)
[2013-06-29 11:49:44] davidlai, quitting. (Quit: Leaving.)
[2013-06-29 12:01:59] peshom, quitting. (Ping timeout: 250 seconds)
[2013-06-29 12:06:37] AutomatedTester, quitting. (Quit: ZNC - http://znc.in)
[2013-06-29 12:09:37] AutomatedTester, joining. (#selenium)
[2013-06-29 12:12:55] tobie, joining. (#selenium)
[2013-06-29 12:14:19] ddary, joining. (#selenium)
[2013-06-29 12:15:13] gates_, joining. (#selenium)
[2013-06-29 12:25:45] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-29 12:26:00] ddary, quitting. (Quit: ddary)
[2013-06-29 12:41:59] Silne30, joining. (#selenium)
[2013-06-29 12:46:58] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 12:58:18] DanielSi, quitting. (Ping timeout: 256 seconds)
[2013-06-29 13:03:43] nsussman, joining. (#selenium)
[2013-06-29 13:24:26] jrock20041, joining. (#selenium)
[2013-06-29 13:26:30] Turzai, joining. (#selenium)
[2013-06-29 13:43:05] Silne30, quitting. (Quit: It's a dud! It's a dud! It's a du...)
[2013-06-29 13:56:18] nirvdrum, quitting. (Read error: Operation timed out)
[2013-06-29 13:57:33] ShawnM, joining. (#selenium)
[2013-06-29 14:02:02] ShawnM, quitting. (Ping timeout: 246 seconds)
[2013-06-29 14:12:50] smccarthy, quitting. (Remote host closed the connection)
[2013-06-29 14:12:58] jrock20041, quitting. (Quit: leaving)
[2013-06-29 14:21:49] ryanpetrello, joining. (#selenium)
[2013-06-29 14:22:16] phishy, joining. (#selenium)
[2013-06-29 14:22:18] phishy, quitting. (Max SendQ exceeded)
[2013-06-29 14:22:55] phishy, joining. (#selenium)
[2013-06-29 14:22:57] phishy, quitting. (Max SendQ exceeded)
[2013-06-29 14:23:37] phishy, joining. (#selenium)
[2013-06-29 14:23:38] phishy, quitting. (Max SendQ exceeded)
[2013-06-29 14:24:18] phishy, joining. (#selenium)
[2013-06-29 14:30:16] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-29 14:31:41] Swadq, joining. (#selenium)
[2013-06-29 14:35:04] tobie, quitting. (Quit: tobie)
[2013-06-29 15:05:41] hirani, joining. (#selenium)
[2013-06-29 15:05:54] hirani, leaving. (#selenium)
[2013-06-29 15:06:12] hirani, joining. (#selenium)
[2013-06-29 15:12:47] ej, quitting. (Remote host closed the connection)
[2013-06-29 15:14:51] Swadq, leaving. (#selenium)
[2013-06-29 15:21:20] nirvdrum, joining. (#selenium)
[2013-06-29 15:26:01] brettporter, joining. (#selenium)
[2013-06-29 15:28:16] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-29 15:50:29] jdorlus, joining. (#selenium)
[2013-06-29 15:55:28] davidlai, joining. (#selenium)
[2013-06-29 16:05:19] DanielSi, joining. (#selenium)
[2013-06-29 16:05:33] brettporter, quitting. (Quit: brettporter)
[2013-06-29 16:13:19] ej, joining. (#selenium)
[2013-06-29 16:15:53] ShawnM, joining. (#selenium)
[2013-06-29 16:18:01] ej, quitting. (Ping timeout: 248 seconds)
[2013-06-29 16:22:27] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 16:23:28] ej, joining. (#selenium)
[2013-06-29 16:24:03] DanielSi, quitting. (Quit: Leaving...)
