[2013-06-30 00:12:32] intchanter-work, joining. (#selenium)
[2013-06-30 00:14:52] ShawnM, joining. (#selenium)
[2013-06-30 00:17:06] intchanter-work, quitting. (Ping timeout: 268 seconds)
[2013-06-30 00:31:54] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 00:34:51] ShawnM, joining. (#selenium)
[2013-06-30 00:37:27] testingb0t, joining. (#selenium)
[2013-06-30 01:08:04] o3u, joining. (#selenium)
[2013-06-30 01:16:06] testingb0t, quitting. (Quit: Leaving.)
[2013-06-30 01:18:44] jimpurbrick1, quitting. (Read error: Connection reset by peer)
[2013-06-30 01:19:25] jimpurbrick, joining. (#selenium)
[2013-06-30 01:26:16] davidlai, quitting. (Quit: Leaving.)
[2013-06-30 01:39:02] tobie, joining. (#selenium)
[2013-06-30 01:56:09] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 02:00:58] p0deje, joining. (#selenium)
[2013-06-30 02:05:25] p0deje, quitting. (Ping timeout: 256 seconds)
[2013-06-30 02:19:09] tulsi, joining. (#selenium)
[2013-06-30 02:19:51] tulsi: Hi anyone in this room?
[2013-06-30 02:20:02] tulsi: need some help in selenium webdriver
[2013-06-30 02:21:06] tulsi, quitting. (Client Quit)
[2013-06-30 02:23:19] testingb0t, joining. (#selenium)
[2013-06-30 02:37:20] testingb0t, quitting. (Quit: Leaving.)
[2013-06-30 02:48:01] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-06-30 02:55:35] jimpurbrick, joining. (#selenium)
[2013-06-30 02:55:51] tobie_, joining. (#selenium)
[2013-06-30 02:56:55] tobie, quitting. (Remote host closed the connection)
[2013-06-30 02:57:25] tobie, joining. (#selenium)
[2013-06-30 03:00:39] tobie_, quitting. (Ping timeout: 264 seconds)
[2013-06-30 03:06:44] ShawnM, joining. (#selenium)
[2013-06-30 03:11:02] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-06-30 03:13:26] tobie, quitting. (Quit: tobie)
[2013-06-30 03:16:27] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-06-30 03:17:06] jimpurbrick, joining. (#selenium)
[2013-06-30 03:35:51] DanielSi, joining. (#selenium)
[2013-06-30 03:59:14] p0deje, joining. (#selenium)
[2013-06-30 04:06:59] p0deje, quitting. (Quit: p0deje)
[2013-06-30 04:13:39] p0deje, joining. (#selenium)
[2013-06-30 04:22:20] SamuraiJack_, joining. (#selenium)
[2013-06-30 05:03:53] DanielSi, quitting. (Quit: Leaving...)
[2013-06-30 05:11:52] p0deje, quitting. (Quit: p0deje)
[2013-06-30 05:18:22] p0deje, joining. (#selenium)
[2013-06-30 05:37:56] DanielSi, joining. (#selenium)
[2013-06-30 05:45:29] silne30, joining. (#selenium)
[2013-06-30 05:50:12] p0deje, quitting. (Quit: p0deje)
[2013-06-30 06:26:09] ej, quitting. (Remote host closed the connection)
[2013-06-30 06:42:58] ej, joining. (#selenium)
[2013-06-30 06:43:06] ej, quitting. (Remote host closed the connection)
[2013-06-30 06:47:37] o3u, quitting. (Ping timeout: 256 seconds)
[2013-06-30 06:50:13] phishy, joining. (#selenium)
[2013-06-30 07:13:45] ej, joining. (#selenium)
[2013-06-30 07:14:27] Turzai, quitting. (Ping timeout: 264 seconds)
[2013-06-30 07:15:38] mreedell-work, joining. (#selenium)
[2013-06-30 07:16:24] mreedell-work, quitting. (Client Quit)
[2013-06-30 07:17:33] Turzai, joining. (#selenium)
[2013-06-30 07:19:34] ryanpetrello, joining. (#selenium)
[2013-06-30 07:22:11] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-30 07:32:31] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 07:50:32] p0deje, joining. (#selenium)
[2013-06-30 08:04:58] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 08:13:33] p0deje, quitting. (Quit: p0deje)
[2013-06-30 08:14:14] ej, joining. (#selenium)
[2013-06-30 08:22:17] ej, quitting. (Ping timeout: 248 seconds)
[2013-06-30 08:30:45] noahsussman, joining. (#selenium)
[2013-06-30 08:39:46] jost, joining. (#selenium)
[2013-06-30 08:42:06] Vermele, joining. (#selenium)
[2013-06-30 08:43:46] sr78ger, joining. (#selenium)
[2013-06-30 08:54:45] SamuraiJack_, quitting. (Ping timeout: 276 seconds)
[2013-06-30 09:00:41] SamuraiJack_, joining. (#selenium)
[2013-06-30 09:14:45] ej, joining. (#selenium)
[2013-06-30 09:17:23] Turzai, quitting. (Ping timeout: 246 seconds)
[2013-06-30 09:17:44] SamuraiJack_, quitting. (Ping timeout: 246 seconds)
[2013-06-30 09:19:03] ej, quitting. (Ping timeout: 240 seconds)
[2013-06-30 09:21:45] ShawnM, joining. (#selenium)
[2013-06-30 09:38:17] davidlai, joining. (#selenium)
[2013-06-30 09:42:32] DanielSi, quitting. (Quit: Leaving...)
[2013-06-30 09:50:49] ryanpetrello, joining. (#selenium)
[2013-06-30 09:53:07] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 09:59:23] DanielSi, joining. (#selenium)
[2013-06-30 10:09:03] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 10:11:59] noahsussman, joining. (#selenium)
[2013-06-30 10:15:13] ej, joining. (#selenium)
[2013-06-30 10:16:35] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 10:18:09] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 10:19:37] ej, quitting. (Ping timeout: 248 seconds)
[2013-06-30 10:24:14] smccarthy, joining. (#selenium)
[2013-06-30 10:29:27] gittish, joining. (#selenium)
[2013-06-30 10:32:34] gittish, quitting. (Client Quit)
[2013-06-30 10:35:01] Vermele, quitting. (Quit: Page closed)
[2013-06-30 10:42:06] noahsussman, joining. (#selenium)
[2013-06-30 10:42:34] gittish, joining. (#selenium)
[2013-06-30 10:45:42] asavchuk, joining. (#selenium)
[2013-06-30 10:46:23] ej, joining. (#selenium)
[2013-06-30 10:46:50] codepython777, leaving. (#selenium)
[2013-06-30 10:50:19] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 10:53:45] DanielSi, quitting. (Quit: Leaving...)
[2013-06-30 10:54:25] detronizator, joining. (#selenium)
[2013-06-30 10:54:54] silne30, quitting. (Quit: Konversation terminated!)
[2013-06-30 11:00:23] gittish, quitting. (Quit: gittish)
[2013-06-30 11:02:54] jimpurbrick1, joining. (#selenium)
[2013-06-30 11:04:19] jimpurbrick, quitting. (Ping timeout: 256 seconds)
[2013-06-30 11:05:18] JCrown, joining. (#selenium)
[2013-06-30 11:05:37] DanielSi, joining. (#selenium)
[2013-06-30 11:05:41] DanielSi, quitting. (Client Quit)
[2013-06-30 11:06:54] jimpurbrick1, quitting. (Read error: Connection reset by peer)
[2013-06-30 11:07:14] jimpurbrick, joining. (#selenium)
[2013-06-30 11:07:41] JCrown, quitting. (Client Quit)
[2013-06-30 11:16:59] ShawnM, joining. (#selenium)
[2013-06-30 11:17:00] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-30 11:17:05] barancev, joining. (#selenium)
[2013-06-30 11:20:52] davidlai, quitting. (Quit: Leaving.)
[2013-06-30 11:24:39] gittish, joining. (#selenium)
[2013-06-30 11:24:47] p0deje, joining. (#selenium)
[2013-06-30 11:25:05] p0deje, quitting. (Client Quit)
[2013-06-30 11:32:39] detronizator, quitting. (Ping timeout: 256 seconds)
[2013-06-30 11:33:55] asavchuk, quitting. (Quit: bye everyone)
[2013-06-30 11:33:57] detronizator, joining. (#selenium)
[2013-06-30 11:35:15] markalanevans, joining. (#selenium)
[2013-06-30 11:39:46] smccarthy, quitting. (Remote host closed the connection)
[2013-06-30 11:39:52] o3u, joining. (#selenium)
[2013-06-30 11:43:29] ShawnM, quitting. (Remote host closed the connection)
