[2013-07-06 00:18:54] testingb0t, joining. (#selenium)
[2013-07-06 00:23:27] __gotcha, quitting. (Ping timeout: 248 seconds)
[2013-07-06 00:24:50] Dude-X, quitting. (Quit: Dude-X)
[2013-07-06 00:25:59] p0deje, joining. (#selenium)
[2013-07-06 00:26:10] davidlai, joining. (#selenium)
[2013-07-06 00:28:09] p0deje, quitting. (Client Quit)
[2013-07-06 00:28:56] __gotcha, joining. (#selenium)
[2013-07-06 00:34:29] zeljkof, joining. (#selenium)
[2013-07-06 00:34:52] p0deje, joining. (#selenium)
[2013-07-06 00:51:10] Guest81143, changing nick to mika.
[2013-07-06 00:51:39] mika, changing nick to Guest76497.
[2013-07-06 01:01:38] davidlai, quitting. (Quit: Leaving.)
[2013-07-06 01:10:52] p0deje, quitting. (Quit: p0deje)
[2013-07-06 01:14:53] davidlai, joining. (#selenium)
[2013-07-06 01:21:07] zeljkof, quitting. (Quit: zeljkof)
[2013-07-06 01:22:36] zeljkof, joining. (#selenium)
[2013-07-06 01:27:07] davidlai, quitting. (Quit: Leaving.)
[2013-07-06 01:29:28] sr78ger, joining. (#selenium)
[2013-07-06 01:31:35] davidlai, joining. (#selenium)
[2013-07-06 01:32:40] Ubuh-Huntuh, joining. (#selenium)
[2013-07-06 01:33:27] Ubuh-Huntuh: why doesn't this work in python? driver = webdriver.Firefox('/cygdrive/c/Program Files (x86)/Mozilla Firefox/firefox.exe')
[2013-07-06 01:33:42] Ubuh-Huntuh: it works when i call chrome.exe
[2013-07-06 01:34:18] Ubuh-Huntuh: http://pastebin.com/rJCTASRn
[2013-07-06 01:42:13] davidlai, quitting. (Quit: Leaving.)
[2013-07-06 01:50:48] p0deje, joining. (#selenium)
[2013-07-06 01:51:47] Guest76497, changing nick to mika.
[2013-07-06 01:52:17] mika, changing nick to Guest68430.
[2013-07-06 02:00:48] p0deje, quitting. (Quit: p0deje)
[2013-07-06 02:10:23] p0deje, joining. (#selenium)
[2013-07-06 02:24:16] zeljkof, quitting. (Ping timeout: 264 seconds)
[2013-07-06 02:24:34] zeljkof, joining. (#selenium)
[2013-07-06 02:27:17] Guest68430, quitting. (Quit: grml.org)
[2013-07-06 02:27:37] mikap, joining. (#selenium)
[2013-07-06 02:27:37] mikap, quitting. (Changing host)
[2013-07-06 02:27:37] mikap, joining. (#selenium)
[2013-07-06 02:34:59] zeljkof, quitting. (Ping timeout: 276 seconds)
[2013-07-06 02:40:14] zeljkof, joining. (#selenium)
[2013-07-06 02:40:41] p0deje, quitting. (Quit: p0deje)
[2013-07-06 02:42:35] h8R, joining. (#selenium)
[2013-07-06 02:50:07] __gotcha, quitting. (Quit: __gotcha)
[2013-07-06 02:52:55] mikap, changing nick to mika.
[2013-07-06 02:56:26] barancev: :note jleyba manually stacktrace_test passes for me on opera 12 in saucelabs. I don't know why it fails when CI runs the test
[2013-07-06 02:56:26] selbot2__: barancev: note from jleyba about 7 hours ago: stacktrace_test passes for me on opera 12.01 and 15 (OSX)
[2013-07-06 02:56:26] selbot2__: ok!
[2013-07-06 03:25:35] jost, joining. (#selenium)
[2013-07-06 03:40:47] zeljkof, quitting. (Ping timeout: 248 seconds)
[2013-07-06 03:43:03] zeljkof, joining. (#selenium)
[2013-07-06 03:44:27] millenium_, joining. (#selenium)
[2013-07-06 03:45:02] millenium, quitting. (Ping timeout: 246 seconds)
[2013-07-06 04:04:26] Guest94775, changing nick to ronny.
[2013-07-06 04:04:28] ronny, quitting. (Quit: WeeChat 0.3.9.2)
[2013-07-06 04:04:55] ronny, joining. (#selenium)
[2013-07-06 04:28:11] zeljkof, quitting. (Quit: zeljkof)
[2013-07-06 04:35:26] DrJenkins, joining. (#selenium)
[2013-07-06 04:42:40] zeljkof, joining. (#selenium)
[2013-07-06 04:45:32] DrJenkins, quitting. (Remote host closed the connection)
[2013-07-06 04:48:06] DrJenkins, joining. (#selenium)
[2013-07-06 05:25:54] zeljkof, quitting. (Ping timeout: 256 seconds)
[2013-07-06 05:26:09] Scoding, joining. (#selenium)
[2013-07-06 05:26:28] Scoding, quitting. (Max SendQ exceeded)
[2013-07-06 05:29:26] Ubuh-Huntuh, quitting. ()
[2013-07-06 05:29:46] zeljkof, joining. (#selenium)
[2013-07-06 05:37:18] zeljkof_, joining. (#selenium)
[2013-07-06 05:37:18] zeljkof, quitting. (Ping timeout: 268 seconds)
[2013-07-06 05:37:18] zeljkof_, changing nick to zeljkof.
[2013-07-06 05:44:40] zeljkof, quitting. (Ping timeout: 264 seconds)
[2013-07-06 05:48:48] testingb0t1, joining. (#selenium)
[2013-07-06 05:50:34] testingb0t1, quitting. (Client Quit)
[2013-07-06 05:51:36] testingb0t1, joining. (#selenium)
[2013-07-06 06:08:23] __gotcha, joining. (#selenium)
[2013-07-06 06:08:23] __gotcha, quitting. (Changing host)
[2013-07-06 06:08:23] __gotcha, joining. (#selenium)
[2013-07-06 06:16:15] __gotcha, quitting. (Quit: __gotcha)
[2013-07-06 06:17:23] o3u, quitting. (Ping timeout: 268 seconds)
[2013-07-06 06:18:28] DrJenkins, quitting. (Remote host closed the connection)
[2013-07-06 06:24:05] testingb0t1, quitting. (Quit: Leaving.)
[2013-07-06 07:05:15] smccarthy, joining. (#selenium)
[2013-07-06 07:12:42] stepheneb, joining. (#selenium)
[2013-07-06 07:18:58] DrJenkins, joining. (#selenium)
[2013-07-06 07:23:40] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-07-06 07:33:05] hirani, joining. (#selenium)
[2013-07-06 07:58:25] mreedell-work, joining. (#selenium)
[2013-07-06 08:05:42] DrJenkins, joining. (#selenium)
[2013-07-06 08:05:49] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 08:12:17] Dude-X, joining. (#selenium)
[2013-07-06 08:18:16] DrJenkins, quitting. (Remote host closed the connection)
[2013-07-06 08:46:26] coreyg, joining. (#selenium)
[2013-07-06 09:14:25] mdgreenfield, joining. (#selenium)
[2013-07-06 09:19:29] o3u, joining. (#selenium)
[2013-07-06 09:21:04] mdgreenfield, leaving. (#selenium)
[2013-07-06 09:51:11] swente, joining. (#selenium)
[2013-07-06 09:51:42] arex\\, joining. (#selenium)
[2013-07-06 09:53:19] coreyg, quitting. (Quit: coreyg)
[2013-07-06 10:03:09] swente: hello. i'm using selenium grid with webdriver-clients. as i would like to watch the browser with vnc, i need to get some node-specific information [DISPLAY-var, node's ip-address and eventually vnc-port]. it would be sufficient if one could fetch all environment-vars from node to client -- anyone a hint?
[2013-07-06 10:14:57] testingb0t1, joining. (#selenium)
[2013-07-06 10:19:24] DrJenkins, joining. (#selenium)
[2013-07-06 10:24:16] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-07-06 10:27:39] hirani, quitting. (Quit: Leaving.)
[2013-07-06 10:37:37] testingb0t1, quitting. (Quit: Leaving.)
[2013-07-06 10:41:55] jost, quitting. (Quit: jost)
[2013-07-06 10:57:45] jlipps, joining. (#selenium)
[2013-07-06 10:58:22] jlipps, quitting. (Client Quit)
[2013-07-06 10:59:07] jlipps, joining. (#selenium)
[2013-07-06 11:05:53] Turzai, quitting. (Ping timeout: 276 seconds)
[2013-07-06 11:09:00] admc, joining. (#selenium)
[2013-07-06 11:10:29] jrock20041, joining. (#selenium)
[2013-07-06 11:15:18] barancev|2, joining. (#selenium)
[2013-07-06 11:17:56] barancev, quitting. (Ping timeout: 246 seconds)
[2013-07-06 11:19:57] DrJenkins, joining. (#selenium)
[2013-07-06 11:24:52] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-07-06 11:36:22] Dude-X, quitting. (Quit: Dude-X)
[2013-07-06 11:41:04] plightbo_work, joining. (#selenium)
[2013-07-06 11:44:32] hirani, joining. (#selenium)
[2013-07-06 12:18:27] dimacus, joining. (#selenium)
[2013-07-06 12:20:24] DrJenkins, joining. (#selenium)
[2013-07-06 12:24:55] DrJenkins, quitting. (Ping timeout: 268 seconds)
[2013-07-06 12:46:39] stepheneb, quitting. (Quit: stepheneb)
[2013-07-06 12:47:16] stepheneb, joining. (#selenium)
[2013-07-06 13:02:34] dimacus, leaving. (#selenium)
[2013-07-06 13:05:40] brockfredin, quitting. (Read error: Connection reset by peer)
[2013-07-06 13:05:58] brockfredin, joining. (#selenium)
[2013-07-06 13:15:10] Dude-X, joining. (#selenium)
[2013-07-06 13:19:45] jlipps, quitting. (Quit: Leaving.)
[2013-07-06 13:20:58] DrJenkins, joining. (#selenium)
[2013-07-06 13:23:30] arex\\, quitting. (Ping timeout: 268 seconds)
[2013-07-06 13:25:19] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-07-06 13:32:53] Dude-X, quitting. (Quit: Dude-X)
[2013-07-06 13:38:39] Dude-X, joining. (#selenium)
[2013-07-06 13:56:11] Selenium-Git, joining. (#selenium)
