[2013-08-03 00:49:56] sibichakravarthy, quitting. (Quit: sibichakravarthy)
[2013-08-03 01:08:06] stackedsax, joining. (#selenium)
[2013-08-03 01:18:04] rstrazhnyk, quitting. (Quit: Leaving.)
[2013-08-03 01:25:40] asavchuk, joining. (#selenium)
[2013-08-03 01:50:41] asavchuk, quitting. (Quit: bye everyone)
[2013-08-03 02:08:31] stackedsax, quitting. (Quit: Leaving.)
[2013-08-03 02:08:43] admc1, joining. (#selenium)
[2013-08-03 02:12:23] schweens, quitting. (Quit: schweens)
[2013-08-03 02:15:00] detronizator, joining. (#selenium)
[2013-08-03 02:18:06] admc1, quitting. (Quit: Leaving.)
[2013-08-03 02:21:02] admc1, joining. (#selenium)
[2013-08-03 02:37:11] detronizator, quitting. (Ping timeout: 240 seconds)
[2013-08-03 03:12:09] Selenium-Git, joining. (#selenium)
[2013-08-03 03:12:09] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 2 new commits to 06master: 02http://git.io/rK_OIA
[2013-08-03 03:12:09] Selenium-Git: 13selenium/06master 148da2abf 15Alexandr Savchuk: fix misprint in js code of example
[2013-08-03 03:12:09] Selenium-Git: 13selenium/06master 14245aa6e 15Alexandr Savchuk: update testcases for firefox: add test for issue #3073; add timeout for potential stucked test
[2013-08-03 03:12:09] Selenium-Git, leaving. (#selenium)
[2013-08-03 03:17:54] admc1, quitting. (Quit: Leaving.)
[2013-08-03 03:30:02] admc1, joining. (#selenium)
[2013-08-03 03:31:04] admc1, quitting. (Client Quit)
[2013-08-03 03:44:16] seljenkinsbot: Project IE 9 Java Tests build #2741: FIXED in 10 min: http://ci.seleniumhq.org:8080/job/IE%209%20Java%20Tests/2741/
[2013-08-03 03:59:45] admc1, joining. (#selenium)
[2013-08-03 04:00:28] admc1, quitting. (Client Quit)
[2013-08-03 04:00:52] admc1, joining. (#selenium)
[2013-08-03 04:01:37] admc1, quitting. (Client Quit)
[2013-08-03 04:07:39] seljenkinsbot: Project Firefox 17 Linux Javascript Tests build #880: FIXED in 5 min 40 sec: http://ci.seleniumhq.org:8080/job/Firefox%2017%20Linux%20Javascript%20Tests/880/
[2013-08-03 04:09:17] seljenkinsbot: Project Firefox 10 Linux Synthesized Java Tests build #2164: FIXED in 8 min 53 sec: http://ci.seleniumhq.org:8080/job/Firefox%2010%20Linux%20Synthesized%20Java%20Tests/2164/
[2013-08-03 04:09:46] dhanush, joining. (#selenium)
[2013-08-03 04:13:53] seljenkinsbot: Project Firefox 21 Linux Native Java Tests build #361: FIXED in 11 min: http://ci.seleniumhq.org:8080/job/Firefox%2021%20Linux%20Native%20Java%20Tests/361/
[2013-08-03 04:14:04] admc1, joining. (#selenium)
[2013-08-03 04:16:02] admc1, quitting. (Client Quit)
[2013-08-03 04:21:06] admc1, joining. (#selenium)
[2013-08-03 04:21:55] admc1, quitting. (Client Quit)
[2013-08-03 05:10:12] richdownie, quitting. (Ping timeout: 264 seconds)
[2013-08-03 06:24:01] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:26:40] sibichakravarthy, quitting. (Read error: Connection reset by peer)
[2013-08-03 06:27:23] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:28:42] Silne30, quitting. (Quit: We be chillin - IceChat style)
[2013-08-03 06:30:02] sibichakravarthy, quitting. (Read error: Connection reset by peer)
[2013-08-03 06:30:37] stackedsax1, joining. (#selenium)
[2013-08-03 06:30:44] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:34:37] sibichakravart-1, joining. (#selenium)
[2013-08-03 06:35:08] sibichakravarthy, quitting. (Ping timeout: 245 seconds)
[2013-08-03 06:35:24] stackedsax1, quitting. (Ping timeout: 264 seconds)
[2013-08-03 06:41:07] sibichakravart-1, quitting. (Quit: sibichakravart-1)
[2013-08-03 06:41:33] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:44:07] sibichakravarthy, quitting. (Read error: Connection reset by peer)
[2013-08-03 06:44:52] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:47:29] sibichakravarthy, quitting. (Read error: Connection reset by peer)
[2013-08-03 06:48:12] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:50:38] arex\\, quitting. (Ping timeout: 256 seconds)
[2013-08-03 06:50:53] sibichakravarthy, quitting. (Read error: Connection reset by peer)
[2013-08-03 06:50:59] arex\\, joining. (#selenium)
[2013-08-03 06:51:36] sibichakravarthy, joining. (#selenium)
[2013-08-03 06:51:36] barancev, quitting. (Read error: Connection reset by peer)
