[2013-09-01 00:20:11] md--, joining. (#selenium)
[2013-09-01 00:22:48] testingb0t, joining. (#selenium)
[2013-09-01 00:40:01] girija, joining. (#selenium)
[2013-09-01 00:44:04] md--, quitting. (Remote host closed the connection)
[2013-09-01 00:44:33] md--, joining. (#selenium)
[2013-09-01 00:44:45] mansi, joining. (#selenium)
[2013-09-01 00:48:06] girija, quitting. (Ping timeout: 264 seconds)
[2013-09-01 00:48:53] mansi, quitting. (Ping timeout: 245 seconds)
[2013-09-01 00:49:18] md--, quitting. (Ping timeout: 264 seconds)
[2013-09-01 01:42:38] govi, joining. (#selenium)
[2013-09-01 01:45:26] mansi, joining. (#selenium)
[2013-09-01 01:49:43] mansi, quitting. (Ping timeout: 245 seconds)
[2013-09-01 01:56:05] govi, quitting. (Ping timeout: 250 seconds)
[2013-09-01 02:09:50] ojii, quitting. (Disconnected by services)
[2013-09-01 02:10:54] ojii|afk, joining. (#selenium)
[2013-09-01 02:46:03] mansi, joining. (#selenium)
[2013-09-01 02:50:55] mansi, quitting. (Ping timeout: 264 seconds)
[2013-09-01 03:46:35] mansi, joining. (#selenium)
[2013-09-01 03:51:06] mansi, quitting. (Ping timeout: 264 seconds)
[2013-09-01 04:27:40] barancev|2, joining. (#selenium)
[2013-09-01 04:31:40] barancev, quitting. (Ping timeout: 246 seconds)
[2013-09-01 04:32:01] barancev|2, quitting. (Ping timeout: 246 seconds)
[2013-09-01 04:47:12] mansi, joining. (#selenium)
[2013-09-01 04:51:37] mansi, quitting. (Ping timeout: 246 seconds)
[2013-09-01 05:21:57] mansi, joining. (#selenium)
[2013-09-01 05:57:58] mansi, quitting. (Remote host closed the connection)
[2013-09-01 05:58:33] mansi, joining. (#selenium)
[2013-09-01 06:01:23] jimpurbrick, joining. (#selenium)
[2013-09-01 06:02:35] coreyg, joining. (#selenium)
[2013-09-01 06:02:38] mansi, quitting. (Ping timeout: 245 seconds)
[2013-09-01 06:03:09] jimpurbrick, quitting. (Client Quit)
[2013-09-01 06:30:24] cheezy, joining. (#selenium)
[2013-09-01 06:41:45] mreedell-work, joining. (#selenium)
[2013-09-01 06:44:19] testingb0t, quitting. (Quit: Leaving.)
[2013-09-01 06:50:07] coreyg, quitting. (Quit: coreyg)
[2013-09-01 06:59:01] mansi, joining. (#selenium)
[2013-09-01 07:02:55] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-09-01 07:03:02] mansi, quitting. (Ping timeout: 240 seconds)
[2013-09-01 07:09:08] mansi, joining. (#selenium)
[2013-09-01 07:10:58] girija, joining. (#selenium)
[2013-09-01 07:13:52] mansi, quitting. (Ping timeout: 256 seconds)
[2013-09-01 07:14:10] mansi, joining. (#selenium)
[2013-09-01 07:17:50] mansi, quitting. (Remote host closed the connection)
[2013-09-01 07:18:26] mansi, joining. (#selenium)
[2013-09-01 07:21:16] girija, quitting. (Ping timeout: 245 seconds)
[2013-09-01 07:22:28] mansi, quitting. (Ping timeout: 246 seconds)
[2013-09-01 07:25:44] jimpurbrick, joining. (#selenium)
[2013-09-01 08:04:20] mansi, joining. (#selenium)
[2013-09-01 08:13:34] sr78ger, joining. (#selenium)
[2013-09-01 08:15:34] testingb0t, joining. (#selenium)
[2013-09-01 08:17:24] txwikinger2, changing nick to txwikinger.
[2013-09-01 08:21:03] coreyg, joining. (#selenium)
