[2013-10-12 00:15:42] schweens, quitting. (Quit: schweens)
[2013-10-12 00:25:50] plightbo_work, joining. (#selenium)
[2013-10-12 00:26:40] plightb__, joining. (#selenium)
[2013-10-12 00:26:40] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-10-12 00:31:02] plightb__, quitting. (Ping timeout: 240 seconds)
[2013-10-12 00:35:56] testingb0t, joining. (#selenium)
[2013-10-12 00:44:31] gates, joining. (#selenium)
[2013-10-12 00:45:09] barancev|2, joining. (#selenium)
[2013-10-12 00:45:09] barancev, quitting. (Read error: Connection reset by peer)
[2013-10-12 01:00:08] testingb0t, quitting. (Quit: Leaving.)
[2013-10-12 01:03:49] stackedsax, quitting. (Quit: Leaving.)
[2013-10-12 01:08:41] stepheneb__, joining. (#selenium)
[2013-10-12 01:10:31] stepheneb__, quitting. (Client Quit)
[2013-10-12 01:11:46] schweens, joining. (#selenium)
[2013-10-12 01:27:57] plightbo_work, joining. (#selenium)
[2013-10-12 01:32:09] mmm1, quitting. (Quit: Leaving.)
[2013-10-12 01:32:51] plightbo_work, quitting. (Ping timeout: 265 seconds)
[2013-10-12 02:04:03] merlinsbrain, joining. (#selenium)
[2013-10-12 02:06:54] toanant, joining. (#selenium)
[2013-10-12 02:07:00] toanant:  Hi. I'm having a problem maintaining sessions in a Django selenium script. Have checked SO and even one Django issue to no avail. Can someone point me to a link or something?
[2013-10-12 02:12:11] schweens, quitting. (Quit: schweens)
[2013-10-12 02:28:36] plightbo_work, joining. (#selenium)
[2013-10-12 02:28:58] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-10-12 02:29:21] plightbo_work, joining. (#selenium)
[2013-10-12 02:33:50] plightbo_work, quitting. (Ping timeout: 264 seconds)
[2013-10-12 02:46:30] SamuraiJack, quitting. (Quit: Konversation terminated!)
[2013-10-12 03:13:55] DrJenkins, joining. (#selenium)
[2013-10-12 03:22:25] testingb0t, joining. (#selenium)
[2013-10-12 03:29:56] plightbo_work, joining. (#selenium)
[2013-10-12 03:34:14] testingb0t, quitting. (Quit: Leaving.)
[2013-10-12 03:34:39] plightbo_work, quitting. (Ping timeout: 252 seconds)
[2013-10-12 03:49:23] Eravohn, joining. (#selenium)
[2013-10-12 04:13:47] DrJenkins, quitting. (Remote host closed the connection)
[2013-10-12 04:18:31] KaibutsuX, quitting. (Ping timeout: 245 seconds)
[2013-10-12 04:30:54] plightbo_work, joining. (#selenium)
[2013-10-12 04:31:42] plightb__, joining. (#selenium)
[2013-10-12 04:31:43] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-10-12 04:36:51] plightb__, quitting. (Ping timeout: 272 seconds)
[2013-10-12 04:39:39] toanant, quitting. (Quit: Leaving)
[2013-10-12 05:25:10] tobie, joining. (#selenium)
[2013-10-12 05:32:11] tobie, quitting. (Quit: tobie)
[2013-10-12 05:32:14] plightbo_work, joining. (#selenium)
[2013-10-12 05:32:20] SamuraiJack, joining. (#selenium)
[2013-10-12 05:36:31] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-10-12 05:48:31] SamuraiJack, quitting. (Ping timeout: 245 seconds)
[2013-10-12 06:04:11] priya3265, joining. (#selenium)
[2013-10-12 06:05:19] priya3265: hii
[2013-10-12 06:06:35] priya3265: any body can explain how to setup maven
[2013-10-12 06:11:56] priya3265: hii steve can give some hint how to set up maven for webdriver
[2013-10-12 06:17:09] priya3265, quitting. (Quit: Page closed)
[2013-10-12 06:22:31] merlinsbrain, quitting. (Quit: Page closed)
[2013-10-12 06:30:38] stackedsax1, joining. (#selenium)
[2013-10-12 06:32:50] plightbo_work, joining. (#selenium)
[2013-10-12 06:35:17] stackedsax1, quitting. (Ping timeout: 272 seconds)
[2013-10-12 06:35:56] PaulB010101, joining. (#selenium)
[2013-10-12 06:36:40] PaulB010101, quitting. (Remote host closed the connection)
[2013-10-12 06:37:14] PaulB010101, joining. (#selenium)
[2013-10-12 06:37:16] plightbo_work, quitting. (Ping timeout: 245 seconds)
[2013-10-12 06:41:26] PaulB010101, quitting. (Ping timeout: 240 seconds)
[2013-10-12 06:54:54] SamuraiJack, joining. (#selenium)
[2013-10-12 06:59:10] SamuraiJack_, joining. (#selenium)
[2013-10-12 07:01:02] SamuraiJack, quitting. (Ping timeout: 240 seconds)
[2013-10-12 07:04:20] foundatron, joining. (#selenium)
[2013-10-12 07:04:21] PaulB010101, joining. (#selenium)
[2013-10-12 07:04:24] PaulB010101, quitting. (Remote host closed the connection)
[2013-10-12 07:06:59] manoj9788, joining. (#selenium)
[2013-10-12 07:11:49] tobie, joining. (#selenium)
[2013-10-12 07:30:05] SamuraiJack_, quitting. (Quit: Konversation terminated!)
[2013-10-12 07:30:19] p0deje, joining. (#selenium)
[2013-10-12 07:33:27] plightbo_work, joining. (#selenium)
[2013-10-12 07:38:37] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-12 07:40:46] p0deje, quitting. (Read error: Connection reset by peer)
[2013-10-12 07:40:59] p0deje, joining. (#selenium)
[2013-10-12 07:45:51] md--, joining. (#selenium)
[2013-10-12 07:49:52] p0deje, quitting. (Quit: p0deje)
[2013-10-12 07:50:14] md--, quitting. (Ping timeout: 240 seconds)
[2013-10-12 07:56:03] nirvdrum, joining. (#selenium)
[2013-10-12 08:01:01] md--, joining. (#selenium)
[2013-10-12 08:19:02] airstream66, joining. (#selenium)
[2013-10-12 08:23:47] md--, quitting. (Remote host closed the connection)
[2013-10-12 08:24:19] md--, joining. (#selenium)
[2013-10-12 08:28:31] md--, quitting. (Ping timeout: 245 seconds)
[2013-10-12 08:34:04] plightbo_work, joining. (#selenium)
[2013-10-12 08:39:03] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-12 08:41:32] schweens, joining. (#selenium)
[2013-10-12 08:44:14] smccarthy, joining. (#selenium)
[2013-10-12 08:45:07] schweens, quitting. (Client Quit)
[2013-10-12 08:48:03] plightbo_work, joining. (#selenium)
[2013-10-12 08:48:55] airstream66, quitting. ()
[2013-10-12 08:49:20] airstream66, joining. (#selenium)
[2013-10-12 08:59:01] riotz, quitting. (Remote host closed the connection)
[2013-10-12 09:00:12] plightbo_work, quitting. (Remote host closed the connection)
[2013-10-12 09:00:30] riotz, joining. (#selenium)
[2013-10-12 09:00:45] plightbo_work, joining. (#selenium)
[2013-10-12 09:03:31] md--, joining. (#selenium)
[2013-10-12 09:03:32] schweens, joining. (#selenium)
[2013-10-12 09:05:02] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 09:08:33] md--, quitting. (Ping timeout: 272 seconds)
[2013-10-12 09:11:39] jayzalowitz, joining. (#selenium)
[2013-10-12 09:17:44] smccarthy, quitting. (Remote host closed the connection)
[2013-10-12 09:19:14] airstream66, quitting. ()
[2013-10-12 09:31:19] plightbo_work, joining. (#selenium)
[2013-10-12 09:35:12] Dude-X, quitting. (Quit: Dude-X)
[2013-10-12 09:39:26] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 09:41:55] manoj9788, quitting. (Quit: manoj9788)
[2013-10-12 09:42:11] farlan, joining. (#selenium)
[2013-10-12 09:43:02] plightbo_work, joining. (#selenium)
[2013-10-12 09:55:28] plightbo_work, quitting. (Remote host closed the connection)
[2013-10-12 09:56:00] plightbo_work, joining. (#selenium)
[2013-10-12 10:00:14] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 10:05:21] manoj9788, joining. (#selenium)
[2013-10-12 10:06:41] stepheneb__, joining. (#selenium)
[2013-10-12 10:15:09] testingb0t, joining. (#selenium)
[2013-10-12 10:17:53] manoj9788, quitting. (Quit: manoj9788)
[2013-10-12 10:29:25] stephend, joining. (#selenium)
[2013-10-12 10:55:26] jayzalowitz, quitting. (Read error: Connection reset by peer)
[2013-10-12 10:55:28] jayzalowitz_, joining. (#selenium)
[2013-10-12 10:56:31] plightbo_work, joining. (#selenium)
[2013-10-12 10:56:41] stephend, quitting. (Remote host closed the connection)
[2013-10-12 10:57:23] tobie, quitting. (Quit: tobie)
[2013-10-12 11:01:26] plightbo_work, quitting. (Ping timeout: 264 seconds)
[2013-10-12 11:04:59] foundatron, quitting. (Quit: Computer has gone to sleep.)
[2013-10-12 11:12:37] testingb0t, quitting. (Quit: Leaving.)
[2013-10-12 11:32:38] bpayton, joining. (#selenium)
[2013-10-12 11:32:38] bpayton, quitting. (Changing host)
[2013-10-12 11:32:38] bpayton, joining. (#selenium)
[2013-10-12 11:35:36] Garrick, quitting. (Quit: Leaving)
[2013-10-12 11:37:36] stepheneb__, quitting. (Quit: stepheneb__)
[2013-10-12 11:37:40] Garrick, joining. (#selenium)
[2013-10-12 11:45:48] bpayton, quitting. (Ping timeout: 252 seconds)
[2013-10-12 11:57:07] plightbo_work, joining. (#selenium)
[2013-10-12 11:57:40] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-10-12 11:57:56] plightbo_work, joining. (#selenium)
[2013-10-12 12:02:14] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 12:19:03] stephend, joining. (#selenium)
[2013-10-12 12:23:26] jlipps, joining. (#selenium)
[2013-10-12 12:31:34] schweens, quitting. (Quit: schweens)
[2013-10-12 12:45:44] barancev, joining. (#selenium)
[2013-10-12 12:48:45] barancev|2, quitting. (Ping timeout: 245 seconds)
[2013-10-12 12:53:22] jlipps, quitting. (Quit: Leaving.)
[2013-10-12 12:58:28] plightbo_work, joining. (#selenium)
[2013-10-12 13:02:38] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 13:05:50] testingb0t, joining. (#selenium)
[2013-10-12 13:12:23] foundatron, joining. (#selenium)
[2013-10-12 13:12:36] schweens, joining. (#selenium)
[2013-10-12 13:23:13] testingb0t, quitting. (Quit: Leaving.)
[2013-10-12 13:37:55] admc, joining. (#selenium)
[2013-10-12 13:43:20] schweens, quitting. (Quit: schweens)
[2013-10-12 13:59:04] plightbo_work, joining. (#selenium)
[2013-10-12 14:03:19] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-10-12 14:13:57] foundatron, quitting. (Quit: Computer has gone to sleep.)
[2013-10-12 14:14:11] admc, quitting. (Quit: Leaving.)
[2013-10-12 14:17:39] admc, joining. (#selenium)
[2013-10-12 14:26:26] md--, joining. (#selenium)
[2013-10-12 14:26:58] md--, quitting. (Remote host closed the connection)
[2013-10-12 14:27:31] md--, joining. (#selenium)
[2013-10-12 14:31:28] md--, quitting. (Ping timeout: 240 seconds)
[2013-10-12 14:35:21] admc, quitting. (Quit: Leaving.)
[2013-10-12 14:55:37] noahsussman, joining. (#selenium)
[2013-10-12 14:55:53] superman-43, joining. (#selenium)
[2013-10-12 14:56:08] superman-43, leaving. (#selenium)
[2013-10-12 14:58:11] foundatron, joining. (#selenium)
[2013-10-12 14:59:40] plightbo_work, joining. (#selenium)
[2013-10-12 15:01:44] noahsussman, quitting. (Remote host closed the connection)
[2013-10-12 15:02:11] noahsussman, joining. (#selenium)
[2013-10-12 15:03:50] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-12 15:05:12] noahsussman, quitting. (Read error: Operation timed out)
[2013-10-12 15:15:19] jlipps, joining. (#selenium)
[2013-10-12 15:29:37] Eravohn, leaving. (#selenium)
[2013-10-12 15:43:02] smccarthy, joining. (#selenium)
[2013-10-12 15:55:50] jayzalowitz_, quitting. (Ping timeout: 240 seconds)
[2013-10-12 15:59:29] jlipps, quitting. (Quit: Leaving.)
[2013-10-12 16:00:48] plightbo_work, joining. (#selenium)
