[2013-10-13 00:06:36] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-10-13 00:12:53] plightbo_work, joining. (#selenium)
[2013-10-13 00:17:13] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-10-13 00:41:56] jayzalowitz, joining. (#selenium)
[2013-10-13 00:43:51] testingb0t, joining. (#selenium)
[2013-10-13 00:45:21] barancev|2, joining. (#selenium)
[2013-10-13 00:45:21] barancev, quitting. (Read error: Connection reset by peer)
[2013-10-13 00:52:48] schweens, quitting. (Quit: schweens)
[2013-10-13 00:54:22] schweens, joining. (#selenium)
[2013-10-13 00:56:18] phasze1, joining. (#selenium)
[2013-10-13 00:57:14] phasze, quitting. (Ping timeout: 264 seconds)
[2013-10-13 01:00:44] testingb0t, quitting. (Quit: Leaving.)
[2013-10-13 01:01:38] schweens, quitting. (Quit: schweens)
[2013-10-13 01:02:14] stackedsax, joining. (#selenium)
[2013-10-13 01:13:34] plightbo_work, joining. (#selenium)
[2013-10-13 01:18:27] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-13 01:26:25] jayzalowitz, quitting. (Ping timeout: 272 seconds)
[2013-10-13 01:46:00] testingb0t, joining. (#selenium)
[2013-10-13 01:51:29] barancev, joining. (#selenium)
[2013-10-13 01:52:30] barancev|2, quitting. (Ping timeout: 245 seconds)
[2013-10-13 02:04:58] testingb0t, quitting. (Quit: Leaving.)
[2013-10-13 02:14:09] plightbo_work, joining. (#selenium)
[2013-10-13 02:17:35] jayzalowitz, joining. (#selenium)
[2013-10-13 02:18:39] plightbo_work, quitting. (Ping timeout: 265 seconds)
[2013-10-13 02:27:55] Automate_, joining. (#selenium)
[2013-10-13 02:28:05] Automate_, changing nick to AutomatedTester_.
[2013-10-13 02:29:26] SamuraiJack_, joining. (#selenium)
[2013-10-13 02:29:40] SamuraiJack_, quitting. (Client Quit)
[2013-10-13 02:36:38] jayzalowitz, quitting. (Ping timeout: 240 seconds)
[2013-10-13 02:59:45] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-10-13 03:14:45] plightbo_work, joining. (#selenium)
[2013-10-13 03:16:02] AutomatedTester_, joining. (#selenium)
[2013-10-13 03:21:01] stan, quitting. (Ping timeout: 245 seconds)
[2013-10-13 03:22:48] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-10-13 03:50:35] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-10-13 04:03:22] SamuraiJack_, joining. (#selenium)
[2013-10-13 04:20:03] plightbo_work, joining. (#selenium)
[2013-10-13 04:25:01] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-13 04:41:26] cybrNaut, quitting. (Ping timeout: 240 seconds)
[2013-10-13 04:44:19] cybrNaut, joining. (#selenium)
[2013-10-13 04:47:37] AutomatedTester_, joining. (#selenium)
[2013-10-13 04:51:58] AutomatedTester_, quitting. (Ping timeout: 256 seconds)
[2013-10-13 05:19:49] cybrNaut, quitting. (Changing host)
[2013-10-13 05:19:49] cybrNaut, joining. (#selenium)
[2013-10-13 05:20:41] plightbo_work, joining. (#selenium)
[2013-10-13 05:21:26] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-10-13 05:21:27] plightb__, joining. (#selenium)
