[2013-10-20 00:02:42] admc, joining. (#selenium)
[2013-10-20 00:07:45] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 00:13:01] DrJenkins, joining. (#selenium)
[2013-10-20 00:17:12] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 00:33:25] admc, joining. (#selenium)
[2013-10-20 00:38:25] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 00:41:15] jimpurbrick, joining. (#selenium)
[2013-10-20 00:45:19] DrJenkins, joining. (#selenium)
[2013-10-20 00:48:43] jimpurbrick, quitting. (Ping timeout: 248 seconds)
[2013-10-20 00:50:05] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 00:55:43] SamuraiJack, quitting. (Quit: Konversation terminated!)
[2013-10-20 01:04:06] admc, joining. (#selenium)
[2013-10-20 01:08:49] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 01:17:34] DrJenkins, joining. (#selenium)
[2013-10-20 01:21:56] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 01:32:43] tobie, joining. (#selenium)
[2013-10-20 01:46:27] jimpurbrick, joining. (#selenium)
[2013-10-20 01:49:50] DrJenkins, joining. (#selenium)
[2013-10-20 01:53:09] kp_, quitting. (Ping timeout: 250 seconds)
[2013-10-20 01:54:28] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-10-20 01:55:25] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-10-20 02:05:35] admc, joining. (#selenium)
[2013-10-20 02:09:48] admc, quitting. (Ping timeout: 240 seconds)
[2013-10-20 02:15:04] eaj, quitting. (Remote host closed the connection)
[2013-10-20 02:22:13] DrJenkins, joining. (#selenium)
[2013-10-20 02:27:21] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 02:36:17] admc, joining. (#selenium)
[2013-10-20 02:46:05] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 02:51:34] jimpurbrick, joining. (#selenium)
[2013-10-20 02:54:29] DrJenkins, joining. (#selenium)
[2013-10-20 02:58:48] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 03:01:41] jimpurbrick, quitting. (Ping timeout: 248 seconds)
[2013-10-20 03:10:41] tobie, quitting. (Quit: tobie)
[2013-10-20 03:11:55] admc, joining. (#selenium)
[2013-10-20 03:15:36] eaj, joining. (#selenium)
[2013-10-20 03:16:05] admc, quitting. (Ping timeout: 248 seconds)
[2013-10-20 03:20:55] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 03:25:42] eaj, joining. (#selenium)
[2013-10-20 03:26:50] DrJenkin_, joining. (#selenium)
[2013-10-20 03:31:08] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-10-20 03:31:19] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 03:42:39] admc, joining. (#selenium)
[2013-10-20 03:46:51] admc, quitting. (Ping timeout: 248 seconds)
[2013-10-20 03:51:38] operatiay, joining. (#selenium)
[2013-10-20 03:55:55] operatiay, quitting. (Ping timeout: 248 seconds)
[2013-10-20 03:58:42] jimpurbrick, joining. (#selenium)
[2013-10-20 03:59:20] DrJenkins, joining. (#selenium)
[2013-10-20 04:03:55] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-10-20 04:07:49] jimpurbrick, quitting. (Ping timeout: 248 seconds)
[2013-10-20 04:13:04] admc, joining. (#selenium)
[2013-10-20 04:17:16] admc, quitting. (Ping timeout: 256 seconds)
[2013-10-20 04:20:44] Jamesons, joining. (#selenium)
[2013-10-20 04:31:34] DrJenkins, joining. (#selenium)
[2013-10-20 04:35:54] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 04:43:45] admc, joining. (#selenium)
[2013-10-20 04:47:11] SamuraiJack, joining. (#selenium)
[2013-10-20 04:47:52] admc, quitting. (Ping timeout: 240 seconds)
[2013-10-20 04:49:59] monokrome, quitting. (Quit: MOVING SERVERS)
[2013-10-20 05:02:33] SamuraiJack, quitting. (Ping timeout: 240 seconds)
[2013-10-20 05:03:53] jimpurbrick, joining. (#selenium)
[2013-10-20 05:04:02] DrJenkins, joining. (#selenium)
[2013-10-20 05:08:16] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 05:11:15] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-10-20 05:14:27] admc, joining. (#selenium)
[2013-10-20 05:18:45] admc, quitting. (Ping timeout: 248 seconds)
[2013-10-20 05:21:31] monokrome, joining. (#selenium)
[2013-10-20 05:25:07] monokrome, quitting. (Client Quit)
[2013-10-20 05:25:49] eaj, joining. (#selenium)
[2013-10-20 05:27:38] monokrome, joining. (#selenium)
[2013-10-20 05:28:22] monokrome, quitting. (Client Quit)
[2013-10-20 05:28:38] monokrome, joining. (#selenium)
[2013-10-20 05:31:01] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 05:31:13] jimpurbrick, joining. (#selenium)
[2013-10-20 05:36:20] DrJenkins, joining. (#selenium)
[2013-10-20 05:42:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 05:42:50] eaj, joining. (#selenium)
[2013-10-20 05:45:09] admc, joining. (#selenium)
[2013-10-20 05:49:38] admc, quitting. (Ping timeout: 256 seconds)
[2013-10-20 06:08:50] DrJenkins, joining. (#selenium)
[2013-10-20 06:12:55] DrJenkins, quitting. (Ping timeout: 241 seconds)
[2013-10-20 06:15:52] admc, joining. (#selenium)
[2013-10-20 06:20:14] admc, quitting. (Ping timeout: 256 seconds)
[2013-10-20 06:41:07] DrJenkins, joining. (#selenium)
[2013-10-20 06:45:20] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 06:46:37] admc, joining. (#selenium)
[2013-10-20 06:50:50] admc, quitting. (Ping timeout: 245 seconds)
[2013-10-20 07:12:50] smccarthy, joining. (#selenium)
[2013-10-20 07:13:25] DrJenkins, joining. (#selenium)
[2013-10-20 07:17:19] admc, joining. (#selenium)
[2013-10-20 07:18:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 07:22:13] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 07:39:34] noahsussman, quitting. (Remote host closed the connection)
[2013-10-20 07:39:40] noahsussman, joining. (#selenium)
[2013-10-20 07:44:56] noahsussman, quitting. (Remote host closed the connection)
[2013-10-20 07:45:22] noahsussman, joining. (#selenium)
[2013-10-20 07:45:41] DrJenkin_, joining. (#selenium)
[2013-10-20 07:48:02] admc, joining. (#selenium)
