[2013-11-09 00:04:16] stackedsax1, quitting. (Quit: Leaving.)
[2013-11-09 00:15:30] Automate_, quitting. (Ping timeout: 265 seconds)
[2013-11-09 00:28:39] Automate_, joining. (#selenium)
[2013-11-09 00:37:49] simonstewart, joining. (#selenium)
[2013-11-09 00:46:18] simonste_, joining. (#selenium)
[2013-11-09 00:46:19] simonstewart, quitting. (Read error: Connection reset by peer)
[2013-11-09 00:54:08] Ardesco, joining. (#selenium)
[2013-11-09 01:11:02] simonste_, quitting. (Ping timeout: 264 seconds)
[2013-11-09 01:14:02] Automate_, quitting. (Ping timeout: 240 seconds)
[2013-11-09 01:14:54] simonstewart, joining. (#selenium)
[2013-11-09 01:15:23] hum_ph, quitting. (Remote host closed the connection)
[2013-11-09 01:15:39] AutomatedTester_, joining. (#selenium)
[2013-11-09 01:15:57] hum_ph, joining. (#selenium)
[2013-11-09 01:20:02] hum_ph, quitting. (Ping timeout: 240 seconds)
[2013-11-09 01:23:06] AutomatedTester_, quitting. (Ping timeout: 245 seconds)
[2013-11-09 01:23:09] simonstewart: Are any of our Indian contingent here?
[2013-11-09 01:24:55] simonste_, joining. (#selenium)
[2013-11-09 01:24:55] simonstewart, quitting. (Read error: Connection reset by peer)
[2013-11-09 01:27:56] hum_ph, joining. (#selenium)
[2013-11-09 01:28:35] markboxall, joining. (#selenium)
[2013-11-09 01:33:28] markboxall, quitting. (Ping timeout: 264 seconds)
[2013-11-09 01:37:10] Shellcat, quitting. (Quit: Later peeps)
[2013-11-09 01:45:24] stephend, quitting. (Quit: Leaving...)
[2013-11-09 01:55:56] AutomatedTester_, joining. (#selenium)
[2013-11-09 01:59:27] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-09 02:00:01] AutomatedTester_, joining. (#selenium)
[2013-11-09 02:04:10] AutomatedTester_, quitting. (Ping timeout: 244 seconds)
[2013-11-09 02:40:05] AutomatedTester_, joining. (#selenium)
[2013-11-09 02:40:08] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-09 03:06:04] simonste_, leaving. (#selenium)
[2013-11-09 03:17:32] markboxall, joining. (#selenium)
[2013-11-09 03:21:54] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-09 04:00:03] jimpurbrick, joining. (#selenium)
