[2013-11-10 00:07:55] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-10 00:13:18] albioner, quitting. (Quit: Laptop went to sleep. ZZZzzz…)
[2013-11-10 00:48:30] hum_ph, joining. (#selenium)
[2013-11-10 00:53:17] hum_ph, quitting. (Ping timeout: 272 seconds)
[2013-11-10 01:04:01] markboxall, joining. (#selenium)
[2013-11-10 01:08:30] markboxall, quitting. (Ping timeout: 265 seconds)
[2013-11-10 01:11:39] stephend, quitting. (Quit: Leaving...)
[2013-11-10 01:19:46] AutomatedTester_, joining. (#selenium)
[2013-11-10 01:21:01] mboman, changing nick to mboman|AFK.
[2013-11-10 01:24:27] AutomatedTester_, quitting. (Ping timeout: 265 seconds)
[2013-11-10 01:42:40] hum_ph, joining. (#selenium)
[2013-11-10 01:47:07] hum_ph, quitting. (Ping timeout: 252 seconds)
[2013-11-10 02:05:10] admc, quitting. (Quit: Leaving.)
[2013-11-10 02:10:30] hum_ph, joining. (#selenium)
[2013-11-10 02:18:08] admc, joining. (#selenium)
[2013-11-10 02:52:29] admc, quitting. (Quit: Leaving.)
[2013-11-10 02:52:58] markboxall, joining. (#selenium)
[2013-11-10 02:57:36] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 03:32:19] AutomatedTester_, joining. (#selenium)
[2013-11-10 03:39:49] Ardesco, leaving. (#selenium)
[2013-11-10 03:40:21] Ardesco, joining. (#selenium)
[2013-11-10 03:40:31] Ardesco, quitting. (Client Quit)
[2013-11-10 03:45:37] albioner, joining. (#selenium)
[2013-11-10 04:28:17] ddary, joining. (#selenium)
[2013-11-10 04:28:30] ddary: :log
[2013-11-10 04:28:30] selbot2: https://raw.github.com/SeleniumHQ/irc-logs/master/2013/11/10.txt
[2013-11-10 04:41:51] markboxall, joining. (#selenium)
[2013-11-10 04:46:30] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 04:46:40] ddary, quitting. (Quit: ddary)
[2013-11-10 04:51:55] lord1234, joining. (#selenium)
[2013-11-10 05:34:30] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-10 06:09:17] noahsussman, joining. (#selenium)
[2013-11-10 06:10:18] albioner, quitting. (Quit: Laptop went to sleep. ZZZzzz…)
[2013-11-10 06:15:18] richdownie, joining. (#selenium)
[2013-11-10 06:17:05] sbos99, quitting. (Ping timeout: 245 seconds)
[2013-11-10 06:25:18] paulschreiber, joining. (#selenium)
[2013-11-10 06:27:19] richdownie, quitting. (Quit: richdownie)
[2013-11-10 06:30:40] markboxall, joining. (#selenium)
[2013-11-10 06:35:38] markboxall, quitting. (Ping timeout: 264 seconds)
[2013-11-10 06:39:31] noahsussman, quitting. (Remote host closed the connection)
[2013-11-10 06:39:58] noahsussman, joining. (#selenium)
[2013-11-10 06:44:52] noahsussman, quitting. (Ping timeout: 264 seconds)
