[2013-11-16 00:00:37] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-11-16 00:00:51] DrJenkins, joining. (#selenium)
[2013-11-16 00:05:38] DrJenkin_, joining. (#selenium)
[2013-11-16 00:05:43] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-11-16 00:10:16] DrJenkins, joining. (#selenium)
[2013-11-16 00:10:21] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-11-16 00:14:43] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-11-16 00:14:55] DrJenkins, joining. (#selenium)
[2013-11-16 00:18:49] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-11-16 00:19:16] DrJenkins, joining. (#selenium)
[2013-11-16 00:20:09] noahsussman, joining. (#selenium)
[2013-11-16 00:28:21] noahsussman, quitting. (Ping timeout: 248 seconds)
[2013-11-16 00:41:05] DrJenkins, quitting. (Remote host closed the connection)
[2013-11-16 00:43:03] albioner, quitting. (Quit: Laptop went to sleep. ZZZzzz…)
[2013-11-16 00:46:26] DrJenkins, joining. (#selenium)
[2013-11-16 00:48:51] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-11-16 00:48:58] DrJenkins, joining. (#selenium)
[2013-11-16 00:58:09] mfeltner, joining. (#selenium)
[2013-11-16 00:58:30] stackedsax1, joining. (#selenium)
[2013-11-16 01:02:38] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 01:19:55] stackedsax1, quitting. (Quit: Leaving.)
[2013-11-16 01:21:38] AdamDangoor, joining. (#selenium)
[2013-11-16 01:25:28] noahsussman, joining. (#selenium)
[2013-11-16 01:30:41] DrJenkins, quitting. (Remote host closed the connection)
[2013-11-16 01:31:07] markboxall, joining. (#selenium)
[2013-11-16 01:31:44] mfeltner, joining. (#selenium)
[2013-11-16 01:33:59] DrJenkins, joining. (#selenium)
[2013-11-16 01:34:43] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-16 01:34:43] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-11-16 01:35:11] DrJenkins, joining. (#selenium)
[2013-11-16 01:35:36] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 01:35:50] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 01:56:32] eaj, joining. (#selenium)
[2013-11-16 02:08:31] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-11-16 02:09:38] mfeltner, joining. (#selenium)
[2013-11-16 02:14:14] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 02:26:16] admc, joining. (#selenium)
[2013-11-16 02:29:56] p0deje, joining. (#selenium)
[2013-11-16 02:30:47] noahsussman, joining. (#selenium)
[2013-11-16 02:39:55] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-11-16 02:48:28] SamuraiJack, joining. (#selenium)
[2013-11-16 03:10:31] mfeltner, joining. (#selenium)
