[2013-11-24 00:10:30] jimpurbrick, joining. (#selenium)
[2013-11-24 00:19:18] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 00:34:42] AdamDangoor, joining. (#selenium)
[2013-11-24 01:11:00] jimpurbrick, joining. (#selenium)
[2013-11-24 01:15:25] markboxall, joining. (#selenium)
[2013-11-24 01:19:57] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 01:31:48] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 02:11:31] jimpurbrick, joining. (#selenium)
[2013-11-24 02:15:53] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-24 02:17:50] mboman|AFK, joining. (#selenium)
[2013-11-24 02:18:25] hum_ph, quitting. (Read error: Connection reset by peer)
[2013-11-24 02:21:26] jimpurbrick, quitting. (Ping timeout: 265 seconds)
[2013-11-24 02:30:54] mboman|AFK, quitting. (Ping timeout: 246 seconds)
[2013-11-24 02:31:12] mboman|AFK, joining. (#selenium)
[2013-11-24 02:50:09] mboman|AFK, quitting. (Ping timeout: 246 seconds)
[2013-11-24 02:53:50] mboman|AFK, joining. (#selenium)
[2013-11-24 03:04:19] markboxall, joining. (#selenium)
[2013-11-24 03:08:51] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 03:12:03] jimpurbrick, joining. (#selenium)
[2013-11-24 03:20:49] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-11-24 03:48:43] ato: :seen santiycr
[2013-11-24 03:48:43] selbot2: santiycr was last seen 1 day ago, quitting.
[2013-11-24 04:12:33] jimpurbrick, joining. (#selenium)
[2013-11-24 04:21:28] jimpurbrick, quitting. (Ping timeout: 264 seconds)
[2013-11-24 04:24:14] AdamDangoor, quitting. (Quit: Leaving...)
[2013-11-24 04:29:08] SamuraiJack_, joining. (#selenium)
[2013-11-24 04:32:58] SamuraiJack, quitting. (Ping timeout: 272 seconds)
[2013-11-24 04:40:23] SamuraiJack__, joining. (#selenium)
[2013-11-24 04:40:50] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 04:41:08] mboman|AFK, joining. (#selenium)
[2013-11-24 04:44:43] SamuraiJack_, quitting. (Ping timeout: 272 seconds)
[2013-11-24 04:48:09] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-24 04:50:41] mboman|AFK, joining. (#selenium)
[2013-11-24 04:53:12] markboxall, joining. (#selenium)
[2013-11-24 04:53:23] gittish, joining. (#selenium)
[2013-11-24 04:57:45] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 05:13:04] jimpurbrick, joining. (#selenium)
[2013-11-24 05:17:24] richdownie, joining. (#selenium)
[2013-11-24 05:17:45] richdownie, leaving. (#selenium)
[2013-11-24 05:29:10] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 05:30:10] mboman|AFK, joining. (#selenium)
[2013-11-24 05:35:15] jimpurbrick, quitting. (Ping timeout: 252 seconds)
[2013-11-24 05:40:20] arex\, joining. (#selenium)
