[2013-12-07 00:06:54] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 00:18:14] kedoodek, quitting. (Ping timeout: 264 seconds)
[2013-12-07 00:21:55] kedoodek, joining. (#selenium)
[2013-12-07 00:33:57] noahsussman, joining. (#selenium)
[2013-12-07 00:34:25] kedoodek, quitting. (Ping timeout: 245 seconds)
[2013-12-07 00:38:53] kedoodek, joining. (#selenium)
[2013-12-07 00:42:03] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 00:44:44] andy_seit, joining. (#selenium)
[2013-12-07 01:01:55] mrchilds, joining. (#selenium)
[2013-12-07 01:08:13] DarkRift2, joining. (#selenium)
[2013-12-07 01:09:14] noahsussman, joining. (#selenium)
[2013-12-07 01:12:29] DarkRift2, quitting. (Ping timeout: 246 seconds)
[2013-12-07 01:17:35] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 01:18:53] jab416171, joining. (#selenium)
[2013-12-07 01:25:34] millenium, joining. (#selenium)
[2013-12-07 01:39:19] markboxall, joining. (#selenium)
[2013-12-07 01:43:57] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 01:44:35] noahsussman, joining. (#selenium)
[2013-12-07 01:52:51] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 02:20:21] noahsussman, joining. (#selenium)
[2013-12-07 02:28:33] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 02:29:42] nikiforo, joining. (#selenium)
[2013-12-07 02:41:50] kedoodek, quitting. (Ping timeout: 240 seconds)
[2013-12-07 02:44:56] kedoodek, joining. (#selenium)
[2013-12-07 02:55:40] noahsussman, joining. (#selenium)
[2013-12-07 03:03:57] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 03:21:31] millenium, quitting. (Ping timeout: 250 seconds)
[2013-12-07 03:28:11] markboxall, joining. (#selenium)
[2013-12-07 03:30:57] noahsussman, joining. (#selenium)
[2013-12-07 03:32:51] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 03:39:18] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 03:59:05] SamuraiJack_, quitting. (Ping timeout: 246 seconds)
[2013-12-07 04:06:18] noahsussman, joining. (#selenium)
[2013-12-07 04:14:39] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 04:20:47] mika, quitting. (Ping timeout: 246 seconds)
[2013-12-07 04:21:44] mika, joining. (#selenium)
[2013-12-07 04:34:33] AdamDangoor, joining. (#selenium)
[2013-12-07 04:36:48] stan, joining. (#selenium)
[2013-12-07 04:41:36] noahsussman, joining. (#selenium)
[2013-12-07 04:49:55] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 05:16:54] noahsussman, joining. (#selenium)
[2013-12-07 05:17:04] markboxall, joining. (#selenium)
[2013-12-07 05:21:45] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 05:25:09] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 05:29:15] chisler, joining. (#selenium)
[2013-12-07 05:35:56] AdamDangoor, quitting. (Quit: Leaving...)
[2013-12-07 05:36:14] elopio, quitting. (Ping timeout: 240 seconds)
[2013-12-07 05:37:21] elopio, joining. (#selenium)
[2013-12-07 05:52:01] stan_, joining. (#selenium)
[2013-12-07 05:52:16] noahsussman, joining. (#selenium)
[2013-12-07 05:55:40] stan, quitting. (Ping timeout: 260 seconds)
[2013-12-07 06:00:21] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 06:04:16] zeljkof, joining. (#selenium)
[2013-12-07 06:07:42] ertac, quitting. (Ping timeout: 252 seconds)
[2013-12-07 06:09:03] AdamDangoor, joining. (#selenium)
[2013-12-07 06:09:53] nikiforo, quitting. (Ping timeout: 252 seconds)
[2013-12-07 06:14:02] janmalte, joining. (#selenium)
[2013-12-07 06:14:54] SamuraiJack_, joining. (#selenium)
[2013-12-07 06:22:33] ertac, joining. (#selenium)
[2013-12-07 06:27:33] noahsussman, joining. (#selenium)
[2013-12-07 06:32:31] AdamDangoor, quitting. (Quit: Leaving...)
[2013-12-07 06:35:39] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 06:36:39] ertac, quitting. (Ping timeout: 252 seconds)
[2013-12-07 06:46:33] stan_, quitting. (Ping timeout: 246 seconds)
[2013-12-07 06:56:26] ertac, joining. (#selenium)
[2013-12-07 07:02:52] noahsussman, joining. (#selenium)
[2013-12-07 07:02:58] mreedell-work, joining. (#selenium)
[2013-12-07 07:05:57] markboxall, joining. (#selenium)
[2013-12-07 07:10:38] AdamDangoor, joining. (#selenium)
[2013-12-07 07:10:39] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 07:11:02] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-12-07 07:17:23] chisler, quitting. (Quit: ...zzzZZZ)
[2013-12-07 07:23:31] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-12-07 07:27:10] zeljkof, quitting. (Ping timeout: 241 seconds)
[2013-12-07 07:34:31] zeljkof, joining. (#selenium)
[2013-12-07 07:38:12] noahsussman, joining. (#selenium)
[2013-12-07 07:38:42] zeljkof, quitting. (Ping timeout: 246 seconds)
[2013-12-07 07:42:15] SamuraiJack_, quitting. (*.net *.split)
[2013-12-07 07:42:15] mika, quitting. (*.net *.split)
[2013-12-07 07:42:15] nirvdrum, quitting. (*.net *.split)
[2013-12-07 07:42:15] DarkRift, quitting. (*.net *.split)
[2013-12-07 07:42:15] opapo, quitting. (*.net *.split)
[2013-12-07 07:42:15] Mkop, quitting. (*.net *.split)
[2013-12-07 07:42:15] jrgill, quitting. (*.net *.split)
[2013-12-07 07:42:15] Demego, quitting. (*.net *.split)
[2013-12-07 07:42:15] Eleccy_, quitting. (*.net *.split)
[2013-12-07 07:42:15] cteef, quitting. (*.net *.split)
[2013-12-07 07:46:14] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 07:54:06] zeljkof, joining. (#selenium)
[2013-12-07 08:00:01] mrchilds, quitting. (Remote host closed the connection)
[2013-12-07 08:08:16] SamuraiJack_, joining. (#selenium)
[2013-12-07 08:08:16] mika, joining. (#selenium)
[2013-12-07 08:08:16] nirvdrum, joining. (#selenium)
[2013-12-07 08:08:16] DarkRift, joining. (#selenium)
[2013-12-07 08:08:16] opapo, joining. (#selenium)
[2013-12-07 08:08:16] Mkop, joining. (#selenium)
[2013-12-07 08:08:16] jrgill, joining. (#selenium)
[2013-12-07 08:08:16] Demego, joining. (#selenium)
[2013-12-07 08:08:16] Eleccy_, joining. (#selenium)
[2013-12-07 08:08:16] cteef, joining. (#selenium)
[2013-12-07 08:11:05] stephend, quitting. (Ping timeout: 245 seconds)
[2013-12-07 08:12:24] stephend, joining. (#selenium)
[2013-12-07 08:21:06] ato: Is it possible to Cc someone on a PR on Github?
[2013-12-07 08:21:12] *ato must seem like a noob'
[2013-12-07 08:37:29] dimacus, joining. (#selenium)
[2013-12-07 08:43:33] noahsussman, joining. (#selenium)
[2013-12-07 08:51:45] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 08:54:31] smccarthy, joining. (#selenium)
[2013-12-07 08:54:46] markboxall, joining. (#selenium)
[2013-12-07 08:59:05] markboxall, quitting. (Ping timeout: 250 seconds)
[2013-12-07 09:03:05] michael_lee, quitting. (Quit: Ex-Chat)
[2013-12-07 09:07:52] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 09:18:33] noahsussman, joining. (#selenium)
[2013-12-07 09:26:49] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 09:35:54] SamuraiJack_, quitting. (Read error: Operation timed out)
[2013-12-07 09:36:33] SamuraiJack_, joining. (#selenium)
[2013-12-07 09:47:09] SamuraiJack_, quitting. (Ping timeout: 246 seconds)
[2013-12-07 09:53:52] noahsussman, joining. (#selenium)
[2013-12-07 10:00:53] mrchilds, joining. (#selenium)
[2013-12-07 10:02:12] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 10:05:17] mrchilds, quitting. (Ping timeout: 252 seconds)
[2013-12-07 10:06:41] Zeukkari: umm
[2013-12-07 10:07:19] Zeukkari: i have a stupid question
[2013-12-07 10:08:42] Zeukkari: Why is there no documentation on writing user extensions for webdriver?
[2013-12-07 10:09:31] Zeukkari: is it because the webdriver can execute custom javascript and therefore the extension is unnecessary?
[2013-12-07 10:12:02] dimacus, joining. (#selenium)
[2013-12-07 10:13:15] janmalte, quitting. (Ping timeout: 260 seconds)
[2013-12-07 10:14:48] zeljkof, quitting. (Ping timeout: 246 seconds)
[2013-12-07 10:17:05] dimacus, quitting. (Ping timeout: 250 seconds)
[2013-12-07 10:17:06] barancev: Zeukkari: what kind of extension do you want to implement?
[2013-12-07 10:24:32] AdamDangoor, quitting. (Read error: Connection reset by peer)
[2013-12-07 10:29:11] noahsussman, joining. (#selenium)
[2013-12-07 10:35:41] mreedell-work, joining. (#selenium)
[2013-12-07 10:37:32] noahsussman, quitting. (Ping timeout: 257 seconds)
[2013-12-07 10:43:42] markboxall, joining. (#selenium)
[2013-12-07 10:44:35] AdamDangoor, joining. (#selenium)
[2013-12-07 10:48:27] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 10:54:38] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-12-07 10:57:00] chisler, joining. (#selenium)
[2013-12-07 11:01:02] kedoodek, quitting. (Ping timeout: 240 seconds)
[2013-12-07 11:01:58] chisler_, joining. (#selenium)
[2013-12-07 11:02:19] chisler, quitting. (Ping timeout: 260 seconds)
[2013-12-07 11:02:20] chisler_, changing nick to chisler.
[2013-12-07 11:04:32] noahsussman, joining. (#selenium)
[2013-12-07 11:06:11] dimacus, joining. (#selenium)
[2013-12-07 11:10:24] dimacus, quitting. (Ping timeout: 246 seconds)
[2013-12-07 11:12:59] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 11:31:33] kedoodek, joining. (#selenium)
[2013-12-07 11:31:56] chisler, quitting. (Quit: ...zzzZZZ)
[2013-12-07 11:39:53] noahsussman, joining. (#selenium)
[2013-12-07 11:47:54] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 11:53:31] chisler, joining. (#selenium)
[2013-12-07 11:56:27] barancev|2, joining. (#selenium)
[2013-12-07 11:56:27] barancev, quitting. (Read error: Connection reset by peer)
[2013-12-07 12:01:48] mrchilds, joining. (#selenium)
[2013-12-07 12:02:13] chisler_, joining. (#selenium)
[2013-12-07 12:02:46] chisler, quitting. (Ping timeout: 246 seconds)
[2013-12-07 12:02:47] chisler_, changing nick to chisler.
[2013-12-07 12:06:03] mrchilds, quitting. (Ping timeout: 246 seconds)
[2013-12-07 12:15:08] noahsussman, joining. (#selenium)
[2013-12-07 12:23:15] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 12:24:52] smccarthy, quitting. (Remote host closed the connection)
[2013-12-07 12:28:03] dimacus, joining. (#selenium)
[2013-12-07 12:30:49] AdamDangoor, quitting. (Quit: Leaving...)
[2013-12-07 12:32:30] markboxall, joining. (#selenium)
[2013-12-07 12:33:02] knorrium, joining. (#selenium)
[2013-12-07 12:36:48] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 12:45:12] Todd-, changing nick to Todd.
[2013-12-07 12:47:49] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 12:48:11] dimacus, joining. (#selenium)
[2013-12-07 12:49:01] dimacus, leaving. (#selenium)
[2013-12-07 12:49:46] knorrium, quitting. (Quit: knorrium)
[2013-12-07 12:50:29] noahsussman, joining. (#selenium)
[2013-12-07 12:59:00] noahsussman, quitting. (Ping timeout: 260 seconds)
[2013-12-07 13:10:08] chisler_, joining. (#selenium)
[2013-12-07 13:12:41] chisler, quitting. (Read error: Connection reset by peer)
[2013-12-07 13:14:30] chisler, joining. (#selenium)
[2013-12-07 13:15:03] chisler_, quitting. (Ping timeout: 246 seconds)
[2013-12-07 13:25:50] noahsussman, joining. (#selenium)
[2013-12-07 13:30:14] rebelagentm, joining. (#selenium)
[2013-12-07 13:30:41] rebelagentm, leaving. (#selenium)
[2013-12-07 13:34:15] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 13:49:22] rebelagentm, joining. (#selenium)
[2013-12-07 14:01:34] noahsussman, joining. (#selenium)
[2013-12-07 14:02:42] mrchilds, joining. (#selenium)
[2013-12-07 14:05:03] chisler, quitting. (Quit: ...zzzZZZ)
[2013-12-07 14:07:04] mrchilds, quitting. (Ping timeout: 260 seconds)
[2013-12-07 14:09:51] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 14:21:28] markboxall, joining. (#selenium)
[2013-12-07 14:25:42] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 14:25:45] v-avdeev, joining. (#selenium)
[2013-12-07 14:26:53] rebelagentm, leaving. (#selenium)
[2013-12-07 14:31:21] cybrNaut, quitting. (Ping timeout: 246 seconds)
[2013-12-07 14:33:35] cybrNaut, joining. (#selenium)
[2013-12-07 14:36:34] v-avdeev, quitting. ()
[2013-12-07 14:36:50] noahsussman, joining. (#selenium)
[2013-12-07 14:42:56] dimacus, joining. (#selenium)
[2013-12-07 14:45:03] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 14:55:40] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 15:03:51] andy_seit, quitting. (Ping timeout: 246 seconds)
[2013-12-07 15:12:13] noahsussman, joining. (#selenium)
[2013-12-07 15:20:18] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 15:32:51] simplex_, joining. (#selenium)
[2013-12-07 15:32:55] simplex_: hi
[2013-12-07 15:33:19] simplex_: does somebody know how to wait for a page to load without waitung for a specific element to load?
[2013-12-07 15:34:43] cteef: could you wait for an element from the previous page to disappear from the dom?
[2013-12-07 15:39:40] cteef: another approach that i have read about is to set an attribute in the <body> tag or some other tag just before loading the new page, then load the new page, and wait for the attribute to not be present in the <body> tag.
[2013-12-07 15:47:33] noahsussman, joining. (#selenium)
[2013-12-07 15:49:18] knorrium, joining. (#selenium)
[2013-12-07 15:55:52] noahsussman, quitting. (Ping timeout: 260 seconds)
[2013-12-07 16:02:24] knorrium, quitting. (Quit: knorrium)
[2013-12-07 16:03:26] mrchilds, joining. (#selenium)
[2013-12-07 16:07:36] mrchilds, quitting. (Ping timeout: 246 seconds)
[2013-12-07 16:08:11] Revery, joining. (#selenium)
[2013-12-07 16:10:21] markboxall, joining. (#selenium)
[2013-12-07 16:14:36] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 16:17:57] dimacus, joining. (#selenium)
[2013-12-07 16:22:51] noahsussman, joining. (#selenium)
[2013-12-07 16:26:06] guest669, joining. (#selenium)
[2013-12-07 16:28:14] narayans, quitting. (Ping timeout: 240 seconds)
[2013-12-07 16:31:16] noahsussman, quitting. (Ping timeout: 260 seconds)
[2013-12-07 16:33:44] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 16:58:07] noahsussman, joining. (#selenium)
[2013-12-07 17:06:44] noahsussman, quitting. (Ping timeout: 260 seconds)
[2013-12-07 17:07:10] dimacus, joining. (#selenium)
[2013-12-07 17:33:24] noahsussman, joining. (#selenium)
[2013-12-07 17:41:41] noahsussman, quitting. (Ping timeout: 250 seconds)
[2013-12-07 17:59:11] markboxall, joining. (#selenium)
[2013-12-07 18:00:12] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 18:03:24] markboxall, quitting. (Ping timeout: 246 seconds)
[2013-12-07 18:04:20] mrchilds, joining. (#selenium)
[2013-12-07 18:08:42] mrchilds, quitting. (Ping timeout: 246 seconds)
[2013-12-07 18:08:46] noahsussman, joining. (#selenium)
[2013-12-07 18:16:55] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 18:33:55] dimacus, joining. (#selenium)
[2013-12-07 18:34:38] michael_lee, joining. (#selenium)
[2013-12-07 18:36:46] michael_lee, quitting. (Max SendQ exceeded)
[2013-12-07 18:37:52] michael_lee, joining. (#selenium)
[2013-12-07 18:43:37] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 18:44:05] noahsussman, joining. (#selenium)
[2013-12-07 18:52:17] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 19:19:24] noahsussman, joining. (#selenium)
[2013-12-07 19:27:27] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 19:27:31] DarkRift2, joining. (#selenium)
[2013-12-07 19:27:32] DarkRift2, quitting. (Changing host)
[2013-12-07 19:27:32] DarkRift2, joining. (#selenium)
[2013-12-07 19:46:29] DarkRift2, quitting. (Ping timeout: 250 seconds)
[2013-12-07 19:48:06] markboxall, joining. (#selenium)
[2013-12-07 19:52:24] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 19:54:43] noahsussman, joining. (#selenium)
[2013-12-07 20:02:58] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 20:05:17] mrchilds, joining. (#selenium)
[2013-12-07 20:09:33] mrchilds, quitting. (Ping timeout: 252 seconds)
[2013-12-07 20:30:07] noahsussman, joining. (#selenium)
[2013-12-07 20:38:10] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 21:05:20] noahsussman, joining. (#selenium)
[2013-12-07 21:10:09] dimacus, joining. (#selenium)
[2013-12-07 21:13:43] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-12-07 21:18:41] Revery, quitting. (Quit: Konversation terminated!)
[2013-12-07 21:37:00] markboxall, joining. (#selenium)
[2013-12-07 21:38:00] b_rare, joining. (#selenium)
[2013-12-07 21:41:04] noahsussman, joining. (#selenium)
[2013-12-07 21:41:39] markboxall, quitting. (Ping timeout: 260 seconds)
[2013-12-07 21:49:12] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 21:53:47] Demego, quitting. (Read error: Operation timed out)
[2013-12-07 21:54:10] Demego, joining. (#selenium)
[2013-12-07 22:06:06] mrchilds, joining. (#selenium)
[2013-12-07 22:07:04] dimacus, quitting. (Quit: Leaving.)
[2013-12-07 22:10:36] mrchilds, quitting. (Ping timeout: 260 seconds)
[2013-12-07 22:16:24] noahsussman, joining. (#selenium)
[2013-12-07 22:25:00] noahsussman, quitting. (Ping timeout: 260 seconds)
[2013-12-07 22:44:08] Selenium-Git, joining. (#selenium)
[2013-12-07 22:44:08] Selenium-Git, leaving. (#selenium)
[2013-12-07 22:44:08] Selenium-Git: [13selenium] 15easonhan007 opened pull request #145: fix bug because sometimes capabilities method is private (06master...06master) 02http://git.io/61DNew
[2013-12-07 22:47:41] SamuraiJack_, joining. (#selenium)
[2013-12-07 22:59:59] SamuraiJack_, quitting. (Quit: Konversation terminated!)
[2013-12-07 23:22:16] noahsussman, joining. (#selenium)
[2013-12-07 23:22:33] jrgill, quitting. (Read error: Connection reset by peer)
[2013-12-07 23:25:51] markboxall, joining. (#selenium)
[2013-12-07 23:30:12] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-07 23:30:21] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-12-07 23:30:45] xirkus, quitting. (Ping timeout: 248 seconds)
[2013-12-07 23:46:10] randyg, joining. (#selenium)
[2013-12-07 23:50:18] randyg, quitting. (Client Quit)
[2013-12-07 23:56:23] barancev, joining. (#selenium)
[2013-12-07 23:56:23] barancev|2, quitting. (Read error: Connection reset by peer)
[2013-12-07 23:56:53] noahsussman, joining. (#selenium)
[2013-12-07 23:58:12] barancev|2, joining. (#selenium)
