[2013-12-15 00:00:16] davidlai, quitting. (Ping timeout: 245 seconds)
[2013-12-15 00:03:26] DrJenkins, joining. (#selenium)
[2013-12-15 00:03:31] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-15 00:07:45] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 00:08:10] DrJenkins, joining. (#selenium)
[2013-12-15 00:10:02] barancev|2, joining. (#selenium)
[2013-12-15 00:12:21] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 00:12:52] DrJenkins, joining. (#selenium)
[2013-12-15 00:12:55] barancev, quitting. (Ping timeout: 245 seconds)
[2013-12-15 00:17:21] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 00:17:55] DrJenkins, joining. (#selenium)
[2013-12-15 00:20:26] SamuraiJack_, joining. (#selenium)
[2013-12-15 00:22:26] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 00:22:35] DrJenkins, joining. (#selenium)
[2013-12-15 00:26:52] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 00:27:16] DrJenkins, joining. (#selenium)
[2013-12-15 00:31:31] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 00:31:53] DrJenkins, joining. (#selenium)
[2013-12-15 00:35:15] randyg_, joining. (#selenium)
[2013-12-15 00:36:36] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 00:36:36] DrJenkin_, joining. (#selenium)
[2013-12-15 00:38:14] elopio, quitting. (Ping timeout: 240 seconds)
[2013-12-15 00:40:53] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-15 00:41:14] DrJenkins, joining. (#selenium)
[2013-12-15 00:43:53] elopio, joining. (#selenium)
[2013-12-15 00:45:57] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 00:46:01] DrJenkin_, joining. (#selenium)
[2013-12-15 00:50:15] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-15 00:50:32] DrJenkins, joining. (#selenium)
[2013-12-15 00:54:45] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 00:55:14] DrJenkins, joining. (#selenium)
[2013-12-15 00:57:57] markboxall, joining. (#selenium)
[2013-12-15 00:59:42] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 00:59:58] DrJenkins, joining. (#selenium)
[2013-12-15 01:02:27] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-15 01:04:21] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 01:04:32] DrJenkins, joining. (#selenium)
[2013-12-15 01:08:45] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 01:09:11] DrJenkins, joining. (#selenium)
[2013-12-15 01:13:17] SamuraiJack_, quitting. (Quit: Konversation terminated!)
[2013-12-15 01:13:55] DrJenkin_, joining. (#selenium)
[2013-12-15 01:13:56] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 01:17:50] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-15 01:18:33] DrJenkins, joining. (#selenium)
[2013-12-15 01:22:31] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 01:23:12] DrJenkins, joining. (#selenium)
[2013-12-15 01:27:33] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 01:27:51] DrJenkins, joining. (#selenium)
[2013-12-15 01:32:33] DrJenkin_, joining. (#selenium)
[2013-12-15 01:32:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 01:36:45] DrJenkin_, quitting. (Ping timeout: 241 seconds)
[2013-12-15 01:37:11] DrJenkins, joining. (#selenium)
[2013-12-15 01:41:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 01:41:49] DrJenkins, joining. (#selenium)
[2013-12-15 01:46:19] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 01:46:27] DrJenkins, joining. (#selenium)
[2013-12-15 01:50:51] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 01:51:10] DrJenkins, joining. (#selenium)
[2013-12-15 01:53:14] sebv, joining. (#selenium)
[2013-12-15 01:53:26] operatiay, joining. (#selenium)
[2013-12-15 01:55:16] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 01:55:51] DrJenkins, joining. (#selenium)
[2013-12-15 01:56:36] operatiay, quitting. (Read error: Operation timed out)
[2013-12-15 01:57:22] ertac, quitting. ()
[2013-12-15 02:00:11] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 02:00:29] DrJenkins, joining. (#selenium)
[2013-12-15 02:04:51] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 02:05:11] DrJenkins, joining. (#selenium)
[2013-12-15 02:09:26] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 02:09:52] DrJenkins, joining. (#selenium)
[2013-12-15 02:14:18] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 02:14:30] DrJenkins, joining. (#selenium)
[2013-12-15 02:19:10] DrJenkin_, joining. (#selenium)
