[2013-12-25 00:00:39] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 00:01:01] DrJenkins, joining. (#selenium)
[2013-12-25 00:02:47] barancev|2, joining. (#selenium)
[2013-12-25 00:02:47] barancev, quitting. (Read error: Connection reset by peer)
[2013-12-25 00:03:08] fschuindt, joining. (#selenium)
[2013-12-25 00:03:22] fschuindt: Hi
[2013-12-25 00:04:05] fschuindt: I'm trying to use phamtomjs with selenium, but I'm getting 'Unable to start phantomjs with ghostdriver.' ; Screenshot: available via screen
[2013-12-25 00:04:34] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 00:04:56] fschuindt: Debbuging it, I see a close_fds=True in selenium\webdriver\phantomjs\service.py
[2013-12-25 00:05:15] fschuindt: If I change close_fds to False, everything works
[2013-12-25 00:05:24] fschuindt: What should I do to solve it?
[2013-12-25 00:05:40] DrJenkins, joining. (#selenium)
[2013-12-25 00:05:46] fschuindt: I'm using Windows and it already worked without its workaround in other machine wqithg windows too
[2013-12-25 00:06:29] dimacus, joining. (#selenium)
[2013-12-25 00:07:18] dimacus, quitting. (Client Quit)
[2013-12-25 00:08:53] dimacus, joining. (#selenium)
[2013-12-25 00:09:46] dimacus, quitting. (Client Quit)
[2013-12-25 00:09:55] fschuindt, quitting. (Quit: (( WebIRC Gratuito www.webirc.com.br )))
[2013-12-25 00:09:58] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 00:10:20] DrJenkins, joining. (#selenium)
[2013-12-25 00:12:03] fschuindt, joining. (#selenium)
[2013-12-25 00:13:00] fschuindt: Hi people. Can anyone help me? I'm trying to running selenium on Windows and I'm getting this error
[2013-12-25 00:13:01] fschuindt: Message: 'Unable to start phantomjs with ghostdriver.' ; Screenshot: available via screen
[2013-12-25 00:13:30] fschuindt: Debugging it, I discoverede that it crashes on selenium\webdriver\phantomjs\service.py
[2013-12-25 00:13:51] fschuindt: It crashes because close_fds is set to True
[2013-12-25 00:14:05] dimacus, joining. (#selenium)
[2013-12-25 00:14:07] fschuindt: If I set it to False, everything works ok
[2013-12-25 00:14:22] fschuindt: Is there any fix to solve it without using this workaround?
[2013-12-25 00:14:41] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 00:15:02] DrJenkins, joining. (#selenium)
[2013-12-25 00:16:13] dimacus, quitting. (Client Quit)
[2013-12-25 00:19:13] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 00:19:41] DrJenkins, joining. (#selenium)
[2013-12-25 00:24:17] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 00:24:18] DrJenkin_, joining. (#selenium)
[2013-12-25 00:28:58] DrJenkins, joining. (#selenium)
[2013-12-25 00:29:02] DrJenkin_, quitting. (Ping timeout: 264 seconds)
[2013-12-25 00:33:42] DrJenkin_, joining. (#selenium)
[2013-12-25 00:33:47] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 00:35:23] fschuindt, quitting. (Quit: Page closed)
[2013-12-25 00:37:55] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 00:38:28] DrJenkins, joining. (#selenium)
[2013-12-25 00:38:33] dimacus, joining. (#selenium)
[2013-12-25 00:42:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 00:43:24] DrJenkins, joining. (#selenium)
[2013-12-25 00:47:01] davidlai, quitting. (Quit: Leaving.)
[2013-12-25 00:47:43] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 00:48:19] DrJenkins, joining. (#selenium)
[2013-12-25 00:52:28] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 00:53:03] DrJenkins, joining. (#selenium)
[2013-12-25 00:55:52] tony1, joining. (#selenium)
[2013-12-25 00:57:41] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 00:57:41] DrJenkin_, joining. (#selenium)
[2013-12-25 00:59:55] tony1, quitting. (Ping timeout: 240 seconds)
[2013-12-25 00:59:58] dimacus, quitting. (Quit: Leaving.)
[2013-12-25 01:01:57] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 01:02:24] DrJenkins, joining. (#selenium)
[2013-12-25 01:06:43] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 01:07:01] DrJenkins, joining. (#selenium)
[2013-12-25 01:08:37] stackedsax, quitting. (Ping timeout: 272 seconds)
[2013-12-25 01:08:42] stackedsax2, joining. (#selenium)
[2013-12-25 01:11:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 01:11:42] DrJenkin_, joining. (#selenium)
[2013-12-25 01:15:52] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 01:16:20] DrJenkins, joining. (#selenium)
[2013-12-25 01:18:21] freynaud, joining. (#selenium)
[2013-12-25 01:20:28] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 01:21:04] DrJenkins, joining. (#selenium)
[2013-12-25 01:24:06] freynaud, quitting. (Quit: freynaud)
[2013-12-25 01:24:56] stackedsax2, quitting. (Quit: Leaving.)
[2013-12-25 01:25:44] DrJenkin_, joining. (#selenium)
[2013-12-25 01:26:00] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 01:29:57] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 01:30:22] DrJenkins, joining. (#selenium)
[2013-12-25 01:34:11] SamuraiJack, quitting. (Quit: Konversation terminated!)
[2013-12-25 01:35:02] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 01:35:03] DrJenkin_, joining. (#selenium)
[2013-12-25 01:39:17] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 01:39:40] DrJenkins, joining. (#selenium)
[2013-12-25 01:44:23] DrJenkin_, joining. (#selenium)
[2013-12-25 01:44:43] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 01:48:53] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 01:49:04] DrJenkins, joining. (#selenium)
[2013-12-25 01:53:19] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 01:53:39] DrJenkins, joining. (#selenium)
[2013-12-25 01:56:36] tony1, joining. (#selenium)
[2013-12-25 01:58:22] DrJenkin_, joining. (#selenium)
