[2013-12-28 00:03:30] DrJenkin_, joining. (#selenium)
[2013-12-28 00:03:37] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 00:07:54] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-28 00:08:09] DrJenkins, joining. (#selenium)
[2013-12-28 00:12:29] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 00:12:51] DrJenkins, joining. (#selenium)
[2013-12-28 00:17:15] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 00:17:35] DrJenkins, joining. (#selenium)
[2013-12-28 00:21:54] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 00:22:16] DrJenkins, joining. (#selenium)
[2013-12-28 00:26:27] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 00:26:56] DrJenkins, joining. (#selenium)
[2013-12-28 00:31:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 00:31:33] DrJenkins, joining. (#selenium)
[2013-12-28 00:35:50] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 00:36:15] DrJenkins, joining. (#selenium)
[2013-12-28 00:40:33] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 00:40:51] DrJenkins, joining. (#selenium)
[2013-12-28 00:41:24] stackedsax1, joining. (#selenium)
[2013-12-28 00:45:00] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 00:45:31] SamuraiJack_, quitting. (Read error: Connection reset by peer)
[2013-12-28 00:45:34] DrJenkins, joining. (#selenium)
[2013-12-28 00:45:44] SamuraiJack_, joining. (#selenium)
[2013-12-28 00:49:55] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 00:50:14] DrJenkins, joining. (#selenium)
[2013-12-28 00:52:39] SamuraiJack_, quitting. (Ping timeout: 272 seconds)
[2013-12-28 00:54:27] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 00:54:58] DrJenkins, joining. (#selenium)
[2013-12-28 00:59:36] DrJenkin_, joining. (#selenium)
[2013-12-28 00:59:37] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 01:04:15] DrJenkins, joining. (#selenium)
[2013-12-28 01:04:26] DrJenkin_, quitting. (Ping timeout: 272 seconds)
