[2013-12-30 00:01:11] tony1, joining. (#selenium)
[2013-12-30 00:01:30] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 00:01:30] DrJenkin_, joining. (#selenium)
[2013-12-30 00:05:20] tony1, quitting. (Ping timeout: 245 seconds)
[2013-12-30 00:05:20] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-30 00:06:10] DrJenkins, joining. (#selenium)
[2013-12-30 00:07:50] SamuraiJack_, quitting. (Ping timeout: 245 seconds)
[2013-12-30 00:10:33] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 00:10:36] Tejesh, quitting. (Quit: Page closed)
[2013-12-30 00:10:55] DrJenkins, joining. (#selenium)
[2013-12-30 00:12:26] kedoodek, quitting. (Ping timeout: 246 seconds)
[2013-12-30 00:15:17] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 00:15:38] DrJenkins, joining. (#selenium)
[2013-12-30 00:19:19] plightbo_work, quitting. (Remote host closed the connection)
[2013-12-30 00:19:45] plightbo_work, joining. (#selenium)
[2013-12-30 00:20:03] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-30 00:20:20] DrJenkins, joining. (#selenium)
[2013-12-30 00:22:35] kedoodek, joining. (#selenium)
[2013-12-30 00:23:58] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-12-30 00:24:55] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 00:24:59] DrJenkin_, joining. (#selenium)
[2013-12-30 00:26:43] jaywink, joining. (#selenium)
[2013-12-30 00:28:42] plightbo_work, joining. (#selenium)
[2013-12-30 00:29:14] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-30 00:29:44] DrJenkins, joining. (#selenium)
[2013-12-30 00:34:07] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 00:34:20] DrJenkins, joining. (#selenium)
[2013-12-30 00:36:58] riotz, quitting. (Ping timeout: 272 seconds)
[2013-12-30 00:38:41] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 00:39:02] Raju, joining. (#selenium)
[2013-12-30 00:39:02] riotz, joining. (#selenium)
[2013-12-30 00:39:05] DrJenkins, joining. (#selenium)
[2013-12-30 00:43:12] Raju, leaving. (#selenium)
[2013-12-30 00:43:26] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-30 00:43:43] DrJenkins, joining. (#selenium)
[2013-12-30 00:43:58] bimmelino, joining. (#selenium)
[2013-12-30 00:45:30] plightbo_work, quitting. (Remote host closed the connection)
[2013-12-30 00:48:02] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 00:48:25] DrJenkins, joining. (#selenium)
[2013-12-30 00:51:57] zeljkof, joining. (#selenium)
[2013-12-30 00:53:02] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-30 00:53:12] DrJenkins, joining. (#selenium)
[2013-12-30 00:57:42] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 00:57:52] DrJenkins, joining. (#selenium)
[2013-12-30 00:59:01] riotz, quitting. (Remote host closed the connection)
[2013-12-30 01:00:31] riotz, joining. (#selenium)
[2013-12-30 01:02:01] tony1, joining. (#selenium)
[2013-12-30 01:02:03] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:02:33] DrJenkins, joining. (#selenium)
[2013-12-30 01:03:35] tony1, quitting. (Read error: No route to host)
[2013-12-30 01:03:42] tony1, joining. (#selenium)
[2013-12-30 01:07:00] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 01:07:12] DrJenkins, joining. (#selenium)
[2013-12-30 01:08:23] tony1, quitting. (Ping timeout: 252 seconds)
[2013-12-30 01:08:53] andy_seit, joining. (#selenium)
[2013-12-30 01:11:41] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 01:11:52] DrJenkins, joining. (#selenium)
[2013-12-30 01:12:19] simplex_, quitting. (Quit: Page closed)
[2013-12-30 01:16:26] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-30 01:16:29] plightbo_work, joining. (#selenium)
[2013-12-30 01:16:35] DrJenkins, joining. (#selenium)
[2013-12-30 01:20:45] plightbo_work, quitting. (Ping timeout: 245 seconds)
[2013-12-30 01:21:16] DrJenkin_, joining. (#selenium)
[2013-12-30 01:21:21] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:23:52] rananda, quitting. (Ping timeout: 265 seconds)
[2013-12-30 01:25:25] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:25:55] DrJenkins, joining. (#selenium)
[2013-12-30 01:29:02] stackedsax, quitting. (Ping timeout: 240 seconds)
[2013-12-30 01:30:34] DrJenkin_, joining. (#selenium)
[2013-12-30 01:31:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 01:33:16] Dave_B_tmp, joining. (#selenium)
[2013-12-30 01:33:34] Dave_B_tmp, changing nick to Dave_B_.
[2013-12-30 01:34:47] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-30 01:35:17] DrJenkins, joining. (#selenium)
[2013-12-30 01:39:30] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 01:39:59] DrJenkins, joining. (#selenium)
[2013-12-30 01:44:14] rananda, joining. (#selenium)
[2013-12-30 01:44:36] DrJenkin_, joining. (#selenium)
[2013-12-30 01:44:44] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 01:45:21] Dave_B_1, joining. (#selenium)
[2013-12-30 01:45:57] Dave_B_, quitting. (Quit: I'm off home.)
[2013-12-30 01:46:09] Dave_B_1, changing nick to Dave_B_.
[2013-12-30 01:48:54] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:49:15] DrJenkins, joining. (#selenium)
[2013-12-30 01:53:31] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:53:54] DrJenkins, joining. (#selenium)
[2013-12-30 01:54:38] SamuraiJack_, joining. (#selenium)
[2013-12-30 01:58:12] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 01:58:37] DrJenkins, joining. (#selenium)
[2013-12-30 01:59:01] riotz, quitting. (Remote host closed the connection)
[2013-12-30 02:01:01] riotz, joining. (#selenium)
[2013-12-30 02:03:08] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-30 02:03:16] DrJenkins, joining. (#selenium)
[2013-12-30 02:04:27] tony1, joining. (#selenium)
[2013-12-30 02:07:47] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 02:07:52] DrJenkin_, joining. (#selenium)
[2013-12-30 02:08:53] tony1, quitting. (Ping timeout: 252 seconds)
[2013-12-30 02:09:51] riotz, quitting. (Ping timeout: 240 seconds)
[2013-12-30 02:10:02] riotz, joining. (#selenium)
[2013-12-30 02:11:19] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-30 02:12:34] DrJenkins, joining. (#selenium)
[2013-12-30 02:16:59] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 02:17:18] DrJenkins, joining. (#selenium)
[2013-12-30 02:17:21] plightbo_work, joining. (#selenium)
[2013-12-30 02:21:26] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-12-30 02:21:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-30 02:21:59] DrJenkins, joining. (#selenium)
[2013-12-30 02:26:23] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 02:26:41] DrJenkins, joining. (#selenium)
[2013-12-30 02:31:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-30 02:31:20] DrJenkins, joining. (#selenium)
[2013-12-30 02:35:31] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 02:36:00] DrJenkins, joining. (#selenium)
[2013-12-30 02:39:10] simplex_, joining. (#selenium)
[2013-12-30 02:39:30] simplex_: hey guys
[2013-12-30 02:39:55] simplex_: does somebody know how to set the window position in chromedriver before starting the driver?
[2013-12-30 02:40:19] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 02:40:40] DrJenkins, joining. (#selenium)
[2013-12-30 02:42:19] bimmelino, leaving. (#selenium)
[2013-12-30 02:45:11] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 02:45:47] DrJenkins, joining. (#selenium)
[2013-12-30 02:50:09] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 02:50:29] DrJenkins, joining. (#selenium)
[2013-12-30 02:53:05] bimmelino1, joining. (#selenium)
[2013-12-30 02:54:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-30 02:54:50] simplex_: nevermind, got it
[2013-12-30 02:55:04] DrJenkins, joining. (#selenium)
[2013-12-30 02:59:30] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 02:59:48] DrJenkins, joining. (#selenium)
[2013-12-30 03:04:16] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-30 03:04:28] DrJenkins, joining. (#selenium)
[2013-12-30 03:05:11] tony1, joining. (#selenium)
[2013-12-30 03:08:53] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 03:09:09] DrJenkins, joining. (#selenium)
[2013-12-30 03:09:30] tony1, quitting. (Ping timeout: 245 seconds)
[2013-12-30 03:13:25] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 03:13:48] DrJenkins, joining. (#selenium)
[2013-12-30 03:18:08] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 03:18:08] plightbo_work, joining. (#selenium)
[2013-12-30 03:18:29] DrJenkins, joining. (#selenium)
[2013-12-30 03:22:14] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-12-30 03:22:57] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 03:23:08] DrJenkins, joining. (#selenium)
[2013-12-30 03:25:24] simplex_: when i start chromedriver there is always "data:," in the url textbox (as well as the title of the window). how can i change that?
[2013-12-30 03:27:23] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 03:27:50] DrJenkins, joining. (#selenium)
[2013-12-30 03:32:23] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 03:32:32] DrJenkins, joining. (#selenium)
[2013-12-30 03:32:35] barancev|2, quitting. (Read error: Connection reset by peer)
[2013-12-30 03:33:00] barancev|2, joining. (#selenium)
[2013-12-30 03:34:49] barancev, joining. (#selenium)
[2013-12-30 03:36:55] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-30 03:37:08] DrJenkins, joining. (#selenium)
[2013-12-30 03:37:30] barancev|2, quitting. (Ping timeout: 245 seconds)
[2013-12-30 03:41:35] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 03:41:52] DrJenkins, joining. (#selenium)
[2013-12-30 03:45:51] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-30 03:46:29] DrJenkins, joining. (#selenium)
[2013-12-30 03:46:31] NBhosting, joining. (#selenium)
[2013-12-30 03:50:45] DrJenkins, quitting. (Ping timeout: 245 seconds)
