[2014-09-15 00:00:26] santhosh_, quitting. (Quit: Page closed)
[2014-09-15 00:04:13] santhosh__, quitting. (Ping timeout: 246 seconds)
[2014-09-15 00:05:58] papegaaij, joining. (#selenium)
[2014-09-15 00:07:45] AndreiH, joining. (#selenium)
[2014-09-15 00:09:33] tony2, joining. (#selenium)
[2014-09-15 00:11:47] selbot2__: 04 Open issues: 814
[2014-09-15 00:13:40] fabrice31, joining. (#selenium)
[2014-09-15 00:14:00] tony2, quitting. (Ping timeout: 246 seconds)
[2014-09-15 00:15:20] Neo--, joining. (#selenium)
[2014-09-15 00:17:58] andy_seit, quitting. (Ping timeout: 250 seconds)
[2014-09-15 00:20:50] bimmelino, joining. (#selenium)
[2014-09-15 00:31:47] kr1s, joining. (#selenium)
[2014-09-15 00:41:44] rananda, quitting. (Ping timeout: 260 seconds)
[2014-09-15 00:41:47] selbot2__: 04 Open issues: 816
[2014-09-15 00:50:45] losh, joining. (#selenium)
[2014-09-15 00:51:08] losh, changing nick to Guest92614.
[2014-09-15 00:51:19] Guest92614, quitting. (Client Quit)
[2014-09-15 00:59:08] andy_seit, joining. (#selenium)
[2014-09-15 00:59:08] dude-x, joining. (#selenium)
[2014-09-15 00:59:08] Guest28915, joining. (#selenium)
[2014-09-15 00:59:26] cristi, joining. (#selenium)
[2014-09-15 00:59:35] rananda, joining. (#selenium)
[2014-09-15 00:59:51] Bebe_sel, joining. (#selenium)
[2014-09-15 00:59:58] d0x_, joining. (#selenium)
[2014-09-15 01:00:00] kr1s, quitting. (Ping timeout: 250 seconds)
[2014-09-15 01:01:07] losh_, joining. (#selenium)
[2014-09-15 01:03:16] maxorator, quitting. (Excess Flood)
[2014-09-15 01:03:54] eide_____, quitting. (Ping timeout: 272 seconds)
[2014-09-15 01:04:22] losh_, changing nick to losh.
[2014-09-15 01:04:24] maxorator, joining. (#selenium)
[2014-09-15 01:04:30] ato, quitting. (Changing host)
[2014-09-15 01:04:30] ato, joining. (#selenium)
[2014-09-15 01:04:46] rananda, quitting. (Quit: /AWAY Leaving)
[2014-09-15 01:04:46] DocD2___, quitting. (Changing host)
[2014-09-15 01:04:46] DocD2___, joining. (#selenium)
[2014-09-15 01:04:55] gates_, quitting. (Changing host)
[2014-09-15 01:04:56] gates_, joining. (#selenium)
[2014-09-15 01:04:57] noahsussman_____, quitting. (Changing host)
[2014-09-15 01:04:58] noahsussman_____, joining. (#selenium)
[2014-09-15 01:05:04] ColinSauce_, quitting. (Changing host)
[2014-09-15 01:05:05] ColinSauce_, joining. (#selenium)
[2014-09-15 01:05:07] stephend|mtg, quitting. (Changing host)
[2014-09-15 01:05:07] stephend|mtg, joining. (#selenium)
[2014-09-15 01:05:48] neeti, quitting. (Changing host)
[2014-09-15 01:05:48] neeti, joining. (#selenium)
[2014-09-15 01:06:52] eide_____, joining. (#selenium)
[2014-09-15 01:07:12] eide_____, quitting. (Changing host)
[2014-09-15 01:07:12] eide_____, joining. (#selenium)
[2014-09-15 01:08:34] rananda, joining. (#selenium)
[2014-09-15 01:09:26] tony2, joining. (#selenium)
[2014-09-15 01:11:47] selbot2__: 04 Open issues: 816
[2014-09-15 01:13:24] WhereIsMySpoon, joining. (#selenium)
[2014-09-15 01:13:32] tony2, quitting. (Ping timeout: 245 seconds)
[2014-09-15 01:13:57] WhereIsMySpoon, quitting. (Changing host)
[2014-09-15 01:13:57] WhereIsMySpoon, joining. (#selenium)
[2014-09-15 01:13:57] WhereIsMySpoon, quitting. (Changing host)
[2014-09-15 01:13:57] WhereIsMySpoon, joining. (#selenium)
[2014-09-15 01:16:39] JP, joining. (#selenium)
[2014-09-15 01:26:09] HolyGoat, joining. (#selenium)
[2014-09-15 01:27:47] d0x_, quitting. (Remote host closed the connection)
[2014-09-15 01:37:18] L0u1s, joining. (#selenium)
[2014-09-15 01:41:46] selbot2__: 04 Open issues: 816
[2014-09-15 01:46:24] kr1s, joining. (#selenium)
[2014-09-15 01:49:13] Marcovanest, joining. (#selenium)
[2014-09-15 01:49:54] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 01:50:57] neeti, quitting. (Ping timeout: 246 seconds)
[2014-09-15 01:50:57] SamuraiJack, quitting. (Ping timeout: 246 seconds)
[2014-09-15 01:56:21] operatiay, joining. (#selenium)
[2014-09-15 02:03:38] jkrocil, joining. (#selenium)
[2014-09-15 02:05:15] kr1s, quitting. (Remote host closed the connection)
[2014-09-15 02:07:13] kr1s, joining. (#selenium)
[2014-09-15 02:08:28] Marcovanest, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2014-09-15 02:09:22] tony2, joining. (#selenium)
[2014-09-15 02:09:45] neeti, joining. (#selenium)
[2014-09-15 02:11:47] selbot2__: 04 Open issues: 816
[2014-09-15 02:13:49] Marcovanest, joining. (#selenium)
[2014-09-15 02:13:58] tony2, quitting. (Ping timeout: 258 seconds)
[2014-09-15 02:15:54] kr1s, changing nick to d0x_.
[2014-09-15 02:16:43] d0x_: ato: You get some time this week to have a look at the  "Browser Toolbox" with the firefoxdriver?
[2014-09-15 02:16:56] Neo--, joining. (#selenium)
[2014-09-15 02:26:59] operatiay, quitting. (Remote host closed the connection)
[2014-09-15 02:34:31] Marcovanest, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2014-09-15 02:36:43] d0x_, quitting. (Remote host closed the connection)
[2014-09-15 02:41:46] selbot2__: 04 Open issues: 814
[2014-09-15 02:44:53] operatiay, joining. (#selenium)
[2014-09-15 02:45:13] L0u1s, changing nick to L0u0s.
[2014-09-15 02:46:00] L0u0s, changing nick to L0u1s.
[2014-09-15 02:46:29] bobacus_, changing nick to bobacus.
[2014-09-15 02:46:31] L0u1s, changing nick to L0u0s.
[2014-09-15 02:46:40] kr1s, joining. (#selenium)
[2014-09-15 02:46:43] L0u0s, changing nick to L0u1s.
[2014-09-15 02:52:46] amit_341, joining. (#selenium)
[2014-09-15 03:09:50] tony2, joining. (#selenium)
[2014-09-15 03:11:47] selbot2__: 04 Open issues: 814
[2014-09-15 03:12:05] fabrice31, quitting. (Remote host closed the connection)
[2014-09-15 03:13:54] tony2, quitting. (Ping timeout: 246 seconds)
[2014-09-15 03:22:54] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 03:26:46] L0u1s, changing nick to L0u0s.
[2014-09-15 03:26:52] amit_341, joining. (#selenium)
[2014-09-15 03:27:35] L0u0s, changing nick to L0u1s.
[2014-09-15 03:30:12] andy_seit2, joining. (#selenium)
[2014-09-15 03:30:34] L0u1s, quitting. ()
[2014-09-15 03:31:02] andy_seit, quitting. (Ping timeout: 245 seconds)
[2014-09-15 03:39:19] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 03:41:46] selbot2__: 04 Open issues: 814
[2014-09-15 03:53:00] neeti_, joining. (#selenium)
[2014-09-15 03:56:20] kr1s, quitting. (Remote host closed the connection)
[2014-09-15 03:57:00] kr1s, joining. (#selenium)
[2014-09-15 03:57:05] neeti, quitting. (Ping timeout: 258 seconds)
