[2015-02-14 00:05:26] sakib, joining. (#selenium)
[2015-02-14 00:18:41] sakib, quitting. (Remote host closed the connection)
[2015-02-14 00:24:43] nonny_t, joining. (#selenium)
[2015-02-14 00:32:40] stryx`_, quitting. (Ping timeout: 250 seconds)
[2015-02-14 00:39:06] stryx`, joining. (#selenium)
[2015-02-14 00:48:45] fabrice31, joining. (#selenium)
[2015-02-14 00:53:19] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-14 01:32:40] nonny_t, quitting. (Remote host closed the connection)
[2015-02-14 02:11:26] Sourcerer, joining. (#selenium)
[2015-02-14 02:16:08] soLucien, joining. (#selenium)
[2015-02-14 02:16:57] soLucien: Hi guys ! I have just started in a new company, and my task is to set up a testing environment. Any good ebooks on Selenium you could recommend?
[2015-02-14 02:37:28] fabrice31, joining. (#selenium)
[2015-02-14 02:42:10] fabrice31, quitting. (Ping timeout: 245 seconds)
[2015-02-14 02:52:17] Sourcerer, quitting. ()
[2015-02-14 03:09:51] wicope, joining. (#selenium)
[2015-02-14 04:11:25] admc, joining. (#selenium)
[2015-02-14 04:16:11] nonny_t, joining. (#selenium)
[2015-02-14 04:24:13] stryx`, quitting. (Ping timeout: 245 seconds)
[2015-02-14 04:33:01] farlan1, quitting. (Ping timeout: 245 seconds)
[2015-02-14 05:01:22] nonny_t, quitting. (Remote host closed the connection)
[2015-02-14 05:01:24] admc, quitting. (Quit: Leaving.)
[2015-02-14 05:09:21] nonny_t, joining. (#selenium)
[2015-02-14 05:19:37] wicope, quitting. (Remote host closed the connection)
[2015-02-14 05:28:36] stoogenmeyer, joining. (#selenium)
[2015-02-14 05:29:07] stoogenmeyer: hi could any one advice on how to use the selenium docker images to test a local development server ?
[2015-02-14 05:57:47] stryx`_, joining. (#selenium)
[2015-02-14 05:58:52] tony2, joining. (#selenium)
[2015-02-14 05:59:27] tony2, quitting. (Client Quit)
[2015-02-14 05:59:39] tony2, joining. (#selenium)
[2015-02-14 06:01:27] soLucien, quitting. (Ping timeout: 245 seconds)
[2015-02-14 06:08:21] farlan, joining. (#selenium)
[2015-02-14 06:15:03] fabrice31, joining. (#selenium)
[2015-02-14 06:17:40] richdownie, joining. (#selenium)
[2015-02-14 06:19:38] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-14 06:22:27] richdownie, quitting. (Client Quit)
[2015-02-14 06:27:11] nonny_t, quitting. (Remote host closed the connection)
[2015-02-14 06:32:11] nonny_t, joining. (#selenium)
[2015-02-14 06:37:47] kalana, joining. (#selenium)
[2015-02-14 06:46:22] kalana: hello
[2015-02-14 06:51:10] sakib, joining. (#selenium)
[2015-02-14 07:03:05] tony2, quitting. (Quit: Leaving.)
[2015-02-14 07:19:24] senthil, joining. (#selenium)
[2015-02-14 07:22:24] senthil, quitting. (Client Quit)
[2015-02-14 07:31:09] stoogenmeyer, quitting. (Ping timeout: 244 seconds)
[2015-02-14 07:38:45] gusTester, joining. (#selenium)
[2015-02-14 08:03:55] fabrice31, joining. (#selenium)
[2015-02-14 08:08:24] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-14 08:20:40] ghormoon, joining. (#selenium)
[2015-02-14 08:30:17] dimacus, joining. (#selenium)
[2015-02-14 08:30:42] dimacus, quitting. (Client Quit)
[2015-02-14 08:31:38] slawrence00, joining. (#selenium)
[2015-02-14 08:32:43] ghormoon, quitting. (Quit: ZNC - http://znc.in)
[2015-02-14 08:33:39] stryx`_, quitting. (Ping timeout: 252 seconds)
[2015-02-14 08:56:47] gusTester, quitting. (Quit: bye)
[2015-02-14 09:03:20] fatguylaughing, joining. (#selenium)
[2015-02-14 09:21:25] erajan, joining. (#selenium)
[2015-02-14 09:23:46] erajan, quitting. (Client Quit)
[2015-02-14 09:28:48] dimacus, joining. (#selenium)
