[2015-02-15 00:06:20] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-15 00:22:39] nonny_t, quitting. (Remote host closed the connection)
[2015-02-15 00:23:11] fabrice31, joining. (#selenium)
[2015-02-15 00:23:32] Brando753, quitting. (Quit: o_O_o)
[2015-02-15 00:25:39] nonny_t, joining. (#selenium)
[2015-02-15 00:27:31] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-15 00:32:25] fatguylaughing, joining. (#selenium)
[2015-02-15 00:37:36] HenriettaSalt_, joining. (#selenium)
[2015-02-15 00:42:13] HenriettaSalt_, quitting. (Ping timeout: 255 seconds)
[2015-02-15 00:43:23] nonny_t, quitting. (Remote host closed the connection)
[2015-02-15 00:46:29] nonny_t, joining. (#selenium)
[2015-02-15 01:37:36] selloggingbot___, joining. (#selenium)
[2015-02-15 01:38:31] HenriettaSalt_, joining. (#selenium)
[2015-02-15 01:43:15] HenriettaSalt_, quitting. (Ping timeout: 256 seconds)
[2015-02-15 01:43:30] nonny_t, quitting. (Remote host closed the connection)
[2015-02-15 01:50:16] aguynamedben, quitting. (Ping timeout: 245 seconds)
[2015-02-15 01:50:24] aguynamedben, joining. (#selenium)
[2015-02-15 02:04:51] jgornick, quitting. (Ping timeout: 245 seconds)
[2015-02-15 02:07:15] jgornick, joining. (#selenium)
[2015-02-15 02:13:39] wicope, quitting. (Remote host closed the connection)
[2015-02-15 02:33:37] mtscout6, quitting. (Ping timeout: 245 seconds)
[2015-02-15 02:34:58] mtscout6, joining. (#selenium)
[2015-02-15 02:39:08] HenriettaSalt_, joining. (#selenium)
[2015-02-15 02:43:47] HenriettaSalt_, quitting. (Ping timeout: 265 seconds)
[2015-02-15 03:06:53] Tuplario, quitting. (Quit: This computer has gone to sleep)
[2015-02-15 03:39:52] HenriettaSalt_, joining. (#selenium)
[2015-02-15 03:43:21] Brando753, joining. (#selenium)
[2015-02-15 03:44:32] HenriettaSalt_, quitting. (Ping timeout: 256 seconds)
[2015-02-15 03:57:22] Brando753, quitting. (Quit: o_O_o)
[2015-02-15 04:00:42] fabrice31, joining. (#selenium)
[2015-02-15 04:05:11] fabrice31, quitting. (Ping timeout: 240 seconds)
[2015-02-15 04:40:38] HenriettaSalt_, joining. (#selenium)
[2015-02-15 04:45:08] HenriettaSalt_, quitting. (Ping timeout: 264 seconds)
[2015-02-15 05:21:10] oriba, joining. (#selenium)
[2015-02-15 05:23:32] nonny_t, joining. (#selenium)
[2015-02-15 05:25:17] operatiay, joining. (#selenium)
[2015-02-15 05:28:17] operatiay, quitting. (Read error: Connection reset by peer)
[2015-02-15 05:29:00] operatiay, joining. (#selenium)
[2015-02-15 05:41:23] HenriettaSalt_, joining. (#selenium)
[2015-02-15 05:42:04] oriba_, joining. (#selenium)
[2015-02-15 05:45:06] oriba_, quitting. (Client Quit)
[2015-02-15 05:45:12] swypych, joining. (#selenium)
[2015-02-15 05:45:14] oriba, quitting. (Ping timeout: 264 seconds)
[2015-02-15 05:45:24] oriba, joining. (#selenium)
[2015-02-15 05:45:42] HenriettaSalt_, quitting. (Ping timeout: 240 seconds)
[2015-02-15 05:49:24] fabrice31, joining. (#selenium)
[2015-02-15 05:51:52] oriba, quitting. (Quit: Verlassend)
[2015-02-15 05:54:08] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-02-15 06:11:51] nonny_t, quitting. (Remote host closed the connection)
[2015-02-15 06:24:16] roel, joining. (#selenium)
[2015-02-15 06:31:32] roel, quitting. (Ping timeout: 252 seconds)
[2015-02-15 06:32:12] roel, joining. (#selenium)
[2015-02-15 06:34:25] roel, quitting. (Read error: No route to host)
[2015-02-15 06:34:31] roel_, joining. (#selenium)
[2015-02-15 06:39:14] roel_, quitting. (Ping timeout: 252 seconds)
[2015-02-15 06:42:08] HenriettaSalt_, joining. (#selenium)
[2015-02-15 06:46:34] HenriettaSalt_, quitting. (Ping timeout: 252 seconds)
[2015-02-15 06:53:47] swypych, quitting. (Remote host closed the connection)
[2015-02-15 07:02:41] smccarthy, joining. (#selenium)
[2015-02-15 07:05:38] operatiay, quitting. (Remote host closed the connection)
[2015-02-15 07:05:52] swypych, joining. (#selenium)
[2015-02-15 07:14:12] operatiay, joining. (#selenium)
[2015-02-15 07:17:06] operatiay, quitting. (Remote host closed the connection)
[2015-02-15 07:20:19] HenriettaSalt_, joining. (#selenium)
[2015-02-15 07:38:14] fabrice31, joining. (#selenium)
[2015-02-15 07:42:42] fabrice31, quitting. (Ping timeout: 245 seconds)
[2015-02-15 07:52:18] nonny_t, joining. (#selenium)
[2015-02-15 07:59:27] swypych, quitting. (Remote host closed the connection)
[2015-02-15 08:01:10] HenriettaSalt_, quitting. (Quit: Zzzzz...)
[2015-02-15 08:07:32] swypych, joining. (#selenium)
