[2015-02-21 00:39:06] eigenvalue, quitting. (Quit: Leaving)
[2015-02-21 00:50:36] fabrice31, joining. (#selenium)
[2015-02-21 00:54:58] fabrice31, quitting. (Ping timeout: 240 seconds)
[2015-02-21 00:57:05] wicope_, joining. (#selenium)
[2015-02-21 00:57:07] wicope_, quitting. (Read error: Connection reset by peer)
[2015-02-21 00:57:14] cristi, quitting. (Ping timeout: 256 seconds)
[2015-02-21 01:21:25] barancev|2, joining. (#selenium)
[2015-02-21 01:21:54] barancev, quitting. (Ping timeout: 252 seconds)
[2015-02-21 02:14:23] p0deje, joining. (#selenium)
[2015-02-21 02:39:44] fabrice31, joining. (#selenium)
[2015-02-21 02:43:58] fabrice31, quitting. (Ping timeout: 240 seconds)
[2015-02-21 03:00:35] emperorcezar, joining. (#selenium)
[2015-02-21 03:00:38] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-21 03:01:14] emperorcezar, joining. (#selenium)
[2015-02-21 03:13:43] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 03:33:25] p0deje, quitting. (Quit: p0deje)
[2015-02-21 03:44:40] p0deje, joining. (#selenium)
[2015-02-21 04:02:31] p0deje, quitting. (Quit: p0deje)
[2015-02-21 04:23:14] emperorcezar, joining. (#selenium)
[2015-02-21 04:28:14] fabrice31, joining. (#selenium)
[2015-02-21 04:32:41] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-21 04:34:39] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 04:55:32] barancev|2, quitting. (Read error: Connection reset by peer)
[2015-02-21 05:08:21] FMJaggy, joining. (#selenium)
[2015-02-21 05:10:45] emperorcezar, joining. (#selenium)
[2015-02-21 05:10:46] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-21 05:11:25] emperorcezar, joining. (#selenium)
[2015-02-21 05:11:36] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-21 05:12:12] emperorcezar, joining. (#selenium)
[2015-02-21 05:21:19] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 05:26:55] FMJaggy, quitting. (Quit: ZNC - http://znc.in)
[2015-02-21 05:28:27] farlan, joining. (#selenium)
[2015-02-21 06:05:35] stryx`_, quitting. (Ping timeout: 245 seconds)
[2015-02-21 06:16:59] fabrice31, joining. (#selenium)
[2015-02-21 06:21:57] fabrice31, quitting. (Ping timeout: 256 seconds)
[2015-02-21 06:23:45] stryx`_, joining. (#selenium)
[2015-02-21 07:02:24] smccarthy, joining. (#selenium)
