[2015-03-07 00:04:08] korg, joining. (#selenium)
[2015-03-07 00:07:43] kggr, quitting. (Ping timeout: 252 seconds)
[2015-03-07 00:08:08] kggr, joining. (#selenium)
[2015-03-07 00:10:32] korg, quitting. (Ping timeout: 272 seconds)
[2015-03-07 00:14:22] kggr, quitting. (Ping timeout: 264 seconds)
[2015-03-07 01:25:14] Selenium-Git, joining. (#selenium)
[2015-03-07 01:25:14] Selenium-Git: [13selenium] 15rasika90 opened pull request #326: Support export to Java/TestNG/ WebDriver on Selenium-IDE #5492 (06master...06exp-testng-webdriver) 02http://git.io/pTBB
[2015-03-07 01:25:14] Selenium-Git, leaving. (#selenium)
[2015-03-07 01:54:10] Selenium-Git, joining. (#selenium)
[2015-03-07 01:54:11] Selenium-Git: [13selenium] 15TikhomirovSergey opened pull request #327: Ability to use types which extend WebElement. findElement/findElements methods (06master...06javaFindBy) 02http://git.io/pT2x
[2015-03-07 01:54:11] Selenium-Git, leaving. (#selenium)
[2015-03-07 02:11:24] ThePeach, joining. (#selenium)
[2015-03-07 02:31:44] bbark123, joining. (#selenium)
[2015-03-07 02:32:34] Hestil, joining. (#selenium)
[2015-03-07 02:36:18] bbark123, quitting. (Ping timeout: 264 seconds)
[2015-03-07 03:12:29] bbark123, joining. (#selenium)
[2015-03-07 03:16:46] bbark123, quitting. (Ping timeout: 240 seconds)
[2015-03-07 03:52:39] bbark123, joining. (#selenium)
[2015-03-07 03:56:53] bbark123, quitting. (Ping timeout: 246 seconds)
[2015-03-07 04:14:30] detronizator, quitting. (Quit: ZNC - http://znc.in)
[2015-03-07 04:42:52] bbark123, joining. (#selenium)
[2015-03-07 04:47:16] bbark123, quitting. (Ping timeout: 240 seconds)
[2015-03-07 04:48:52] vary, joining. (#selenium)
[2015-03-07 04:49:00] vary: Hello Guys
[2015-03-07 04:49:21] vary: I have question regarding Selenium  and phantomjs
[2015-03-07 04:49:47] vary: anybody online?
[2015-03-07 04:49:58] vary: respond asap
[2015-03-07 04:51:17] vary: How to read port of ghost driver in any language?
[2015-03-07 04:53:12] vary: Anybody online
[2015-03-07 04:53:14] vary: ?
[2015-03-07 05:01:19] smaudet, joining. (#selenium)
[2015-03-07 05:11:05] bbark123, joining. (#selenium)
[2015-03-07 05:15:15] Sourcerer, joining. (#selenium)
[2015-03-07 05:17:39] bbark123, quitting. (Ping timeout: 256 seconds)
[2015-03-07 05:37:58] farlan1, joining. (#selenium)
[2015-03-07 05:37:58] farlan, quitting. (Read error: Connection reset by peer)
[2015-03-07 05:40:31] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-03-07 05:54:16] bbark123, joining. (#selenium)
[2015-03-07 05:59:02] bbark123, quitting. (Ping timeout: 256 seconds)
[2015-03-07 06:01:55] tony2, joining. (#selenium)
[2015-03-07 06:14:45] bbark123, joining. (#selenium)
[2015-03-07 06:18:58] bbark123, quitting. (Ping timeout: 245 seconds)
[2015-03-07 06:35:30] vary, quitting. (Quit: Page closed)
[2015-03-07 06:50:47] bbark123, joining. (#selenium)
[2015-03-07 06:54:52] smccarthy, joining. (#selenium)
[2015-03-07 06:55:22] bbark123, quitting. (Ping timeout: 255 seconds)
[2015-03-07 06:56:07] smaudet, quitting. (Ping timeout: 264 seconds)
[2015-03-07 07:05:03] mdilts11, joining. (#selenium)
[2015-03-07 07:06:41] Hestil, quitting. (Remote host closed the connection)
[2015-03-07 07:07:15] Hestil, joining. (#selenium)
[2015-03-07 07:12:00] Hestil, quitting. (Ping timeout: 264 seconds)
[2015-03-07 07:28:33] Hestil, joining. (#selenium)
[2015-03-07 07:31:25] bbark123, joining. (#selenium)
[2015-03-07 07:39:17] bbark123, quitting. (Ping timeout: 240 seconds)
[2015-03-07 08:00:49] bbark123, joining. (#selenium)
