[2015-03-21 00:00:14] IAmNotThatGuy, joining. (#selenium)
[2015-03-21 01:46:33] ddary, joining. (#selenium)
[2015-03-21 01:51:19] Mixologic, quitting. (Read error: Connection reset by peer)
[2015-03-21 01:51:37] Mixologic, joining. (#selenium)
[2015-03-21 01:56:31] amikiri, joining. (#selenium)
[2015-03-21 01:58:01] amikiri, quitting. (Client Quit)
[2015-03-21 02:13:17] ddary, quitting. (Quit: ddary)
[2015-03-21 02:39:33] Simos, joining. (#selenium)
[2015-03-21 03:30:57] FrankyBoy, joining. (#selenium)
[2015-03-21 03:31:04] FrankyBoy, quitting. (Client Quit)
[2015-03-21 03:31:36] FrankyBoy, joining. (#selenium)
[2015-03-21 03:32:32] FrankyBoy, changing nick to Franky1234.
[2015-03-21 03:33:25] Franky1234, changing nick to FrankyBoy1234.
[2015-03-21 03:33:34] FrankyBoy1234, quitting. (Client Quit)
[2015-03-21 03:50:11] eigenvalue, joining. (#selenium)
[2015-03-21 04:08:16] sburjan, quitting. (Quit: Leaving)
[2015-03-21 04:22:03] tony3, joining. (#selenium)
[2015-03-21 04:23:12] tony3, quitting. (Client Quit)
[2015-03-21 04:23:29] tony3, joining. (#selenium)
[2015-03-21 04:32:52] losh, joining. (#selenium)
[2015-03-21 04:37:39] Hestil, joining. (#selenium)
[2015-03-21 05:09:09] tony3, quitting. (Quit: Leaving.)
[2015-03-21 05:20:48] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 05:22:52] oida, joining. (#selenium)
[2015-03-21 05:35:08] FrankyBoy1234, joining. (#selenium)
[2015-03-21 05:35:18] FrankyBoy1234, leaving. (#selenium)
[2015-03-21 05:39:42] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 05:40:01] oida, joining. (#selenium)
[2015-03-21 05:42:00] FrankyBoy1234, joining. (#selenium)
[2015-03-21 05:47:47] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 05:48:20] FrankyBoy1234, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2015-03-21 05:48:34] oida, joining. (#selenium)
[2015-03-21 05:56:27] e661, joining. (#selenium)
[2015-03-21 06:02:57] tony3, joining. (#selenium)
[2015-03-21 06:04:07] tony3, quitting. (Client Quit)
[2015-03-21 06:23:19] sburjan, joining. (#selenium)
[2015-03-21 06:58:20] bgd77, joining. (#selenium)
[2015-03-21 06:59:19] bgd77, quitting. (Client Quit)
[2015-03-21 07:05:22] errant_rider, joining. (#selenium)
[2015-03-21 07:10:47] datajerk, quitting. (Quit: Leaving.)
[2015-03-21 07:17:08] fatguylaughing, joining. (#selenium)
[2015-03-21 07:24:37] datajerk, joining. (#selenium)
[2015-03-21 07:26:09] datajerk, leaving. (#selenium)
[2015-03-21 07:28:04] errant_rider, quitting. (Quit: Leaving.)
[2015-03-21 07:34:55] PavanGupta01, joining. (#selenium)
[2015-03-21 07:41:00] HenriettaSalt, joining. (#selenium)
[2015-03-21 07:41:05] PavanGupta01, quitting. (Quit: PavanGupta01)
[2015-03-21 07:48:39] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 07:53:52] oida, joining. (#selenium)
[2015-03-21 08:00:34] IAmNotThatGuy, quitting. (Remote host closed the connection)
[2015-03-21 08:03:37] anglisc, joining. (#selenium)
[2015-03-21 09:26:33] losh, quitting. (Quit: Leaving)
[2015-03-21 09:31:00] tony3, joining. (#selenium)
[2015-03-21 09:37:36] p0deje, joining. (#selenium)
[2015-03-21 09:40:58] errant_rider, joining. (#selenium)
[2015-03-21 09:41:45] tony3, quitting. (Quit: Leaving.)
[2015-03-21 09:42:19] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 09:42:36] oida, joining. (#selenium)
[2015-03-21 09:43:23] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-03-21 09:43:50] oida, quitting. (Client Quit)
[2015-03-21 09:44:07] oida, joining. (#selenium)
[2015-03-21 09:44:25] HenriettaSalt, joining. (#selenium)
[2015-03-21 09:49:05] HenriettaSalt, quitting. (Ping timeout: 264 seconds)
[2015-03-21 09:50:36] cristi, joining. (#selenium)
[2015-03-21 10:16:40] errant_rider, quitting. (Quit: Leaving.)
[2015-03-21 10:23:12] ato: Does anyone know who owns https://github.com/selenium-ci?
[2015-03-21 10:25:50] tony3, joining. (#selenium)
[2015-03-21 10:28:28] tony3, quitting. (Client Quit)
[2015-03-21 10:28:43] tony3, joining. (#selenium)
[2015-03-21 10:45:09] HenriettaSalt, joining. (#selenium)
[2015-03-21 10:49:37] HenriettaSalt, quitting. (Ping timeout: 255 seconds)
[2015-03-21 10:55:55] p0deje, quitting. (Quit: p0deje)
[2015-03-21 10:56:20] Simos, quitting. (Ping timeout: 252 seconds)
[2015-03-21 10:59:01] errant_rider, joining. (#selenium)
[2015-03-21 11:02:51] Simos, joining. (#selenium)
[2015-03-21 11:04:55] Hestil, quitting. ()
[2015-03-21 11:07:21] HenriettaSalt, joining. (#selenium)
[2015-03-21 11:10:30] Hestil, joining. (#selenium)
[2015-03-21 11:10:39] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-03-21 11:14:40] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-03-21 11:21:33] IAmNotThatGuy, joining. (#selenium)
[2015-03-21 11:24:16] HenriettaSalt, joining. (#selenium)
[2015-03-21 11:30:37] cromero, joining. (#selenium)
[2015-03-21 11:57:03] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 12:11:15] oida, joining. (#selenium)
[2015-03-21 12:14:03] tony3, quitting. (Quit: Leaving.)
[2015-03-21 12:20:16] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-03-21 12:25:40] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-03-21 12:26:34] oida, joining. (#selenium)
[2015-03-21 12:28:01] IAmNotThatGuy, quitting. (Quit: Blah!)
[2015-03-21 13:06:21] oriba, joining. (#selenium)
[2015-03-21 13:14:06] oriba_, joining. (#selenium)
[2015-03-21 13:17:22] oriba, quitting. (Ping timeout: 245 seconds)
[2015-03-21 13:23:25] errant_rider, quitting. (Quit: Leaving.)
[2015-03-21 13:31:12] HenriettaSalt, joining. (#selenium)
[2015-03-21 13:35:28] HenriettaSalt, quitting. (Ping timeout: 252 seconds)
[2015-03-21 13:37:46] Mixologic, quitting. (Ping timeout: 264 seconds)
[2015-03-21 13:39:21] oriba_, changing nick to oriba.
[2015-03-21 13:46:15] po0dle, joining. (#selenium)
[2015-03-21 13:46:45] po0dle: Can Selenium deal with Java applets?
[2015-03-21 13:46:57] rochadt, quitting. (Ping timeout: 245 seconds)
[2015-03-21 13:49:41] lukeis, joining. (#selenium)
[2015-03-21 14:01:22] rochadt, joining. (#selenium)
[2015-03-21 14:01:22] lukeis, quitting. (Read error: Connection reset by peer)
[2015-03-21 14:01:47] lukeis, joining. (#selenium)
[2015-03-21 14:21:11] lukeis, quitting. (Quit: Leaving.)
[2015-03-21 14:22:22] HenriettaSalt, joining. (#selenium)
[2015-03-21 14:23:25] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-03-21 14:23:44] HenriettaSalt, joining. (#selenium)
[2015-03-21 14:28:03] HenriettaSalt, quitting. (Client Quit)
[2015-03-21 14:41:15] tony3, joining. (#selenium)
[2015-03-21 14:50:42] ato: po0dle: Nope.
[2015-03-21 14:51:24] po0dle: Aww : (
[2015-03-21 14:51:44] HenriettaSalt, joining. (#selenium)
[2015-03-21 15:02:29] nirvdrum, joining. (#selenium)
[2015-03-21 15:21:55] ato: po0dle: WebDriver automates the web platform.
[2015-03-21 15:22:05] ato: po0dle: You'll need to look for a Java applet automation solution.
[2015-03-21 15:25:14] oriba, quitting. (Quit: Verlassend)
[2015-03-21 15:26:37] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-03-21 15:27:10] HenriettaSalt, joining. (#selenium)
[2015-03-21 15:31:58] HenriettaSalt, quitting. (Ping timeout: 256 seconds)
[2015-03-21 15:40:37] Simos, quitting. (Remote host closed the connection)
[2015-03-21 15:40:53] tony3, quitting. (Quit: Leaving.)
[2015-03-21 15:51:40] gbola, joining. (#selenium)
