[2015-03-29 00:02:10] javalover, leaving. ("Leaving")
[2015-03-29 00:25:32] gittish, joining. (#selenium)
[2015-03-29 00:34:18] michl68, joining. (#selenium)
[2015-03-29 00:41:08] gittish, quitting. (Quit: gittish)
[2015-03-29 00:53:28] Padawan_, quitting. (Ping timeout: 244 seconds)
[2015-03-29 00:56:17] Padawan_, joining. (#selenium)
[2015-03-29 01:15:22] gittish, joining. (#selenium)
[2015-03-29 01:47:40] Padawan, joining. (#selenium)
[2015-03-29 01:48:39] Padawan_, quitting. (Ping timeout: 250 seconds)
[2015-03-29 01:50:46] oida, quitting. (Ping timeout: 272 seconds)
[2015-03-29 01:53:15] oida, joining. (#selenium)
[2015-03-29 02:22:57] Neo--, joining. (#selenium)
[2015-03-29 03:16:37] p0deje, joining. (#selenium)
[2015-03-29 03:42:00] barancev: :apidocs
[2015-03-29 03:52:12] korg, joining. (#selenium)
[2015-03-29 03:53:43] kggr, quitting. (Ping timeout: 250 seconds)
[2015-03-29 04:27:25] Neo--, quitting. (Read error: Connection reset by peer)
[2015-03-29 04:27:38] Neo--, joining. (#selenium)
[2015-03-29 04:35:27] oida, quitting. (Ping timeout: 265 seconds)
[2015-03-29 04:51:06] p0deje, quitting. (Quit: p0deje)
[2015-03-29 05:25:08] oida, joining. (#selenium)
[2015-03-29 05:34:05] gittish, quitting. (Quit: gittish)
[2015-03-29 05:57:41] gittish, joining. (#selenium)
[2015-03-29 06:00:57] oida, quitting. (Ping timeout: 272 seconds)
[2015-03-29 06:03:42] oida, joining. (#selenium)
[2015-03-29 06:07:10] rananda, quitting. (Quit: Leaving)
[2015-03-29 06:22:32] Neo--, quitting. (Read error: Connection reset by peer)
[2015-03-29 06:23:19] Neo--, joining. (#selenium)
[2015-03-29 06:34:21] oida, quitting. (Ping timeout: 265 seconds)
[2015-03-29 06:40:47] oida, joining. (#selenium)
[2015-03-29 06:55:00] riotz, joining. (#selenium)
[2015-03-29 07:04:54] riotz, quitting. (Changing host)
[2015-03-29 07:04:55] riotz, joining. (#selenium)
[2015-03-29 07:35:01] rtreleaven: thanks barancev I will take that as a no. I would have gone with perl but will now go with python.
