[2015-04-18 00:24:01] vilmos, quitting. (Ping timeout: 250 seconds)
[2015-04-18 00:33:13] michl68, joining. (#selenium)
[2015-04-18 00:43:28] alien_, joining. (#selenium)
[2015-04-18 00:50:06] michl68, quitting. (Quit: michl68)
[2015-04-18 01:04:48] AnConio, quitting. (Ping timeout: 246 seconds)
[2015-04-18 01:11:52] losh, joining. (#selenium)
[2015-04-18 01:14:44] jyrkip, quitting. (Ping timeout: 256 seconds)
[2015-04-18 01:16:59] Guest69740, joining. (#selenium)
[2015-04-18 01:24:37] kggr, joining. (#selenium)
[2015-04-18 01:30:00] oida, quitting. (Ping timeout: 272 seconds)
[2015-04-18 01:32:51] oida, joining. (#selenium)
[2015-04-18 01:47:31] sburjan, quitting. (Read error: Connection reset by peer)
[2015-04-18 01:59:36] kggr, quitting. (Read error: Connection reset by peer)
[2015-04-18 02:02:42] kggr, joining. (#selenium)
[2015-04-18 02:08:14] davehunt, joining. (#selenium)
[2015-04-18 02:12:41] davehunt, quitting. (Ping timeout: 256 seconds)
[2015-04-18 02:14:08] davehunt, joining. (#selenium)
[2015-04-18 02:21:47] kggr, quitting. (Ping timeout: 252 seconds)
[2015-04-18 02:34:30] davehunt, quitting. (Remote host closed the connection)
[2015-04-18 02:37:24] davehunt, joining. (#selenium)
[2015-04-18 02:46:13] Sourcerer, joining. (#selenium)
[2015-04-18 03:16:18] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 03:27:01] davehunt, quitting. (Remote host closed the connection)
[2015-04-18 04:15:52] artyname, joining. (#selenium)
[2015-04-18 04:16:16] artyname, quitting. (Remote host closed the connection)
[2015-04-18 04:18:38] kggr, joining. (#selenium)
[2015-04-18 04:20:44] oida, quitting. (Ping timeout: 276 seconds)
[2015-04-18 04:23:18] oida, joining. (#selenium)
[2015-04-18 04:27:01] Sourcerer, joining. (#selenium)
[2015-04-18 04:27:59] kggr, quitting. (Ping timeout: 272 seconds)
[2015-04-18 04:32:30] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 05:00:12] Sourcerer, joining. (#selenium)
[2015-04-18 05:18:16] alien_, quitting. (Ping timeout: 250 seconds)
[2015-04-18 05:32:31] mwic, quitting. (Quit: Leaving)
[2015-04-18 05:32:37] tony2, joining. (#selenium)
[2015-04-18 05:33:49] losh, quitting. (Quit: Leaving)
[2015-04-18 05:39:07] tony2, quitting. (Quit: Leaving.)
[2015-04-18 05:41:23] kggr, joining. (#selenium)
[2015-04-18 05:57:42] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 06:10:55] Sourcerer, joining. (#selenium)
[2015-04-18 06:21:26] korg, joining. (#selenium)
[2015-04-18 06:23:59] Selenium-Github: [13selenium] 15samitbadle pushed 2 new commits to 06master: 02http://git.io/vvd1r
[2015-04-18 06:24:00] Selenium-Github: 13selenium/06master 14429a2d9 15Samit Badle: Reformat code, no other change
[2015-04-18 06:24:00] Selenium-Github: 13selenium/06master 144f86f01 15Samit Badle: No more duplicate commands in the sidebar while recording. Fixes #396
[2015-04-18 06:25:19] kggr, quitting. (Ping timeout: 264 seconds)
[2015-04-18 06:26:42] korg, quitting. (Ping timeout: 240 seconds)
[2015-04-18 06:27:37] davehunt, joining. (#selenium)
[2015-04-18 06:30:55] farlan, joining. (#selenium)
[2015-04-18 06:32:00] davehunt, quitting. (Ping timeout: 245 seconds)
[2015-04-18 06:38:31] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 06:40:22] Sourcerer, joining. (#selenium)
[2015-04-18 06:43:53] Hestil, joining. (#selenium)
[2015-04-18 06:49:21] dimacus, joining. (#selenium)
[2015-04-18 06:56:09] Hestil, quitting. (Remote host closed the connection)
[2015-04-18 07:00:03] oida, quitting. (Ping timeout: 245 seconds)
[2015-04-18 07:03:13] oida, joining. (#selenium)
[2015-04-18 07:06:33] dimacus, quitting. (Quit: Leaving.)
[2015-04-18 07:10:44] fatguylaughing, joining. (#selenium)
[2015-04-18 07:12:07] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 07:57:01] Hestil, joining. (#selenium)
[2015-04-18 08:01:42] Hestil, quitting. (Ping timeout: 252 seconds)
[2015-04-18 08:04:01] Hestil, joining. (#selenium)
[2015-04-18 08:07:26] p0deje, joining. (#selenium)
[2015-04-18 08:08:54] Hestil, quitting. (Ping timeout: 276 seconds)
[2015-04-18 08:35:50] davehunt, joining. (#selenium)
[2015-04-18 08:36:54] dude-x_, quitting. ()
[2015-04-18 08:39:23] smccarthy, joining. (#selenium)
[2015-04-18 08:39:27] dude-x_, joining. (#selenium)
[2015-04-18 08:40:56] swampdragons, joining. (#selenium)
[2015-04-18 08:46:34] gabecase, joining. (#selenium)
[2015-04-18 08:49:27] dimacus, joining. (#selenium)
[2015-04-18 08:57:01] davehunt, quitting. (Remote host closed the connection)
[2015-04-18 08:57:53] swampdragons, quitting. (Ping timeout: 256 seconds)
[2015-04-18 09:11:41] dimacus, quitting. (Quit: Leaving.)
[2015-04-18 09:18:35] dimacus, joining. (#selenium)
[2015-04-18 09:19:55] michl68, joining. (#selenium)
[2015-04-18 09:27:42] dimacus, quitting. (Quit: Leaving.)
[2015-04-18 09:41:56] gabecase, quitting. (Remote host closed the connection)
[2015-04-18 10:19:44] leandroal, joining. (#selenium)
[2015-04-18 10:31:41] gabecase, joining. (#selenium)
[2015-04-18 10:48:19] cyrixlord, joining. (#selenium)
[2015-04-18 10:51:46] gabecase, quitting. (Remote host closed the connection)
[2015-04-18 10:52:57] p0deje, quitting. (Quit: p0deje)
[2015-04-18 11:20:41] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-04-18 11:52:59] p0deje, joining. (#selenium)
[2015-04-18 11:53:50] cyrixlord, quitting. (Ping timeout: 255 seconds)
[2015-04-18 11:57:37] davehunt, joining. (#selenium)
[2015-04-18 12:02:22] davehunt, quitting. (Ping timeout: 265 seconds)
[2015-04-18 12:17:19] vilmos, joining. (#selenium)
[2015-04-18 12:27:15] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-04-18 12:43:42] michl68, quitting. (Quit: michl68)
[2015-04-18 12:51:02] vilmos, quitting. (Ping timeout: 252 seconds)
[2015-04-18 13:13:28] tony1, joining. (#selenium)
[2015-04-18 13:13:51] tony1, changing nick to Guest9909.
[2015-04-18 13:20:58] Guest9909, quitting. (Quit: Leaving.)
[2015-04-18 13:24:58] tony1, joining. (#selenium)
[2015-04-18 13:25:21] tony1, changing nick to Guest81724.
[2015-04-18 13:41:50] p0deje, quitting. (Quit: p0deje)
[2015-04-18 13:44:48] alien_, joining. (#selenium)
[2015-04-18 13:56:03] Hestil, joining. (#selenium)
[2015-04-18 14:17:49] Hestil, quitting. (Remote host closed the connection)
[2015-04-18 14:20:55] oida, quitting. (Ping timeout: 245 seconds)
[2015-04-18 14:21:11] vilmos, joining. (#selenium)
[2015-04-18 14:25:01] oida, joining. (#selenium)
[2015-04-18 14:31:05] noahsussman__, changing nick to noahsussman.
[2015-04-18 14:36:32] Sourcerer, joining. (#selenium)
[2015-04-18 14:37:10] fatguylaughing, joining. (#selenium)
[2015-04-18 14:38:35] fatguylaughing, quitting. (Client Quit)
[2015-04-18 14:41:32] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-04-18 14:44:33] Mixologic_, quitting. (Read error: Connection reset by peer)
[2015-04-18 14:46:23] Mixologic_, joining. (#selenium)
[2015-04-18 14:47:01] Sourcerer, joining. (#selenium)
[2015-04-18 15:21:23] oida, quitting. (Ping timeout: 256 seconds)
[2015-04-18 15:28:45] Hestil, joining. (#selenium)
[2015-04-18 15:32:52] Hestil, quitting. (Ping timeout: 245 seconds)
[2015-04-18 15:37:25] dimacus, joining. (#selenium)
[2015-04-18 15:44:43] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-04-18 15:44:59] leandroal, joining. (#selenium)
[2015-04-18 15:48:25] dimacus, quitting. (Quit: Leaving.)
[2015-04-18 15:50:27] kdwa, joining. (#selenium)
[2015-04-18 16:11:00] oida, joining. (#selenium)
