[2015-05-02 00:04:22] HenriettaSalt, joining. (#selenium)
[2015-05-02 00:09:02] HenriettaSalt, quitting. (Ping timeout: 255 seconds)
[2015-05-02 00:26:43] Padawan, quitting. (Ping timeout: 240 seconds)
[2015-05-02 00:34:22] oida, quitting. (Ping timeout: 265 seconds)
[2015-05-02 00:37:19] oida, joining. (#selenium)
[2015-05-02 00:51:30] michl68, joining. (#selenium)
[2015-05-02 00:52:17] michl68, quitting. (Client Quit)
[2015-05-02 01:00:58] Hestil, joining. (#selenium)
[2015-05-02 01:05:08] HenriettaSalt, joining. (#selenium)
[2015-05-02 01:10:18] HenriettaSalt, quitting. (Ping timeout: 272 seconds)
[2015-05-02 01:14:29] oida, quitting. (Ping timeout: 265 seconds)
[2015-05-02 01:17:24] oida, joining. (#selenium)
[2015-05-02 01:57:32] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 02:05:57] HenriettaSalt, joining. (#selenium)
[2015-05-02 02:10:34] HenriettaSalt, quitting. (Ping timeout: 265 seconds)
[2015-05-02 02:28:33] merike|away, quitting. (Read error: Connection reset by peer)
[2015-05-02 02:31:10] merike|away, joining. (#selenium)
[2015-05-02 02:31:20] merike|away, changing nick to merike.
[2015-05-02 02:51:14] ir2ivps9, quitting. (Ping timeout: 250 seconds)
[2015-05-02 02:58:23] Hestil, joining. (#selenium)
[2015-05-02 03:01:52] merike, quitting. (Ping timeout: 240 seconds)
[2015-05-02 03:02:40] Hestil, quitting. (Ping timeout: 240 seconds)
[2015-05-02 03:04:11] merike|away, joining. (#selenium)
[2015-05-02 03:04:35] merike|away, changing nick to merike.
[2015-05-02 03:06:40] HenriettaSalt, joining. (#selenium)
[2015-05-02 03:11:55] HenriettaSalt, quitting. (Ping timeout: 276 seconds)
[2015-05-02 03:31:47] merike, changing nick to merike|away.
[2015-05-02 03:31:49] merike|away, changing nick to merike.
[2015-05-02 03:37:22] barancev, quitting. (Ping timeout: 252 seconds)
[2015-05-02 04:01:09] Hestil, joining. (#selenium)
[2015-05-02 04:03:46] p0deje, joining. (#selenium)
[2015-05-02 04:05:29] Hestil, quitting. (Ping timeout: 240 seconds)
[2015-05-02 04:07:24] HenriettaSalt, joining. (#selenium)
[2015-05-02 04:12:10] HenriettaSalt, quitting. (Ping timeout: 256 seconds)
[2015-05-02 04:19:56] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 04:22:40] Hestil, joining. (#selenium)
[2015-05-02 04:28:01] Neo--, joining. (#selenium)
[2015-05-02 04:30:05] gabel, joining. (#selenium)
[2015-05-02 04:30:47] gabel, leaving. (#selenium)
[2015-05-02 04:33:40] Neo--, quitting. (Ping timeout: 246 seconds)
[2015-05-02 04:42:32] tony2, joining. (#selenium)
[2015-05-02 04:53:37] alko, joining. (#selenium)
[2015-05-02 05:08:10] HenriettaSalt, joining. (#selenium)
[2015-05-02 05:12:53] HenriettaSalt, quitting. (Ping timeout: 272 seconds)
[2015-05-02 05:27:54] fabrice31, joining. (#selenium)
[2015-05-02 05:28:18] fabrice31, quitting. (Remote host closed the connection)
[2015-05-02 05:47:57] amikiri, joining. (#selenium)
[2015-05-02 05:51:19] amikiri, quitting. (Client Quit)
[2015-05-02 05:51:50] phasze1, joining. (#selenium)
[2015-05-02 05:54:02] phasze, quitting. (Ping timeout: 256 seconds)
[2015-05-02 06:08:54] HenriettaSalt, joining. (#selenium)
[2015-05-02 06:10:56] sbos99, quitting. (Ping timeout: 244 seconds)
[2015-05-02 06:13:04] HenriettaSalt, quitting. (Ping timeout: 246 seconds)
[2015-05-02 06:34:50] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 06:36:50] sbos99, joining. (#selenium)
[2015-05-02 06:46:11] smccarthy, joining. (#selenium)
[2015-05-02 06:46:24] sbos99, quitting. (Ping timeout: 240 seconds)
[2015-05-02 06:51:54] HenriettaSalt, joining. (#selenium)
[2015-05-02 07:11:22] tony2, quitting. (Quit: Leaving.)
[2015-05-02 07:11:38] tony2, joining. (#selenium)
[2015-05-02 07:13:27] Hestil, joining. (#selenium)
[2015-05-02 07:17:37] sbos99, joining. (#selenium)
[2015-05-02 07:27:49] sbos99, quitting. (Ping timeout: 252 seconds)
[2015-05-02 07:44:37] smccarthy, quitting. (Ping timeout: 250 seconds)
[2015-05-02 08:03:32] tony2, quitting. (Quit: Leaving.)
[2015-05-02 08:39:05] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 08:39:25] Hestil, joining. (#selenium)
[2015-05-02 08:44:36] amikiri, joining. (#selenium)
[2015-05-02 08:45:31] p0deje, quitting. (Quit: p0deje)
[2015-05-02 08:51:29] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 08:53:08] bbarke, leaving. (#selenium)
[2015-05-02 08:54:39] Hestil_, joining. (#selenium)
[2015-05-02 08:55:49] Neo--, joining. (#selenium)
[2015-05-02 08:56:09] Neo--, quitting. (Client Quit)
[2015-05-02 08:57:42] Neo--, joining. (#selenium)
