[2015-05-23 00:02:20] cylon512, quitting. (Quit: leaving)
[2015-05-23 00:16:17] nedo007, joining. (#selenium)
[2015-05-23 00:26:26] p0deje, quitting. (Quit: p0deje)
[2015-05-23 00:28:40] fabrice31, joining. (#selenium)
[2015-05-23 00:33:27] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-05-23 00:44:01] p0deje, joining. (#selenium)
[2015-05-23 00:55:25] b_rare, quitting. (Remote host closed the connection)
[2015-05-23 01:32:13] sbos99, quitting. (Read error: Connection reset by peer)
[2015-05-23 02:10:05] rorycb, joining. (#selenium)
[2015-05-23 02:10:53] p0deje, quitting. (Quit: p0deje)
[2015-05-23 02:14:12] rorycb, quitting. (Ping timeout: 240 seconds)
[2015-05-23 02:17:31] fabrice31, joining. (#selenium)
[2015-05-23 02:22:08] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-05-23 02:27:51] p0deje, joining. (#selenium)
[2015-05-23 02:30:34] Sudhansu, quitting. (Ping timeout: 256 seconds)
[2015-05-23 02:30:56] p0deje, quitting. (Client Quit)
[2015-05-23 03:10:19] Adarsh, joining. (#selenium)
[2015-05-23 03:12:18] Adarsh: Hello Everyone! I am trying to automate a UI and i am facing problem only after clicking on Download Link, In mozilla firefox we get a confirmation(open File) Dialog box, either to Open with or to Save file and then click on ok, I have tried using robot method also, doesn't work, Firefox profile also(even if used throws me the box next time)
[2015-05-23 03:13:01] Adarsh: Anyother method can you please suggest me to handle. I first used th xpath for download link and then afterwards used the switiching to child window code and then used the robot method
[2015-05-23 03:38:22] Adarsh, quitting. (Ping timeout: 246 seconds)
[2015-05-23 03:56:28] sbos99, joining. (#selenium)
[2015-05-23 04:06:16] fabrice31, joining. (#selenium)
[2015-05-23 04:10:23] nedo007, quitting. (Quit: Konversation terminated!)
[2015-05-23 04:10:28] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-05-23 04:10:38] maxorator, joining. (#selenium)
[2015-05-23 04:11:49] epteixeira, joining. (#selenium)
[2015-05-23 04:56:30] epteixeira, quitting. (Quit: Leaving.)
[2015-05-23 05:01:16] farlan, quitting. (Read error: Connection reset by peer)
[2015-05-23 05:01:37] farlan, joining. (#selenium)
[2015-05-23 05:13:48] sbos99, quitting. (Ping timeout: 264 seconds)
[2015-05-23 05:22:08] epteixeira, joining. (#selenium)
[2015-05-23 05:26:46] p0deje, joining. (#selenium)
[2015-05-23 05:29:57] epteixeira1, joining. (#selenium)
[2015-05-23 05:32:32] epteixeira, quitting. (Ping timeout: 244 seconds)
[2015-05-23 05:33:40] p0deje, quitting. (Quit: p0deje)
[2015-05-23 05:44:40] rorycb, joining. (#selenium)
[2015-05-23 05:49:34] rorycb, quitting. (Ping timeout: 272 seconds)
[2015-05-23 05:55:08] fabrice31, joining. (#selenium)
[2015-05-23 05:59:36] fabrice31, quitting. (Ping timeout: 246 seconds)
[2015-05-23 06:03:27] tony3, joining. (#selenium)
[2015-05-23 06:04:06] tony3, quitting. (Client Quit)
[2015-05-23 06:21:32] farlan, quitting. (Read error: Connection reset by peer)
[2015-05-23 06:21:49] farlan, joining. (#selenium)
[2015-05-23 06:42:48] sbos99, joining. (#selenium)
[2015-05-23 06:49:55] dimacus, joining. (#selenium)
[2015-05-23 06:56:51] p0deje, joining. (#selenium)
[2015-05-23 07:00:47] p0deje, quitting. (Client Quit)
[2015-05-23 07:03:52] dimacus, quitting. (Quit: Leaving.)
[2015-05-23 07:16:51] WhereIsMySpoon, quitting. (Quit: http://www.kiwiirc.com/ - A hand crafted IRC client)
[2015-05-23 07:17:02] WhereIsMySpoon, joining. (#selenium)
[2015-05-23 07:20:12] epteixeira1, quitting. (Quit: Leaving.)
[2015-05-23 07:23:35] epteixeira, joining. (#selenium)
[2015-05-23 07:30:38] farlan, quitting. (Quit: Leaving.)
[2015-05-23 07:33:14] epteixeira, quitting. (Quit: Leaving.)
[2015-05-23 07:36:03] epteixeira, joining. (#selenium)
[2015-05-23 07:36:03] epteixeira, quitting. (Client Quit)
[2015-05-23 07:43:56] fabrice31, joining. (#selenium)
[2015-05-23 07:48:36] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-05-23 07:50:42] cylon512, joining. (#selenium)
[2015-05-23 07:55:06] farlan, joining. (#selenium)
[2015-05-23 07:56:25] farlan, quitting. (Client Quit)
[2015-05-23 08:01:46] juangj_, quitting. (Ping timeout: 276 seconds)
[2015-05-23 08:02:00] juangj, joining. (#selenium)
[2015-05-23 08:18:36] smccarthy, joining. (#selenium)
[2015-05-23 08:18:45] michl68, joining. (#selenium)
[2015-05-23 08:19:18] michl68, quitting. (Client Quit)
[2015-05-23 08:23:28] Padawan, quitting. (Ping timeout: 272 seconds)
[2015-05-23 08:24:15] Padawan, joining. (#selenium)
[2015-05-23 08:52:53] Tuplario, joining. (#selenium)
[2015-05-23 09:13:21] Cache_Money, joining. (#selenium)
[2015-05-23 09:15:07] alko, joining. (#selenium)
[2015-05-23 09:21:45] alko, quitting. (Ping timeout: 272 seconds)
[2015-05-23 09:21:56] alko, joining. (#selenium)
[2015-05-23 09:22:34] rorycb, joining. (#selenium)
[2015-05-23 09:26:49] rorycb, quitting. (Ping timeout: 250 seconds)
[2015-05-23 09:27:29] Cache_Money, quitting. (Quit: Cache_Money)
[2015-05-23 09:32:11] terratoma, quitting. (Quit: leaving)
[2015-05-23 09:32:47] fabrice31, joining. (#selenium)
[2015-05-23 09:33:29] alko, quitting. (Ping timeout: 264 seconds)
[2015-05-23 09:33:54] yenaemj, joining. (#selenium)
[2015-05-23 09:37:29] fabrice31, quitting. (Ping timeout: 265 seconds)
[2015-05-23 09:45:52] yenaemj, quitting. (Read error: Connection reset by peer)
[2015-05-23 09:46:17] yenaemj, joining. (#selenium)
[2015-05-23 10:11:20] mekhami, joining. (#selenium)
[2015-05-23 10:21:23] Cache_Money, joining. (#selenium)
[2015-05-23 10:27:00] yenaemj, quitting. (Ping timeout: 256 seconds)
[2015-05-23 10:27:34] sbos99, quitting. (Ping timeout: 244 seconds)
[2015-05-23 10:28:48] yenaemj, joining. (#selenium)
[2015-05-23 10:31:39] dimacus, joining. (#selenium)
[2015-05-23 10:37:42] dimacus, leaving. (#selenium)
[2015-05-23 10:40:02] yenaemj, quitting. (Ping timeout: 256 seconds)
[2015-05-23 10:51:15] mekhami, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-05-23 10:51:53] HenriettaSalt, joining. (#selenium)
[2015-05-23 10:53:12] merike, changing nick to merike|away.
[2015-05-23 10:53:13] merike|away, changing nick to merike.
[2015-05-23 11:10:19] Cache_Money, quitting. (Quit: Cache_Money)
[2015-05-23 11:21:38] fabrice31, joining. (#selenium)
[2015-05-23 11:22:45] Cache_Money, joining. (#selenium)
[2015-05-23 11:25:49] epteixeira1, joining. (#selenium)
[2015-05-23 11:25:49] admc, joining. (#selenium)
[2015-05-23 11:26:31] fabrice31, quitting. (Ping timeout: 276 seconds)
[2015-05-23 11:30:28] sbos99, joining. (#selenium)
[2015-05-23 11:32:37] HenriettaSalt_, joining. (#selenium)
[2015-05-23 11:32:48] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-05-23 11:35:18] admc, quitting. (Quit: Leaving.)
[2015-05-23 11:36:11] mekhami, joining. (#selenium)
[2015-05-23 11:40:10] mekhami, quitting. (Client Quit)
[2015-05-23 12:13:51] merike_, joining. (#selenium)
[2015-05-23 12:17:26] merike, quitting. (Ping timeout: 240 seconds)
[2015-05-23 12:17:26] merike_, changing nick to merike.
[2015-05-23 12:18:56] HenriettaSalt_, quitting. (Quit: Lingo: www.lingoirc.com)
[2015-05-23 12:36:26] Tuplario, quitting. (Quit: This computer has gone to sleep)
