[2015-06-20 00:00:50] Padawan, quitting. (Ping timeout: 264 seconds)
[2015-06-20 00:03:03] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-20 00:06:02] Padawan, joining. (#selenium)
[2015-06-20 00:30:58] fabrice31, joining. (#selenium)
[2015-06-20 00:35:47] fabrice31, quitting. (Ping timeout: 256 seconds)
[2015-06-20 00:36:29] mach6, joining. (#selenium)
[2015-06-20 00:41:14] mach6, quitting. (Ping timeout: 245 seconds)
[2015-06-20 00:48:55] tjt263, joining. (#selenium)
[2015-06-20 00:53:39] tjt263, quitting. (Ping timeout: 252 seconds)
[2015-06-20 00:55:01] Ardesco, joining. (#selenium)
[2015-06-20 00:59:17] rorycb, joining. (#selenium)
[2015-06-20 01:03:44] rorycb, quitting. (Ping timeout: 252 seconds)
[2015-06-20 01:08:49] Ardesco, quitting. (Quit: Ardesco)
[2015-06-20 01:21:58] cristi, joining. (#selenium)
[2015-06-20 01:37:19] mach6, joining. (#selenium)
[2015-06-20 01:37:28] sorinb_, joining. (#selenium)
[2015-06-20 01:39:14] sorinb, quitting. (Ping timeout: 264 seconds)
[2015-06-20 01:42:19] mach6, quitting. (Ping timeout: 265 seconds)
[2015-06-20 02:05:43] zeljkof-away, changing nick to zeljkof.
[2015-06-20 02:19:51] fabrice31, joining. (#selenium)
[2015-06-20 02:24:39] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-06-20 02:38:04] mach6, joining. (#selenium)
[2015-06-20 02:42:33] mach6, quitting. (Ping timeout: 252 seconds)
[2015-06-20 02:46:10] pte_petey, joining. (#selenium)
[2015-06-20 03:00:41] rorycb, joining. (#selenium)
[2015-06-20 03:05:28] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-20 03:38:52] mach6, joining. (#selenium)
[2015-06-20 03:41:31] sorinb_, quitting. (Ping timeout: 256 seconds)
[2015-06-20 03:43:25] mach6, quitting. (Ping timeout: 252 seconds)
[2015-06-20 03:58:12] tjt263, joining. (#selenium)
[2015-06-20 04:03:04] tjt263, quitting. (Ping timeout: 244 seconds)
[2015-06-20 04:08:42] fabrice31, joining. (#selenium)
[2015-06-20 04:13:37] fabrice31, quitting. (Ping timeout: 265 seconds)
[2015-06-20 04:29:00] zeljkof, changing nick to zeljkof-lunch.
[2015-06-20 04:34:28] sorinb, joining. (#selenium)
[2015-06-20 04:39:35] mach6, joining. (#selenium)
[2015-06-20 04:42:44] anglisc, quitting. (Quit: I quit :))
[2015-06-20 04:44:05] mach6, quitting. (Ping timeout: 246 seconds)
[2015-06-20 05:02:31] rorycb, joining. (#selenium)
[2015-06-20 05:02:56] sorinb_, joining. (#selenium)
[2015-06-20 05:04:43] sorinb, quitting. (Ping timeout: 255 seconds)
[2015-06-20 05:07:22] rorycb, quitting. (Ping timeout: 276 seconds)
[2015-06-20 05:25:59] sorinb, joining. (#selenium)
[2015-06-20 05:27:48] sorinb_, quitting. (Ping timeout: 244 seconds)
[2015-06-20 05:30:46] zeljkof-lunch, changing nick to zeljkof.
[2015-06-20 05:33:55] sorinb_, joining. (#selenium)
[2015-06-20 05:34:26] sorinb, quitting. (Ping timeout: 256 seconds)
[2015-06-20 05:40:36] mach6, joining. (#selenium)
[2015-06-20 05:45:12] sorinb_, quitting. (Ping timeout: 256 seconds)
[2015-06-20 05:45:27] mach6, quitting. (Ping timeout: 265 seconds)
[2015-06-20 05:52:12] sorinb, joining. (#selenium)
[2015-06-20 05:56:08] dimacus, joining. (#selenium)
[2015-06-20 05:57:28] fabrice31, joining. (#selenium)
[2015-06-20 05:58:07] dimacus, quitting. (Client Quit)
[2015-06-20 06:02:03] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-06-20 06:07:06] tjt263, joining. (#selenium)
[2015-06-20 06:12:14] tjt263, quitting. (Ping timeout: 244 seconds)
[2015-06-20 06:41:06] mach6, joining. (#selenium)
[2015-06-20 06:45:40] mach6, quitting. (Ping timeout: 264 seconds)
[2015-06-20 07:04:08] rorycb, joining. (#selenium)
[2015-06-20 07:08:33] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-06-20 07:09:27] fatguylaughing, joining. (#selenium)
[2015-06-20 07:41:56] mach6, joining. (#selenium)
[2015-06-20 07:42:53] tony3, joining. (#selenium)
[2015-06-20 07:46:53] mach6, quitting. (Ping timeout: 256 seconds)
[2015-06-20 07:47:40] smccarthy, joining. (#selenium)
[2015-06-20 08:03:08] tony3, quitting. (Quit: Leaving.)
[2015-06-20 08:04:14] Sudhansu, joining. (#selenium)
[2015-06-20 08:07:45] juggle, joining. (#selenium)
[2015-06-20 08:12:56] cristi, quitting. (Ping timeout: 245 seconds)
[2015-06-20 08:13:12] tjt263, joining. (#selenium)
[2015-06-20 08:18:38] tjt263, quitting. (Ping timeout: 256 seconds)
[2015-06-20 08:18:39] zeljkof, changing nick to zeljkof-away.
[2015-06-20 08:21:09] swampdragons, joining. (#selenium)
[2015-06-20 08:23:41] swampdragons, quitting. (Client Quit)
[2015-06-20 08:31:51] cristi, joining. (#selenium)
[2015-06-20 08:39:20] Sudhansu, quitting. (Quit: Sudhansu)
[2015-06-20 08:42:39] mach6, joining. (#selenium)
[2015-06-20 08:47:00] mach6, quitting. (Ping timeout: 246 seconds)
[2015-06-20 08:47:26] p0deje, joining. (#selenium)
[2015-06-20 08:51:39] cristi, quitting. (Remote host closed the connection)
[2015-06-20 08:54:22] pericles, joining. (#selenium)
[2015-06-20 09:05:37] rorycb, joining. (#selenium)
[2015-06-20 09:09:59] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-06-20 09:16:23] sorinb_, joining. (#selenium)
[2015-06-20 09:16:59] sorinb, quitting. (Ping timeout: 276 seconds)
[2015-06-20 09:17:14] systemd0wn, quitting. (Remote host closed the connection)
[2015-06-20 09:18:09] systemd0wn, joining. (#selenium)
[2015-06-20 09:18:46] smccarthy, quitting. (Remote host closed the connection)
[2015-06-20 09:43:26] mach6, joining. (#selenium)
[2015-06-20 09:47:55] mach6, quitting. (Ping timeout: 250 seconds)
[2015-06-20 10:44:12] mach6, joining. (#selenium)
[2015-06-20 10:48:22] nirvdrum, joining. (#selenium)
[2015-06-20 10:48:46] mach6, quitting. (Ping timeout: 245 seconds)
[2015-06-20 11:01:39] nirvdrum, quitting. (Ping timeout: 276 seconds)
[2015-06-20 11:06:58] rorycb, joining. (#selenium)
[2015-06-20 11:11:21] pte_petey, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2015-06-20 11:11:28] rorycb, quitting. (Ping timeout: 256 seconds)
[2015-06-20 11:21:09] fabrice31, joining. (#selenium)
[2015-06-20 11:21:39] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-06-20 11:25:27] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-06-20 11:38:00] Neo--_, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-06-20 11:44:59] mach6, joining. (#selenium)
[2015-06-20 11:49:15] mach6, quitting. (Ping timeout: 250 seconds)
[2015-06-20 12:04:04] gabecase, joining. (#selenium)
[2015-06-20 12:19:16] tony3, joining. (#selenium)
[2015-06-20 12:24:00] p0deje, quitting. (Quit: p0deje)
[2015-06-20 12:37:53] p0deje, joining. (#selenium)
[2015-06-20 12:40:50] pte_petey, joining. (#selenium)
[2015-06-20 12:41:16] gabecase, quitting. (Remote host closed the connection)
[2015-06-20 12:41:44] gabecase, joining. (#selenium)
[2015-06-20 12:45:44] mach6, joining. (#selenium)
[2015-06-20 12:46:07] gabecase, quitting. (Ping timeout: 256 seconds)
[2015-06-20 12:50:06] mach6, quitting. (Ping timeout: 244 seconds)
[2015-06-20 12:50:30] p0deje, quitting. (Quit: p0deje)
[2015-06-20 12:53:25] mach6, joining. (#selenium)
[2015-06-20 12:54:39] mach6, quitting. (Client Quit)
[2015-06-20 13:08:35] rorycb, joining. (#selenium)
[2015-06-20 13:09:18] tony3, quitting. (Quit: Leaving.)
[2015-06-20 13:10:06] fabrice31, joining. (#selenium)
[2015-06-20 13:11:57] akafred_, joining. (#selenium)
[2015-06-20 13:12:00] trauty_, joining. (#selenium)
[2015-06-20 13:12:04] tourdedave_, joining. (#selenium)
[2015-06-20 13:12:30] jcp, joining. (#selenium)
[2015-06-20 13:12:46] psftw_, joining. (#selenium)
[2015-06-20 13:13:00] zeljkof-away_, joining. (#selenium)
