[2015-06-27 00:07:54] gabecase, joining. (#selenium)
[2015-06-27 00:07:58] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 00:10:11] p0deje, quitting. (Quit: p0deje)
[2015-06-27 00:24:51] rorycb, joining. (#selenium)
[2015-06-27 00:29:50] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-27 00:59:07] Ardesco, joining. (#selenium)
[2015-06-27 01:03:07] daemon, joining. (#selenium)
[2015-06-27 01:07:52] daemon, quitting. (Ping timeout: 256 seconds)
[2015-06-27 01:08:51] juggle, joining. (#selenium)
[2015-06-27 01:43:24] davehunt, joining. (#selenium)
[2015-06-27 01:49:04] davehunt, quitting. (Remote host closed the connection)
[2015-06-27 02:26:23] rorycb, joining. (#selenium)
[2015-06-27 02:30:38] rorycb, quitting. (Ping timeout: 250 seconds)
[2015-06-27 03:49:06] Kyl9, joining. (#selenium)
[2015-06-27 04:00:37] Tashi_, changing nick to Tashi.
[2015-06-27 04:46:39] michl68, joining. (#selenium)
[2015-06-27 04:53:43] daemon, joining. (#selenium)
[2015-06-27 05:04:14] fabrice31, joining. (#selenium)
[2015-06-27 05:10:57] Padawan, joining. (#selenium)
[2015-06-27 05:13:58] Padawan_, quitting. (Ping timeout: 256 seconds)
[2015-06-27 05:14:43] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 05:37:03] maxorator, quitting. (Excess Flood)
[2015-06-27 05:37:04] Kyl9, joining. (#selenium)
[2015-06-27 05:37:10] maxorator, joining. (#selenium)
[2015-06-27 05:40:28] nirvdrum, joining. (#selenium)
[2015-06-27 05:47:02] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 05:48:49] fabrice31, quitting. (Remote host closed the connection)
[2015-06-27 05:53:20] nirvdrum, quitting. (Ping timeout: 246 seconds)
[2015-06-27 06:06:05] michl68, quitting. (Quit: michl68)
[2015-06-27 06:11:53] Kyl9, joining. (#selenium)
[2015-06-27 06:22:03] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 06:25:27] Kyl9, joining. (#selenium)
[2015-06-27 06:38:39] KaibutsuX_, quitting. (Ping timeout: 252 seconds)
[2015-06-27 06:44:38] tony2, joining. (#selenium)
[2015-06-27 06:45:31] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 07:22:17] trcjr, quitting. (Ping timeout: 244 seconds)
[2015-06-27 07:22:17] trcjr_, changing nick to trcjr.
[2015-06-27 07:22:18] trcjr, quitting. (Changing host)
[2015-06-27 07:22:18] trcjr, joining. (#selenium)
[2015-06-27 07:25:05] cubed_root, quitting. (Quit: Konversation terminated!)
[2015-06-27 07:26:05] trcjr_, joining. (#selenium)
[2015-06-27 07:36:05] smccarthy, joining. (#selenium)
[2015-06-27 07:45:15] tony2, quitting. (Quit: Leaving.)
[2015-06-27 07:46:30] Kyl9, joining. (#selenium)
[2015-06-27 07:49:29] Neo--, joining. (#selenium)
[2015-06-27 07:51:43] Kyl9, quitting. (Ping timeout: 264 seconds)
[2015-06-27 08:08:15] tony2, joining. (#selenium)
[2015-06-27 08:19:50] l3dx, joining. (#selenium)
[2015-06-27 08:21:25] aaronhumerickhou, joining. (#selenium)
[2015-06-27 08:28:54] p0deje, joining. (#selenium)
[2015-06-27 08:31:29] rorycb, joining. (#selenium)
[2015-06-27 08:36:14] rorycb, quitting. (Ping timeout: 276 seconds)
[2015-06-27 08:45:59] Kyl9, joining. (#selenium)
[2015-06-27 08:54:20] jyrki, joining. (#selenium)
[2015-06-27 08:54:44] jyrki, changing nick to Guest29939.
[2015-06-27 08:57:42] WE1LS, joining. (#selenium)
[2015-06-27 09:02:08] smccarthy, quitting. (Remote host closed the connection)
[2015-06-27 09:09:34] aaronhumerickhou, quitting. (Remote host closed the connection)
[2015-06-27 09:09:57] tony2, quitting. (Quit: Leaving.)
[2015-06-27 09:28:17] tony2, joining. (#selenium)
[2015-06-27 09:32:03] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 09:32:32] tony2, quitting. (Client Quit)
[2015-06-27 09:35:07] Kyl9, joining. (#selenium)
[2015-06-27 09:39:47] WE1LS, quitting. (Remote host closed the connection)
[2015-06-27 09:43:09] Skywalker, quitting. (Ping timeout: 256 seconds)
[2015-06-27 09:46:00] Selenium-Github: [13selenium] 15asashour closed pull request #632: @NotYetImplemented test annotation (06master...06NotYetImplemented_annotation) 02http://git.io/vIu5Y
[2015-06-27 09:46:49] gabecase, joining. (#selenium)
[2015-06-27 09:52:59] Selenium-Github: [13selenium] 15asashour opened pull request #717: Add test annotation @NotYetImplemented (06master...06NotYetImplemented_annotation) 02http://git.io/vtRx0
[2015-06-27 09:57:34] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 10:00:44] terratoma, quitting. (Ping timeout: 276 seconds)
[2015-06-27 10:01:30] terratoma, joining. (#selenium)
[2015-06-27 10:04:27] gabecase, joining. (#selenium)
[2015-06-27 10:33:16] rorycb, joining. (#selenium)
[2015-06-27 10:35:03] admc, joining. (#selenium)
[2015-06-27 10:36:24] smccarthy, joining. (#selenium)
[2015-06-27 10:37:41] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-27 10:38:52] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 10:49:16] p_l: anyone uses WebDriver to deal with SmartClient
[2015-06-27 10:49:17] p_l: ?
[2015-06-27 10:50:37] p_l: trying to figure out their weird locators, but even if I find an element I end up with exceptions due to event proxy
[2015-06-27 10:59:32] gabecase, joining. (#selenium)
[2015-06-27 10:59:58] l3dx, quitting. (Quit: Connection closed for inactivity)
[2015-06-27 11:02:08] p0deje, quitting. (Quit: p0deje)
[2015-06-27 11:10:08] smccarthy, quitting. (Remote host closed the connection)
[2015-06-27 11:13:09] p0deje, joining. (#selenium)
[2015-06-27 11:15:45] Alchemy, joining. (#selenium)
[2015-06-27 11:16:02] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 11:16:25] admc, quitting. (Quit: Leaving.)
[2015-06-27 11:19:55] daemon, quitting. (Ping timeout: 256 seconds)
[2015-06-27 11:21:23] gabecase, joining. (#selenium)
[2015-06-27 11:34:54] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 11:45:39] Kyl9, quitting. (Remote host closed the connection)
