[2015-07-12 00:07:36] leandroal, joining. (#selenium)
[2015-07-12 00:10:34] leandroal, quitting. (Client Quit)
[2015-07-12 00:12:29] MXfive, quitting. (Quit: Sleep)
[2015-07-12 00:28:02] sjmikem, joining. (#selenium)
[2015-07-12 00:35:03] MXfive, joining. (#selenium)
[2015-07-12 00:38:27] MXfive, quitting. (Client Quit)
[2015-07-12 01:08:50] fabrice31, joining. (#selenium)
[2015-07-12 01:13:10] fabrice31, quitting. (Ping timeout: 244 seconds)
[2015-07-12 01:14:39] phasze1, joining. (#selenium)
[2015-07-12 01:15:48] phasze, quitting. (Ping timeout: 252 seconds)
[2015-07-12 01:19:53] p0deje, joining. (#selenium)
[2015-07-12 01:30:12] sgsabbage, joining. (#selenium)
[2015-07-12 01:32:49] p0deje, quitting. (Quit: p0deje)
[2015-07-12 01:36:53] MXfive, joining. (#selenium)
[2015-07-12 01:38:46] MXfive, quitting. (Client Quit)
[2015-07-12 01:39:47] MXfive, joining. (#selenium)
[2015-07-12 01:40:23] MXfive, quitting. (Client Quit)
[2015-07-12 01:48:50] Ardesco, joining. (#selenium)
[2015-07-12 01:59:42] sgsabbage, quitting. (Quit: Leaving...)
[2015-07-12 02:01:47] home, joining. (#selenium)
[2015-07-12 02:03:50] home, quitting. (Client Quit)
[2015-07-12 02:13:49] Ardesco, quitting. (Quit: Ardesco)
[2015-07-12 03:09:34] fabrice31, joining. (#selenium)
[2015-07-12 03:14:09] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-07-12 04:05:21] michl68, joining. (#selenium)
[2015-07-12 04:35:40] michl68, quitting. (Quit: michl68)
[2015-07-12 05:10:22] fabrice31, joining. (#selenium)
[2015-07-12 05:14:53] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-07-12 05:20:01] Ardesco, joining. (#selenium)
[2015-07-12 05:25:18] Ardesco, quitting. (Quit: Ardesco)
[2015-07-12 05:41:55] Ardesco, joining. (#selenium)
[2015-07-12 05:50:17] pte_petey, joining. (#selenium)
[2015-07-12 05:54:46] pte_petey, quitting. (Client Quit)
[2015-07-12 05:57:51] Sudhansu, joining. (#selenium)
[2015-07-12 05:59:01] pte_petey, joining. (#selenium)
[2015-07-12 06:21:50] Ardesco, quitting. (Quit: Ardesco)
[2015-07-12 06:25:07] Ardesco, joining. (#selenium)
[2015-07-12 06:26:14] Ardesco, quitting. (Client Quit)
[2015-07-12 06:34:15] Ardesco, joining. (#selenium)
[2015-07-12 06:36:10] Ardesco, quitting. (Client Quit)
[2015-07-12 06:43:03] Ardesco, joining. (#selenium)
[2015-07-12 06:44:04] Ardesco, quitting. (Client Quit)
[2015-07-12 06:50:51] Ardesco, joining. (#selenium)
[2015-07-12 06:51:13] Ardesco, quitting. (Client Quit)
[2015-07-12 06:51:23] pte_petey, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2015-07-12 06:54:06] Ardesco, joining. (#selenium)
[2015-07-12 06:54:47] pte_petey, joining. (#selenium)
