[2015-07-25 00:04:10] smccarthy, quitting. (Remote host closed the connection)
[2015-07-25 00:07:05] p0deje, joining. (#selenium)
[2015-07-25 00:20:02] p0deje, quitting. (Quit: p0deje)
[2015-07-25 00:35:28] michl68, joining. (#selenium)
[2015-07-25 00:40:24] michl68, quitting. (Quit: michl68)
[2015-07-25 00:43:26] korg, quitting. (Ping timeout: 246 seconds)
[2015-07-25 01:40:16] railswebdev, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-07-25 02:07:14] andy_seit, joining. (#selenium)
[2015-07-25 02:31:20] railswebdev, joining. (#selenium)
[2015-07-25 02:39:05] rorycb, joining. (#selenium)
[2015-07-25 02:43:38] rorycb, quitting. (Ping timeout: 272 seconds)
[2015-07-25 02:52:20] michl68, joining. (#selenium)
[2015-07-25 02:57:11] juangj, quitting. (Ping timeout: 244 seconds)
[2015-07-25 02:57:25] juangj, joining. (#selenium)
[2015-07-25 03:07:19] phasze1, joining. (#selenium)
[2015-07-25 03:08:13] phasze, quitting. (Ping timeout: 240 seconds)
[2015-07-25 03:32:48] dude-x, joining. (#selenium)
[2015-07-25 03:37:03] dude-x, quitting. (Ping timeout: 246 seconds)
[2015-07-25 03:47:38] kggr, joining. (#selenium)
[2015-07-25 03:56:39] cylon512, joining. (#selenium)
[2015-07-25 03:57:28] sgsabbage, joining. (#selenium)
[2015-07-25 04:05:05] sgsabbage, quitting. (Quit: Leaving...)
[2015-07-25 04:12:48] kggr, quitting. (Ping timeout: 256 seconds)
[2015-07-25 04:25:03] kggr, joining. (#selenium)
[2015-07-25 04:27:49] sgsabbage, joining. (#selenium)
[2015-07-25 04:31:00] railswebdev, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-07-25 04:54:20] sgsabbage, quitting. (Quit: Leaving...)
[2015-07-25 05:06:38] kggr, quitting. (Ping timeout: 256 seconds)
[2015-07-25 05:17:14] arbos, joining. (#selenium)
[2015-07-25 05:42:58] michl68, quitting. (Quit: michl68)
[2015-07-25 06:01:32] kggr, joining. (#selenium)
[2015-07-25 06:40:47] rorycb, joining. (#selenium)
[2015-07-25 06:45:11] rorycb, quitting. (Ping timeout: 240 seconds)
[2015-07-25 06:55:31] railswebdev, joining. (#selenium)
[2015-07-25 07:30:42] andy_seit, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2015-07-25 08:09:52] tony3, joining. (#selenium)
[2015-07-25 08:17:12] smccarthy, joining. (#selenium)
[2015-07-25 08:44:37] tony3, quitting. (Quit: Leaving.)
[2015-07-25 08:55:38] p0deje, joining. (#selenium)
[2015-07-25 09:04:52] lvanderpool, changing nick to mekhami.
[2015-07-25 09:12:53] p0deje, quitting. (Quit: p0deje)
[2015-07-25 09:14:25] p0deje, joining. (#selenium)
[2015-07-25 10:19:59] sjmikem, joining. (#selenium)
[2015-07-25 10:31:53] kriskropd, quitting. (Ping timeout: 244 seconds)
[2015-07-25 10:35:25] kriskropd, joining. (#selenium)
[2015-07-25 10:42:23] rorycb, joining. (#selenium)
[2015-07-25 10:46:42] rorycb, quitting. (Ping timeout: 240 seconds)
[2015-07-25 11:20:27] smccarthy, quitting. (Remote host closed the connection)
[2015-07-25 11:34:54] fatguylaughing, joining. (#selenium)
[2015-07-25 11:38:15] p0deje, quitting. (Quit: p0deje)
[2015-07-25 11:46:14] jakubojo, joining. (#selenium)
[2015-07-25 11:46:31] jakubojo, leaving. (#selenium)
[2015-07-25 11:47:03] dimacus, joining. (#selenium)
[2015-07-25 12:04:16] smccarthy, joining. (#selenium)
[2015-07-25 12:07:00] rplevka, joining. (#selenium)
[2015-07-25 12:08:52] sjmikem, quitting. (Ping timeout: 265 seconds)
[2015-07-25 12:11:47] dude-x, joining. (#selenium)
[2015-07-25 12:16:21] dimacus, quitting. (Ping timeout: 250 seconds)
[2015-07-25 12:21:09] dimacus, joining. (#selenium)
[2015-07-25 12:24:36] railswebdev, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-07-25 12:30:16] rplevka, quitting. (Ping timeout: 244 seconds)
[2015-07-25 12:52:06] kggr, quitting. (Ping timeout: 246 seconds)
[2015-07-25 13:04:14] railswebdev, joining. (#selenium)
[2015-07-25 13:09:14] tony3, joining. (#selenium)
[2015-07-25 13:23:59] sjmikem, joining. (#selenium)
[2015-07-25 13:38:21] tony3, quitting. (Quit: Leaving.)
[2015-07-25 13:46:20] dimacus, quitting. (Quit: Leaving.)
[2015-07-25 13:47:18] anu_c, joining. (#selenium)
[2015-07-25 13:48:02] dude-x, quitting. (Remote host closed the connection)
[2015-07-25 14:05:51] anu_c, quitting. (Ping timeout: 244 seconds)
[2015-07-25 14:06:22] knownasilya, joining. (#selenium)
[2015-07-25 14:43:58] rorycb, joining. (#selenium)
[2015-07-25 14:48:28] rorycb, quitting. (Ping timeout: 255 seconds)
