[2015-08-01 00:12:18] kggr, quitting. (Ping timeout: 252 seconds)
[2015-08-01 00:23:17] selbot2_, joining. (#selenium)
[2015-08-01 00:23:18] selbot2_, joining. (#seleniumide)
[2015-08-01 00:43:36] smccarthy, quitting. (Quit: Leaving...)
[2015-08-01 00:47:04] jeffmjack_, quitting. (Quit: Connection closed for inactivity)
[2015-08-01 01:32:20] Ardesco, joining. (#selenium)
[2015-08-01 01:34:45] cylon512, joining. (#selenium)
[2015-08-01 02:29:43] cylon512, quitting. (Quit: leaving)
[2015-08-01 02:32:47] alien_, joining. (#selenium)
[2015-08-01 02:44:52] selbot2_, joining. (#selenium)
[2015-08-01 02:44:53] selbot2_, joining. (#seleniumide)
[2015-08-01 02:52:09] Sudhansu, joining. (#selenium)
[2015-08-01 03:02:12] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-08-01 03:17:20] alien_, quitting. (Ping timeout: 255 seconds)
[2015-08-01 03:47:55] oida, quitting. (Ping timeout: 246 seconds)
[2015-08-01 03:55:07] selbot2_, joining. (#selenium)
[2015-08-01 03:55:07] selbot2_, joining. (#seleniumide)
[2015-08-01 04:07:56] rorycb, joining. (#selenium)
[2015-08-01 04:12:00] rorycb, quitting. (Ping timeout: 240 seconds)
[2015-08-01 04:16:05] Ardesco, quitting. (Quit: Ardesco)
[2015-08-01 04:28:43] merike|away, changing nick to merike.
[2015-08-01 04:30:00] someone235, quitting. (Ping timeout: 244 seconds)
[2015-08-01 04:37:24] Nizumzen, joining. (#selenium)
[2015-08-01 04:49:37] someone235, joining. (#selenium)
[2015-08-01 04:57:55] someone235, quitting. (Ping timeout: 244 seconds)
[2015-08-01 05:05:20] Sudhansu, quitting. (Quit: Sudhansu)
[2015-08-01 05:06:11] jgornick, quitting. (Ping timeout: 244 seconds)
[2015-08-01 05:12:08] jgornick, joining. (#selenium)
[2015-08-01 05:14:11] someone235, joining. (#selenium)
[2015-08-01 05:14:11] someone235, quitting. (Changing host)
[2015-08-01 05:14:12] someone235, joining. (#selenium)
[2015-08-01 05:19:29] Sudhansu, joining. (#selenium)
[2015-08-01 05:30:24] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-08-01 05:35:26] farlan, joining. (#selenium)
[2015-08-01 05:38:27] tony2, joining. (#selenium)
[2015-08-01 05:38:30] tony2, quitting. (Client Quit)
[2015-08-01 05:38:46] tony2, joining. (#selenium)
[2015-08-01 05:44:25] kggr, joining. (#selenium)
[2015-08-01 05:58:07] oida, quitting. (Ping timeout: 246 seconds)
[2015-08-01 06:01:32] oida, joining. (#selenium)
[2015-08-01 06:17:44] someone235, quitting. (Ping timeout: 260 seconds)
[2015-08-01 06:26:23] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-08-01 06:33:01] someone235, joining. (#selenium)
[2015-08-01 06:42:44] selbot2_, joining. (#selenium)
[2015-08-01 06:42:44] selbot2_, joining. (#seleniumide)
[2015-08-01 06:43:15] tony2, quitting. (Quit: Leaving.)
[2015-08-01 06:55:16] Sudhansu, quitting. (Quit: Sudhansu)
[2015-08-01 07:17:20] someone235, quitting. (Ping timeout: 240 seconds)
[2015-08-01 07:34:17] someone235, joining. (#selenium)
[2015-08-01 07:43:02] SkNix, joining. (#selenium)
[2015-08-01 07:45:38] SkNix: hHello.
[2015-08-01 07:45:38] SkNix: How do I click a button using python, selenium and phanthojs through javascript?
[2015-08-01 07:47:20] SkNix: I try but do not click, it seems that does not work .. if I do with firefox, it works, but with the phanthomjs does not.
[2015-08-01 07:56:02] blackboxd, joining. (#selenium)
[2015-08-01 08:02:20] dude-x, joining. (#selenium)
[2015-08-01 08:23:20] dude-x, quitting. (Remote host closed the connection)
[2015-08-01 08:32:29] Ardesco, joining. (#selenium)
[2015-08-01 08:33:42] Ardesco, quitting. (Client Quit)
[2015-08-01 08:36:36] Ardesco, joining. (#selenium)
[2015-08-01 08:38:01] Ardesco, quitting. (Client Quit)
[2015-08-01 08:38:19] SkNix, quitting. (Quit: Saindo)
[2015-08-01 08:39:06] Neo--, joining. (#selenium)
[2015-08-01 09:17:30] smccarthy, joining. (#selenium)
[2015-08-01 09:39:55] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-08-01 10:04:53] selbot2_, joining. (#selenium)
[2015-08-01 10:04:53] selbot2_, joining. (#seleniumide)
[2015-08-01 10:05:43] tony2, quitting. (Client Quit)
[2015-08-01 10:11:27] tony2, joining. (#selenium)
[2015-08-01 10:25:41] Ardesco, joining. (#selenium)
[2015-08-01 10:26:11] tony2, quitting. (Quit: Leaving.)
[2015-08-01 10:28:02] tony2, joining. (#selenium)
[2015-08-01 10:32:15] merike, changing nick to merike|away.
[2015-08-01 10:33:46] oida, quitting. (Ping timeout: 244 seconds)
[2015-08-01 10:35:13] dude-x, joining. (#selenium)
[2015-08-01 10:37:06] oida, joining. (#selenium)
