[2015-08-09 00:17:10] cylon512, quitting. (Ping timeout: 255 seconds)
[2015-08-09 00:19:06] cylon512, joining. (#selenium)
[2015-08-09 00:20:16] nirvdrum, quitting. (Ping timeout: 246 seconds)
[2015-08-09 00:21:47] cylon512, quitting. (Client Quit)
[2015-08-09 00:22:38] ranger81, quitting. (Remote host closed the connection)
[2015-08-09 01:20:54] Ardesco, joining. (#selenium)
[2015-08-09 01:58:07] |zzy, joining. (#selenium)
[2015-08-09 02:00:07] michl68, joining. (#selenium)
[2015-08-09 02:14:34] ranger81, joining. (#selenium)
[2015-08-09 02:23:31] ranger81, quitting. (Remote host closed the connection)
[2015-08-09 02:34:43] rplevka, joining. (#selenium)
[2015-08-09 02:41:48] mirazi_heket, joining. (#selenium)
[2015-08-09 02:42:13] mirazi_heket: greeting, is there any way to get text AFTER element, not belonging to any div/span?
[2015-08-09 02:43:52] Ardesco, quitting. (Quit: Ardesco)
[2015-08-09 03:05:06] sgsabbage, joining. (#selenium)
[2015-08-09 03:05:32] |zzy, quitting. (Ping timeout: 260 seconds)
[2015-08-09 03:06:50] rplevka, quitting. (Remote host closed the connection)
[2015-08-09 03:32:32] kggr, joining. (#selenium)
[2015-08-09 04:19:40] rorycb, joining. (#selenium)
[2015-08-09 04:24:08] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-08-09 04:29:45] Neo--, joining. (#selenium)
[2015-08-09 05:08:25] tony2, joining. (#selenium)
[2015-08-09 05:15:37] michl68, quitting. (Ping timeout: 265 seconds)
[2015-08-09 05:36:50] Nizumzen, joining. (#selenium)
[2015-08-09 05:46:32] michl68, joining. (#selenium)
[2015-08-09 06:03:13] tony2, quitting. (Quit: Leaving.)
[2015-08-09 07:13:19] nirvdrum, joining. (#selenium)
[2015-08-09 07:15:37] nirvdrum, quitting. (Read error: Connection reset by peer)
[2015-08-09 07:44:11] Selenium-Github: [13selenium] 15TikhomirovSergey reopened pull request #863: Java: All searching interfaces are made generic (06master...06generics) 02http://git.io/vOqlB
[2015-08-09 07:51:25] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-08-09 08:21:04] rorycb, joining. (#selenium)
[2015-08-09 08:25:23] rorycb, quitting. (Ping timeout: 250 seconds)
[2015-08-09 08:25:40] Nizumzen, joining. (#selenium)
[2015-08-09 08:47:28] tony2, joining. (#selenium)
[2015-08-09 08:48:20] tony2, quitting. (Client Quit)
[2015-08-09 08:49:21] DarkRift, quitting. (Ping timeout: 260 seconds)
[2015-08-09 09:17:09] Ardesco, joining. (#selenium)
[2015-08-09 09:24:34] DarkRift, joining. (#selenium)
[2015-08-09 09:25:32] ranger81, joining. (#selenium)
[2015-08-09 09:31:00] tony2, joining. (#selenium)
[2015-08-09 09:36:20] swampdragons, joining. (#selenium)
[2015-08-09 09:37:54] dude-x, joining. (#selenium)
[2015-08-09 09:37:58] dude-x, quitting. (Remote host closed the connection)
[2015-08-09 09:38:20] Ardesco, quitting. (Quit: Ardesco)
[2015-08-09 09:38:33] dude-x, joining. (#selenium)
[2015-08-09 09:47:36] smccarthy, joining. (#selenium)
[2015-08-09 09:48:08] swampdragons, quitting. (Quit: Leaving.)
[2015-08-09 09:52:24] tony2, quitting. (Quit: Leaving.)
[2015-08-09 09:53:20] DarkRift, quitting. (Ping timeout: 240 seconds)
[2015-08-09 10:09:25] Ardesco, joining. (#selenium)
[2015-08-09 10:12:37] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-08-09 10:13:50] swampdragons, joining. (#selenium)
[2015-08-09 10:19:02] nirvdrum, joining. (#selenium)
[2015-08-09 10:37:43] swampdragons, leaving. (#selenium)
[2015-08-09 10:38:46] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 10:38:49] dude-x__, joining. (#selenium)
[2015-08-09 10:52:30] Ardesco, quitting. (Quit: Ardesco)
[2015-08-09 10:53:39] merike|away, changing nick to merike.
[2015-08-09 11:14:46] dude-x__, quitting. (Read error: Connection reset by peer)
[2015-08-09 11:18:00] dude-x, joining. (#selenium)
[2015-08-09 11:36:16] errant_rider, joining. (#selenium)
[2015-08-09 11:38:17] sgsabbage, quitting. (Quit: Leaving...)
[2015-08-09 11:48:16] dude-x, quitting. (Read error: Connection reset by peer)
