[2015-09-05 00:01:10] Alchemy, joining. (#selenium)
[2015-09-05 00:03:12] vbernat, joining. (#selenium)
[2015-09-05 00:04:00] daemon, quitting. (Ping timeout: 264 seconds)
[2015-09-05 00:10:25] ET1, quitting. (Quit: Leaving.)
[2015-09-05 00:22:29] ET1, joining. (#selenium)
[2015-09-05 00:29:49] vbernat, quitting. (Remote host closed the connection)
[2015-09-05 00:33:11] ET1, quitting. (Quit: Leaving.)
[2015-09-05 01:15:34] lvanderpool, joining. (#selenium)
[2015-09-05 01:20:35] lvanderpool, quitting. (Ping timeout: 264 seconds)
[2015-09-05 01:52:42] Danjo1, joining. (#selenium)
[2015-09-05 01:54:34] Ardesco, joining. (#selenium)
[2015-09-05 02:11:54] rorycb, joining. (#selenium)
[2015-09-05 02:16:15] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-09-05 02:21:35] Ardesco, quitting. (Quit: Ardesco)
[2015-09-05 02:25:29] vbernat, joining. (#selenium)
[2015-09-05 02:43:25] Danjo1, quitting. (Remote host closed the connection)
[2015-09-05 02:43:28] Ishiro, joining. (#selenium)
[2015-09-05 02:44:10] michl68, joining. (#selenium)
[2015-09-05 02:45:41] Ishiro: hi everyone, are you concerned by different behaviors between different webdrivers? I've seen a different behavior between the Java and the Ruby remove webdrivers
[2015-09-05 02:45:55] Ishiro: I don't know if I should report it, or if you consider it as 'normal'
[2015-09-05 02:47:34] michl68, quitting. (Client Quit)
[2015-09-05 02:48:20] Ishiro: FYI, some details here: https://github.com/appium/appium/issues/5566#issuecomment-137928519 -- Ruby webdriver doesn't follow the right host in when a HTTP redirection is triggered, in my case the results was it was working with the Ruby webdriver but with the Java one
[2015-09-05 02:49:46] Ishiro: I mean: 'not with the Java one'
[2015-09-05 02:53:34] Ishiro: this is due to https://github.com/SeleniumHQ/selenium/blob/master/rb/lib/selenium/webdriver/remote/http/default.rb#L95
[2015-09-05 02:54:20] Ishiro: that uses `url.path`
[2015-09-05 03:05:06] swamix: hello
[2015-09-05 03:09:10] Ishiro: hello swamix
[2015-09-05 03:16:14] lvanderpool, joining. (#selenium)
[2015-09-05 03:20:43] lvanderpool, quitting. (Ping timeout: 250 seconds)
[2015-09-05 04:02:17] Danjo1, joining. (#selenium)
[2015-09-05 04:07:08] Ishiro, quitting. (Quit: Be back later ...)
[2015-09-05 04:15:40] dude-x__, joining. (#selenium)
[2015-09-05 04:18:15] dude-x_, quitting. (Ping timeout: 255 seconds)
[2015-09-05 04:25:21] tony4, joining. (#selenium)
[2015-09-05 04:35:15] richdownie, joining. (#selenium)
[2015-09-05 04:37:16] Ishiro, joining. (#selenium)
[2015-09-05 04:37:26] blackboxd, joining. (#selenium)
[2015-09-05 04:44:55] richdownie, leaving. (#selenium)
[2015-09-05 04:45:18] blackboxd, quitting. (Quit: blackboxd)
[2015-09-05 05:00:23] titusfortner, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 05:00:39] titusfortner, joining. (#selenium)
[2015-09-05 05:02:40] tiagoboldt, joining. (#selenium)
[2015-09-05 05:09:10] tony4, quitting. (Quit: Leaving.)
[2015-09-05 05:11:53] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 05:16:50] lvanderpool, joining. (#selenium)
[2015-09-05 05:21:26] lvanderpool, quitting. (Ping timeout: 252 seconds)
[2015-09-05 05:25:15] tony4, joining. (#selenium)
[2015-09-05 05:40:53] Ardesco, joining. (#selenium)
[2015-09-05 06:00:58] Ardesco, quitting. (Quit: Ardesco)
[2015-09-05 06:15:07] oida, joining. (#selenium)
[2015-09-05 06:15:10] Ishiro, quitting. (Quit: (null))
[2015-09-05 06:17:46] lvanderpool, joining. (#selenium)
[2015-09-05 06:18:55] toloykhan, joining. (#selenium)
[2015-09-05 06:22:13] lvanderpool, quitting. (Ping timeout: 244 seconds)
[2015-09-05 06:23:34] toloykhan: hi every one, am new to python and selenium both & am working on some kind of light google scraping with selenium
[2015-09-05 06:24:42] tony4, quitting. (Quit: Leaving.)
[2015-09-05 06:25:28] toloykhan: i wrote a code to extract the links from first page on google search ,my problem is that i need to extract the links from the next pages
[2015-09-05 06:25:36] toloykhan: here is my code: http://pastebin.com/Ey0txq7r
[2015-09-05 06:26:15] toloykhan: how could i parse the next page without re initiating the driver with new url?
[2015-09-05 06:26:46] Ishiro, joining. (#selenium)
[2015-09-05 06:28:20] tiagoboldt, joining. (#selenium)
[2015-09-05 06:28:27] michl68, joining. (#selenium)
[2015-09-05 06:34:20] Neo--, joining. (#selenium)
[2015-09-05 06:37:21] tony4, joining. (#selenium)
[2015-09-05 06:44:32] oida, quitting. (Quit: WeeChat 1.0.1)
[2015-09-05 06:44:54] btulchinsky, quitting. (Remote host closed the connection)
[2015-09-05 06:46:09] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 06:53:03] Ishiro, quitting. (Quit: (null))
[2015-09-05 06:56:10] apiarian, quitting. (Quit: zoom.)
[2015-09-05 06:56:42] oida, joining. (#selenium)
[2015-09-05 06:57:07] apiarian, joining. (#selenium)
[2015-09-05 06:59:51] Padawan, quitting. (Quit: WeeChat 1.1.1)
[2015-09-05 07:01:43] tiagoboldt, joining. (#selenium)
[2015-09-05 07:09:26] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 07:15:29] tiagoboldt, joining. (#selenium)
[2015-09-05 07:16:22] tiagoboldt, quitting. (Client Quit)
[2015-09-05 07:23:06] tiagoboldt, joining. (#selenium)
[2015-09-05 07:27:07] tiagoboldt, quitting. (Client Quit)
[2015-09-05 07:27:29] merike|away, changing nick to merike.
[2015-09-05 07:30:52] Nizumzen, joining. (#selenium)
[2015-09-05 07:34:32] zeljkof, changing nick to zeljkof-away.
