[2015-09-09 00:15:56] cristi, joining. (#selenium)
[2015-09-09 00:21:31] shteou, joining. (#selenium)
[2015-09-09 00:22:17] ulmi, joining. (#selenium)
[2015-09-09 00:35:30] oida, quitting. (Ping timeout: 250 seconds)
[2015-09-09 00:38:35] oida, joining. (#selenium)
[2015-09-09 00:58:41] MrCoder, joining. (#selenium)
[2015-09-09 01:00:24] zeljkof-away, changing nick to zeljkof-meeting.
[2015-09-09 01:03:08] kggr, joining. (#selenium)
[2015-09-09 01:11:16] Neo--, joining. (#selenium)
[2015-09-09 01:21:54] cframe, quitting. ()
[2015-09-09 01:33:12] titusfortner, joining. (#selenium)
[2015-09-09 01:33:55] WhereIsMySpoon, joining. (#selenium)
[2015-09-09 01:34:23] WhereIsMySpoon, quitting. (Changing host)
[2015-09-09 01:34:23] WhereIsMySpoon, joining. (#selenium)
[2015-09-09 01:34:24] WhereIsMySpoon, joining. (#selenium)
[2015-09-09 01:34:24] WhereIsMySpoon, quitting. (Changing host)
[2015-09-09 01:49:38] tiagoboldt, joining. (#selenium)
[2015-09-09 01:50:51] michl68, joining. (#selenium)
[2015-09-09 02:02:43] sorinb, quitting. (Remote host closed the connection)
[2015-09-09 02:34:47] SitamJana, quitting. (Read error: Connection reset by peer)
[2015-09-09 02:34:59] SitamJana, joining. (#selenium)
[2015-09-09 02:37:28] Machinista, joining. (#selenium)
[2015-09-09 02:42:02] rananda, quitting. (Quit: Leaving)
[2015-09-09 02:42:25] btul, joining. (#selenium)
[2015-09-09 02:42:39] swamix, quitting. ()
[2015-09-09 02:42:49] btulchinsky, quitting. (Read error: Connection reset by peer)
[2015-09-09 02:46:57] zeljkof-meeting, changing nick to zeljkof.
[2015-09-09 03:02:01] btul, quitting. (Read error: Connection reset by peer)
[2015-09-09 03:02:13] btulchinsky, joining. (#selenium)
[2015-09-09 03:09:30] rananda, joining. (#selenium)
[2015-09-09 03:13:36] Tristitia, quitting. (Read error: Connection reset by peer)
[2015-09-09 03:21:16] michl68, quitting. (Ping timeout: 265 seconds)
[2015-09-09 03:26:03] titusfortner, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
