[2015-09-18 00:03:31] Sudhansu1, quitting. (Quit: Sudhansu1)
[2015-09-18 00:24:03] titusfor_: :note lukeis - I'm having issues with executeScript on Edge. I see that the python bindings do not set "javascriptEnabled": True for Edge in desired_capabilities.py; Does executeScript work for python?
[2015-09-18 00:33:22] kggr, joining. (#selenium)
[2015-09-18 00:36:02] eteixeira, joining. (#selenium)
[2015-09-18 00:40:59] eteixeira, quitting. (Quit: Leaving)
[2015-09-18 00:43:21] bimmelino, joining. (#selenium)
[2015-09-18 00:44:12] drptbl, joining. (#selenium)
[2015-09-18 00:49:26] eteixeira, joining. (#selenium)
[2015-09-18 00:51:25] rplevka, joining. (#selenium)
[2015-09-18 00:53:48] titusfor_: :note lukeis - Ooh, I think I figured it out... the Ruby code checks to make sure that javascript is enabled, but it looks like that is not something that the edge driver returns. I'm guessing that there is no reason to toggle it because w3c requires it?
[2015-09-18 00:56:31] ulmi, joining. (#selenium)
[2015-09-18 01:02:06] __gotcha, joining. (#selenium)
[2015-09-18 01:04:48] zeljkof-away, changing nick to zeljkof-conferen.
[2015-09-18 01:16:50] Motoservo, joining. (#selenium)
[2015-09-18 01:26:39] 7JTAAPA9J, joining. (#selenium)
[2015-09-18 01:28:53] Selenium-Github: [13selenium] 15titusfortner pushed 1 new commit to 06master: 02http://git.io/vnIa9
[2015-09-18 01:28:54] Selenium-Github: 13selenium/06master 14e84c459 15Titus Fortner: rb - allow javascript execution for edge
[2015-09-18 01:36:25] Machinista, joining. (#selenium)
[2015-09-18 01:40:33] RedAero, joining. (#selenium)
[2015-09-18 01:47:29] moby_, joining. (#selenium)
[2015-09-18 01:50:47] moby_: Hi, I try to get the html source code from a webpage generated by javascrit, but I always get a part with javascripte in the source code. Is someone know how to do it? Thanks!
[2015-09-18 02:04:06] moby_, quitting. (Quit: Page closed)
[2015-09-18 02:06:04] loa, quitting. (Read error: Connection reset by peer)
[2015-09-18 02:18:27] SitamJana1, joining. (#selenium)
[2015-09-18 02:20:15] SitamJana, quitting. (Ping timeout: 255 seconds)
[2015-09-18 02:20:15] SitamJana1, changing nick to SitamJana.
[2015-09-18 02:22:12] 7JTAAPA9J, quitting. (Read error: Connection reset by peer)
[2015-09-18 02:22:20] dubner, joining. (#selenium)
[2015-09-18 02:22:43] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 02:22:46] MrCoder, joining. (#selenium)
[2015-09-18 02:40:49] drptbl, joining. (#selenium)
[2015-09-18 02:42:23] ybian, quitting. (Remote host closed the connection)
[2015-09-18 02:47:52] spacenomad, joining. (#selenium)
[2015-09-18 02:52:32] Sudhansu, joining. (#selenium)
[2015-09-18 02:59:27] rorycb, joining. (#selenium)
[2015-09-18 03:03:42] rorycb, quitting. (Ping timeout: 252 seconds)
[2015-09-18 03:07:55] Nizumzen, joining. (#selenium)
[2015-09-18 03:12:19] rananda, quitting. (Ping timeout: 272 seconds)
[2015-09-18 03:15:34] rananda, joining. (#selenium)
[2015-09-18 03:19:03] p0deje, quitting. (Quit: p0deje)
[2015-09-18 03:23:40] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-09-18 03:41:59] T3ng`, joining. (#selenium)
[2015-09-18 03:43:31] jimpurbrick, joining. (#selenium)
[2015-09-18 03:52:32] p0deje, joining. (#selenium)
[2015-09-18 03:52:57] Nizumzen, quitting. (Ping timeout: 264 seconds)
[2015-09-18 03:55:05] Nizumzen, joining. (#selenium)
[2015-09-18 03:56:37] Citizenken, joining. (#selenium)
[2015-09-18 04:02:33] richdownie, joining. (#selenium)
[2015-09-18 04:08:19] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 04:13:00] btulchinsky, quitting. (Remote host closed the connection)
[2015-09-18 04:16:58] cristi, joining. (#selenium)
[2015-09-18 04:29:02] tony3, joining. (#selenium)
[2015-09-18 04:34:32] jimpurbrick, joining. (#selenium)
[2015-09-18 04:40:26] Citizenken, quitting. (Remote host closed the connection)
[2015-09-18 04:50:08] eteixeira, quitting. (Quit: Leaving)
[2015-09-18 04:52:46] sircapsalot, joining. (#selenium)
[2015-09-18 04:53:10] rorycb, joining. (#selenium)
[2015-09-18 04:54:09] eteixeira, joining. (#selenium)
[2015-09-18 04:54:39] Padawan, quitting. (Ping timeout: 246 seconds)
[2015-09-18 04:56:09] Padawan, joining. (#selenium)
[2015-09-18 05:00:11] rananda, quitting. (Ping timeout: 250 seconds)
[2015-09-18 05:03:40] rananda, joining. (#selenium)
