[2015-09-20 00:34:22] [rahul], quitting. (Quit: This computer has gone to sleep)
[2015-09-20 00:51:43] titusfor_, quitting. (Ping timeout: 264 seconds)
[2015-09-20 00:59:29] Nizumzen, joining. (#selenium)
[2015-09-20 01:33:23] rplevka_, joining. (#selenium)
[2015-09-20 02:28:05] crane, quitting. (Read error: Connection reset by peer)
[2015-09-20 02:31:39] Neo--, joining. (#selenium)
[2015-09-20 02:40:12] drptbl, joining. (#selenium)
[2015-09-20 03:07:17] rplevka_, quitting. (Ping timeout: 240 seconds)
[2015-09-20 03:21:32] [rahul], joining. (#selenium)
[2015-09-20 03:30:41] spacenomad, joining. (#selenium)
[2015-09-20 03:30:56] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-20 03:44:25] Ardesco, joining. (#selenium)
[2015-09-20 03:49:23] rplevka_, joining. (#selenium)
[2015-09-20 04:16:21] pa, quitting. (Quit: Sto andando via)
[2015-09-20 04:40:43] richdownie, joining. (#selenium)
[2015-09-20 04:42:53] p0deje, joining. (#selenium)
[2015-09-20 04:43:34] richdownie, leaving. (#selenium)
[2015-09-20 04:49:18] [rahul], quitting. (Ping timeout: 240 seconds)
[2015-09-20 05:20:43] rplevka_, quitting. (Ping timeout: 256 seconds)
[2015-09-20 05:48:22] Sudhansu, joining. (#selenium)
[2015-09-20 05:55:18] Sudhansu1, joining. (#selenium)
[2015-09-20 05:57:23] Sudhansu, quitting. (Ping timeout: 260 seconds)
[2015-09-20 06:09:50] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-20 06:33:56] jconstance, joining. (#selenium)
[2015-09-20 06:34:00] jconstance, quitting. (Read error: Connection reset by peer)
[2015-09-20 06:34:32] jconstance, joining. (#selenium)
[2015-09-20 06:35:21] jconstance, quitting. (Remote host closed the connection)
[2015-09-20 07:02:23] crane, joining. (#selenium)
[2015-09-20 07:07:40] nirvdrum, joining. (#selenium)
[2015-09-20 07:15:42] btulchinsky, quitting. (Remote host closed the connection)
[2015-09-20 07:18:28] apiarian_, changing nick to apiarian.
[2015-09-20 07:31:28] Sudhansu1, quitting. (Read error: Connection reset by peer)
[2015-09-20 07:31:36] Sudhansu, joining. (#selenium)
[2015-09-20 07:32:21] apiarian, quitting. (Quit: zoom.)
[2015-09-20 07:33:24] apiarian, joining. (#selenium)
